YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1980,999.90,999.90,999.90,999.90,999.90,999.90,28.95,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1981,4.49,6.72,14.07,12.98,18.51,23.83,999.90,999.90,999.90,20.01,12.92,999.90,5.62,15.19,999.90,19.35,16.87
1982,999.90,8.14,10.75,11.99,17.47,25.78,28.37,26.50,22.33,14.06,9.09,4.21,999.90,13.40,26.88,15.16,15.38
1983,5.91,8.14,12.79,15.21,17.80,24.30,27.29,26.79,23.56,17.88,12.96,999.90,6.09,15.27,26.13,18.13,16.40
1984,5.79,6.67,8.94,15.82,13.51,24.04,28.45,26.14,22.64,999.90,11.11,999.90,6.25,12.76,26.21,17.00,15.55
1985,4.45,11.33,9.12,14.89,16.55,25.32,29.22,27.80,23.13,16.78,12.53,6.91,7.91,13.52,27.45,17.48,16.59
1986,5.95,8.59,9.16,12.00,22.13,23.33,27.01,28.26,23.23,15.58,9.30,5.95,7.15,14.43,26.20,16.04,15.95
1987,7.03,8.53,12.61,17.89,19.23,25.00,26.80,999.90,24.51,18.30,10.82,9.89,7.17,16.58,26.30,17.88,16.98
1988,8.12,8.47,11.76,15.44,18.95,22.68,29.07,29.30,23.40,17.60,11.71,6.11,8.83,15.38,27.02,17.57,17.20
1989,4.95,7.98,11.91,12.46,18.85,22.85,28.69,27.80,23.91,18.79,12.88,10.64,6.35,14.41,26.45,18.53,16.43
1990,999.90,999.90,13.39,13.18,18.59,26.51,28.86,27.68,25.56,17.89,11.26,6.48,999.90,15.05,27.68,18.24,17.22
1991,999.90,6.36,9.50,12.59,15.75,23.54,28.83,28.08,23.37,14.48,10.37,6.84,5.98,12.61,26.82,16.07,15.37
1992,5.15,8.17,8.74,13.57,17.97,19.92,25.95,27.49,24.13,16.06,10.91,7.70,6.72,13.43,24.45,17.03,15.41
1993,5.78,6.47,10.22,13.20,18.10,25.04,29.17,28.14,21.98,17.01,999.90,7.13,6.65,13.84,27.45,16.49,16.11
1994,999.90,8.94,11.45,12.74,20.95,26.34,30.10,29.81,22.65,16.73,12.28,8.44,7.59,15.05,28.75,17.22,17.15
1995,7.31,11.08,10.93,11.81,21.04,23.38,28.31,999.90,20.50,17.08,13.13,9.51,8.94,14.59,26.25,16.90,16.67
1996,8.61,999.90,10.81,14.01,18.21,22.41,27.56,28.10,20.85,16.18,12.33,8.69,9.48,14.34,26.02,16.45,16.58
1997,8.04,11.15,12.44,14.49,19.44,25.04,28.38,26.02,22.67,17.78,12.44,8.57,9.29,15.46,26.48,17.63,17.21
1998,7.85,9.67,12.77,15.06,17.36,25.79,30.26,28.06,25.09,15.55,12.23,5.91,8.70,15.06,28.04,17.62,17.35
1999,6.29,5.62,10.91,16.60,22.64,25.80,29.22,29.72,23.72,19.84,9.44,7.12,5.94,16.72,28.25,17.67,17.14
2000,4.81,9.81,13.31,15.01,20.38,25.36,29.61,28.01,23.01,14.95,11.86,9.79,7.25,16.23,27.66,16.61,16.94
2001,8.24,8.74,15.08,16.51,18.14,26.99,29.39,28.69,23.64,20.89,999.90,8.18,8.92,16.58,28.36,19.26,18.28
2002,7.28,10.08,12.38,13.98,19.18,26.28,28.67,26.45,22.64,17.98,11.73,9.47,8.51,15.18,27.13,17.45,17.07
2003,6.37,7.07,12.97,15.22,19.57,27.37,30.87,28.50,23.39,18.08,10.58,7.21,7.64,15.92,28.91,17.35,17.45
2004,7.70,10.02,12.15,14.46,15.15,24.75,28.76,28.55,23.10,20.00,9.94,6.43,8.31,13.92,27.35,17.68,16.82
2005,4.49,5.07,12.83,16.14,23.47,25.82,30.29,28.12,21.44,18.41,10.24,5.93,5.33,17.48,28.08,16.70,16.90
2006,4.23,6.33,12.43,17.33,22.03,25.93,29.38,27.88,21.78,20.18,12.68,6.76,5.50,17.26,27.73,18.21,17.18
2007,7.46,11.06,10.11,13.56,19.16,25.16,29.56,27.96,24.16,16.36,10.56,6.55,8.43,14.28,27.56,17.03,16.82
2008,7.35,9.65,11.94,16.35,19.14,24.55,29.95,29.65,22.95,15.25,8.25,5.44,7.85,15.81,28.05,15.48,16.80
2009,6.14,8.24,12.14,12.04,20.74,25.94,29.94,28.44,20.04,18.24,13.14,10.72,6.61,14.97,28.11,17.14,16.71
2010,9.22,11.42,13.32,16.72,17.72,23.72,30.32,28.32,22.82,16.72,11.32,9.41,10.45,15.92,27.45,16.95,17.69
2011,8.01,6.91,10.61,17.75,19.75,23.61,28.31,29.51,25.01,16.71,11.41,6.39,8.11,16.04,27.14,17.71,17.25
2012,7.27,4.09,11.39,12.59,21.25,27.07,30.10,30.21,23.51,18.29,12.54,8.18,5.92,15.08,29.13,18.11,17.06
2013,7.18,6.78,12.58,14.88,16.78,23.18,28.28,27.55,22.38,21.50,10.28,6.92,7.38,14.75,26.34,18.05,16.63
2014,8.47,9.47,11.11,17.47,999.90,23.37,29.11,28.97,24.83,19.37,13.17,6.55,8.29,16.27,27.15,19.12,17.71
2015,6.60,6.05,10.85,18.65,21.94,23.55,29.25,28.55,23.40,18.80,11.10,9.14,6.40,17.15,27.12,17.77,17.11
2016,10.14,10.04,10.84,16.89,20.84,25.84,30.34,28.24,23.64,19.54,10.89,7.03,9.77,16.19,28.14,18.02,18.03
2017,4.63,10.53,12.33,16.48,23.23,27.23,30.03,29.08,23.48,17.28,11.58,6.56,7.40,17.35,28.78,17.45,17.74
2018,7.71,7.16,11.96,15.36,17.91,24.91,31.21,26.31,23.46,16.46,11.11,9.05,7.14,15.08,27.48,17.01,16.68
2019,6.20,8.40,12.35,14.50,20.40,27.05,31.40,29.85,24.90,18.40,11.60,9.35,7.88,15.75,29.43,18.30,17.84
2020,6.70,12.35,13.10,16.50,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,9.47,16.78,999.90,999.90,999.90
