YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1986,999.90,999.90,999.90,999.90,999.90,21.85,999.90,28.05,23.35,19.75,13.35,9.05,999.90,999.90,25.37,18.82,999.90
1987,9.15,10.15,999.90,999.90,999.90,999.90,999.90,999.90,25.75,22.25,999.90,999.90,9.45,999.90,999.90,21.55,999.90
1988,999.90,999.90,999.90,999.90,20.05,22.75,27.05,27.25,999.90,20.85,14.55,8.65,999.90,999.90,25.68,19.92,999.90
1989,8.65,9.25,999.90,13.75,17.75,999.90,26.35,27.15,23.95,999.90,14.75,12.87,8.85,14.19,25.69,19.58,17.08
1990,999.90,999.90,11.67,14.07,999.90,24.67,25.77,999.90,999.90,20.17,16.37,8.69,999.90,14.71,25.86,20.49,17.81
1991,999.90,999.90,999.90,999.90,999.90,999.90,25.89,999.90,999.90,999.90,999.90,8.51,999.90,999.90,999.90,999.90,999.90
1992,999.90,999.90,999.90,999.90,999.90,999.90,23.61,999.90,24.61,19.41,999.90,999.90,999.90,999.90,999.90,19.56,999.90
1993,999.90,8.13,10.63,13.63,999.90,999.90,25.83,999.90,23.93,20.53,999.90,10.75,999.90,13.97,999.90,19.78,999.90
1994,10.45,10.85,999.90,12.15,20.75,23.15,27.25,29.65,25.75,18.95,14.85,10.36,10.68,14.89,26.68,19.85,18.03
1995,8.66,11.16,10.75,12.66,19.01,999.90,27.65,26.96,23.36,19.36,14.46,12.93,10.06,14.14,26.25,19.06,17.38
1996,999.90,9.43,12.48,14.03,17.98,999.90,999.90,26.48,20.98,16.93,15.28,13.25,10.94,14.83,999.90,17.73,17.27
1997,13.00,10.60,10.85,13.85,20.75,25.69,26.74,27.35,999.90,19.75,14.75,11.57,12.28,15.15,26.59,19.47,18.37
1998,9.42,10.67,11.67,14.97,18.22,24.82,26.71,26.82,24.57,17.67,12.97,9.04,10.55,14.95,26.12,18.40,17.51
1999,10.34,8.49,12.63,14.49,21.19,24.79,26.49,29.84,25.14,21.84,13.54,10.75,9.29,16.10,27.04,20.17,18.15
2000,7.45,10.60,12.80,15.65,20.65,23.30,27.00,27.80,999.90,18.65,15.49,12.22,9.60,16.37,26.03,19.29,17.82
2001,999.90,9.92,15.82,13.92,18.87,26.38,27.27,27.56,23.17,21.97,13.77,9.19,10.83,16.20,27.07,19.64,18.43
2002,8.29,10.39,12.69,15.49,19.69,25.29,26.39,26.39,22.99,19.39,15.19,12.01,9.29,15.96,26.02,19.19,17.61
2003,9.96,8.96,12.01,15.25,18.81,26.31,29.41,29.48,23.17,21.01,14.91,9.83,10.31,15.36,28.40,19.70,18.44
2004,10.18,11.33,12.53,13.90,16.93,22.23,25.83,27.33,23.03,20.93,12.53,10.85,10.45,14.45,25.13,18.83,17.21
2005,7.80,7.85,12.80,15.70,19.95,24.35,27.31,25.90,22.75,20.70,14.55,9.56,8.83,16.15,25.85,19.33,17.54
2006,8.91,9.66,12.96,16.96,21.36,25.06,27.56,25.96,25.96,20.86,15.06,10.88,9.38,17.09,26.19,20.63,18.32
2007,9.98,11.78,11.83,15.68,18.78,23.78,26.68,26.88,24.13,999.90,13.13,9.50,10.88,15.43,25.78,18.86,17.74
2008,9.20,9.90,11.50,15.20,19.60,22.80,27.50,27.30,23.60,19.40,13.50,9.92,9.53,15.43,25.87,18.83,17.42
2009,9.82,9.72,11.62,13.62,19.72,23.72,28.32,27.32,22.32,18.02,14.57,12.64,9.82,14.99,26.45,18.30,17.39
2010,10.94,11.64,12.44,15.94,17.84,22.24,26.94,26.44,22.84,19.04,14.84,11.65,11.74,15.41,25.21,18.91,17.81
2011,9.85,9.45,12.35,16.25,18.95,22.55,26.65,27.15,24.05,18.45,15.05,10.67,10.32,15.85,25.45,19.18,17.70
2012,8.97,7.07,12.37,15.27,19.07,26.27,28.27,28.97,23.87,20.37,15.87,10.79,8.90,15.57,27.84,20.04,18.09
2013,9.69,8.99,13.79,15.49,18.09,21.99,26.89,25.99,23.29,999.90,14.29,9.91,9.82,15.79,24.96,19.02,17.40
2014,11.01,11.11,11.31,15.41,18.61,24.01,26.31,27.31,26.11,21.31,17.11,11.23,10.68,15.11,25.88,21.51,18.29
2015,10.13,9.13,12.63,15.43,20.03,23.73,27.93,28.43,24.98,21.03,15.18,11.75,10.16,16.03,26.70,20.40,18.32
2016,12.10,12.65,12.55,17.25,19.35,23.80,26.85,26.25,23.70,21.80,15.95,13.01,12.17,16.38,25.63,20.48,18.67
2017,8.56,12.26,13.86,15.66,20.91,26.01,28.71,29.71,24.06,19.06,13.66,10.58,11.28,16.81,28.14,18.93,18.79
2018,11.33,9.88,13.43,16.18,18.63,22.93,28.23,25.78,25.08,19.53,14.83,11.80,10.60,16.08,25.65,19.81,18.03
2019,9.20,9.85,12.20,15.00,16.85,25.30,28.10,29.10,24.30,19.95,14.20,13.05,10.28,14.68,27.50,19.48,17.99
2020,10.40,12.15,13.80,17.20,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,11.87,17.34,999.90,999.90,999.90
