YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1984,999.90,999.90,999.90,19.47,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1985,999.90,999.90,999.90,999.90,999.90,29.20,999.90,30.30,23.70,18.40,14.10,8.70,999.90,999.90,30.56,18.73,999.90
1986,9.00,10.20,999.90,15.50,24.50,27.00,29.60,999.90,999.90,18.90,12.20,8.10,9.30,17.95,28.71,18.51,18.62
1987,999.90,10.50,13.50,999.90,999.90,27.90,999.90,31.00,999.90,21.50,12.10,10.70,8.84,999.90,30.26,19.76,19.21
1988,10.70,999.90,15.03,19.11,22.00,26.59,31.59,30.66,23.82,20.30,999.90,9.22,11.12,18.71,29.61,18.90,19.59
1989,6.60,10.47,16.13,16.61,23.74,24.80,32.31,32.18,25.98,19.50,999.90,999.90,8.76,18.83,29.76,19.58,19.23
1990,999.90,999.90,13.80,999.90,20.60,28.70,999.90,30.42,29.07,20.80,14.64,999.90,999.90,17.00,30.37,21.50,19.63
1991,6.90,8.60,14.73,999.90,18.40,999.90,31.30,999.90,999.90,17.70,11.10,999.90,7.79,16.36,999.90,17.36,17.47
1992,5.80,10.18,999.90,17.38,22.51,25.66,999.90,999.90,26.00,999.90,999.90,999.90,8.03,17.89,999.90,999.90,999.90
1993,999.90,999.90,12.40,999.90,999.90,27.90,999.90,31.00,24.20,20.40,999.90,9.10,999.90,999.90,30.26,19.14,999.90
1994,9.70,999.90,14.80,15.30,24.90,28.70,32.60,34.47,25.31,999.90,999.90,9.40,9.82,18.33,31.92,999.90,20.13
1995,999.90,12.55,12.60,15.20,22.95,26.69,30.75,29.30,24.05,19.64,13.84,999.90,10.52,16.92,28.91,19.18,18.88
1996,11.30,9.70,13.00,16.41,21.53,24.30,29.30,999.90,23.40,17.40,14.00,10.40,10.54,16.98,27.21,18.27,18.25
1997,10.40,12.60,13.35,16.30,22.92,28.84,999.90,29.60,25.74,19.80,13.60,10.10,11.13,17.52,30.03,19.71,19.60
1998,6.90,999.90,11.70,16.92,22.38,27.23,32.50,30.40,27.02,19.52,13.14,7.70,8.92,17.00,30.04,19.89,18.96
1999,9.97,9.40,999.90,18.40,26.10,29.76,33.01,33.70,26.10,23.14,13.06,999.90,9.02,20.20,32.16,20.77,20.54
2000,6.00,10.08,14.50,18.30,24.90,27.33,31.80,30.04,27.49,18.31,13.90,9.80,8.08,19.23,29.72,19.90,19.23
2001,9.66,6.80,18.10,19.67,21.66,28.87,32.50,31.11,25.99,22.38,13.00,8.10,8.75,19.81,30.83,20.46,19.96
2002,7.70,11.00,999.90,18.50,22.69,28.85,33.47,29.81,25.20,20.07,14.24,11.30,8.93,18.54,30.71,19.84,19.51
2003,9.25,999.90,15.31,18.35,23.00,29.50,34.00,33.64,27.18,20.57,14.10,9.15,10.69,18.89,32.38,20.62,20.64
2004,8.75,11.60,14.75,18.25,18.50,28.50,31.30,31.80,25.23,21.02,12.15,9.85,9.83,17.17,30.53,19.47,19.25
2005,6.80,7.69,15.11,18.27,25.60,28.70,33.20,30.50,24.50,20.40,13.10,8.80,8.11,19.66,30.80,19.33,19.48
2006,2.60,9.23,14.70,20.20,25.00,29.00,29.00,30.70,24.20,22.00,14.50,10.10,6.88,19.97,29.57,20.23,19.16
2007,9.40,12.70,13.20,16.70,22.20,29.30,31.90,31.50,25.44,20.47,11.70,9.50,10.73,17.37,30.90,19.20,19.55
2008,9.33,10.94,14.20,18.60,22.90,27.70,32.90,999.90,26.32,19.18,12.25,8.40,9.92,18.57,30.71,19.25,19.61
2009,8.90,9.40,12.83,14.91,22.71,29.60,33.28,31.50,24.09,999.90,14.40,11.00,8.90,16.82,31.46,19.44,19.15
2010,10.40,11.85,14.58,18.10,20.67,27.70,32.36,31.60,25.75,19.11,14.20,9.69,11.08,17.78,30.55,19.69,19.78
2011,999.90,10.08,13.21,18.95,21.60,26.29,31.60,31.54,27.43,19.26,14.14,10.12,9.43,17.92,29.81,20.28,19.36
2012,8.40,7.60,13.69,17.03,23.44,30.89,33.50,33.70,26.34,20.97,14.65,10.47,8.71,18.05,32.70,20.65,20.03
2013,10.30,9.37,15.13,18.19,21.38,26.12,32.20,29.39,26.31,23.72,13.81,9.05,10.05,18.23,29.24,21.28,19.70
2014,10.53,12.20,12.87,19.40,22.80,26.64,31.22,32.10,28.38,22.01,15.30,9.60,10.59,18.36,29.99,21.90,20.21
2015,8.81,9.40,13.75,20.17,24.79,27.50,31.50,31.25,26.15,20.15,14.35,9.20,9.27,19.57,30.08,20.22,19.79
2016,8.75,12.55,14.00,19.55,23.20,28.30,31.35,30.25,25.60,21.80,13.45,10.55,10.17,18.92,29.97,20.28,19.83
2017,8.00,12.20,15.60,18.50,28.06,29.60,32.55,32.35,25.50,19.25,12.65,9.15,10.25,20.72,31.50,19.13,20.40
2018,10.60,9.65,14.70,17.75,20.80,27.25,34.15,29.05,27.25,19.25,14.15,10.60,9.80,17.75,30.15,20.22,19.48
2019,8.90,9.60,14.00,17.95,21.50,30.85,33.15,32.65,26.35,21.05,14.10,11.65,9.70,17.82,32.22,20.50,20.06
2020,9.05,13.45,14.70,18.45,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,11.38,18.83,999.90,999.90,999.90
