YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1985,999.90,999.90,999.90,999.90,999.90,25.11,28.43,999.90,21.54,999.90,999.90,999.90,999.90,999.90,27.24,999.90,999.90
1986,999.90,999.90,9.98,11.41,20.03,22.69,25.04,27.72,21.72,17.56,9.97,6.22,999.90,13.81,25.15,16.42,15.47
1987,5.99,7.06,9.07,14.91,18.71,23.33,26.93,30.65,24.57,19.13,10.03,10.36,6.42,14.23,26.97,17.91,16.38
1988,8.50,7.34,9.19,14.07,18.60,22.74,31.16,27.54,22.98,18.25,11.56,5.47,8.73,13.95,27.15,17.60,16.86
1989,5.32,7.72,11.61,11.27,17.78,21.19,26.13,27.63,21.92,16.54,12.58,10.38,6.17,13.55,24.98,17.01,15.43
1990,999.90,999.90,11.08,12.00,17.18,25.11,25.17,25.12,24.76,18.14,10.78,5.17,999.90,13.42,25.13,17.89,15.82
1991,5.87,6.04,10.55,10.71,13.95,22.53,27.67,26.62,22.20,15.54,9.87,5.92,5.69,11.74,25.61,15.87,14.73
1992,5.59,7.08,8.66,11.57,17.00,19.68,24.48,26.53,22.90,16.62,12.96,7.57,6.20,12.41,23.56,17.49,14.92
1993,6.41,5.76,8.99,12.48,18.12,25.02,27.53,27.60,21.17,17.43,10.38,7.62,6.58,13.20,26.72,16.33,15.71
1994,7.22,10.23,12.07,10.98,21.43,24.40,28.24,29.94,21.92,16.49,12.43,7.93,8.36,14.83,27.53,16.95,16.91
1995,5.75,10.29,9.30,11.63,19.12,23.04,27.43,24.81,20.97,17.26,11.85,9.47,7.99,13.35,25.09,16.69,15.78
1996,8.87,6.22,10.12,12.71,16.87,20.68,26.10,26.82,20.05,15.21,11.88,9.02,8.19,13.23,24.53,15.71,15.42
1997,8.04,10.43,10.77,13.10,20.00,25.58,27.57,25.90,21.23,16.38,10.78,7.77,9.16,14.62,26.35,16.13,16.57
1998,6.69,9.10,10.04,13.87,16.45,24.05,28.27,26.35,22.84,14.49,10.65,6.24,7.85,13.45,26.22,15.99,15.88
1999,7.01,5.53,10.13,14.56,22.13,26.21,26.81,30.48,22.88,19.58,9.57,6.54,6.26,15.61,27.83,17.34,16.76
2000,5.06,8.86,12.16,15.16,21.36,24.16,28.66,27.66,23.09,14.76,11.56,8.65,6.82,16.23,26.83,16.47,16.59
2001,7.09,6.65,14.85,13.65,17.95,25.47,28.95,28.25,22.55,20.85,10.25,6.34,7.46,15.48,27.56,17.88,17.10
2002,6.54,8.94,11.84,14.24,19.34,25.84,27.41,25.72,21.62,18.02,11.52,8.80,7.27,15.14,26.32,17.05,16.45
2003,6.30,5.70,11.00,14.43,19.00,25.90,30.40,28.28,21.88,18.20,12.15,6.89,6.93,14.81,28.19,17.41,16.84
2004,7.39,9.99,11.69,12.39,14.79,23.29,27.59,28.19,22.19,19.49,9.79,7.20,8.09,12.96,26.36,17.16,16.14
2005,5.10,4.80,11.80,14.35,21.50,25.30,29.70,26.85,21.10,18.05,10.50,6.10,5.70,15.88,27.28,16.55,16.35
2006,4.90,6.20,11.50,16.80,20.80,25.30,27.70,26.10,20.90,19.80,12.50,7.41,5.73,16.37,26.37,17.73,16.55
2007,8.31,9.11,9.11,13.21,18.01,24.91,27.91,27.21,21.61,16.81,9.61,6.62,8.28,13.44,26.68,16.01,16.10
2008,7.52,8.72,10.42,14.62,19.27,23.57,29.22,27.92,22.42,16.12,9.42,6.12,7.62,14.77,26.90,15.99,16.32
2009,6.32,6.32,10.12,11.02,19.62,25.42,30.12,27.52,20.72,16.52,12.52,9.03,6.25,13.59,27.69,16.59,16.03
2010,7.63,9.13,11.53,14.63,16.23,23.37,28.63,27.53,22.13,16.63,10.73,7.84,8.60,14.13,26.51,16.50,16.43
2011,7.34,6.64,10.04,15.54,18.04,22.74,27.94,28.04,23.84,16.54,11.54,7.74,7.27,14.54,26.24,17.31,16.34
2012,6.44,4.24,11.34,13.54,20.54,28.24,29.74,30.14,22.84,18.34,12.54,7.85,6.14,15.14,29.37,17.91,17.14
2013,6.95,5.45,11.25,14.55,16.65,22.35,27.85,25.95,22.15,21.55,10.35,7.16,6.75,14.15,25.38,18.02,16.07
2014,7.96,9.26,7.96,15.96,18.96,23.36,27.86,28.46,24.20,19.26,13.46,6.86,8.13,14.29,26.56,18.97,16.99
2015,5.96,5.36,10.36,16.66,21.16,23.46,28.41,27.96,23.21,17.71,11.77,9.43,6.06,16.06,26.61,17.56,16.57
2016,9.13,8.93,10.18,15.83,19.23,24.28,27.88,26.48,22.23,19.83,11.83,9.09,9.16,15.08,26.21,17.96,17.11
2017,4.39,9.84,12.74,14.89,21.84,26.29,28.99,29.24,21.79,16.84,10.59,999.90,7.77,16.49,28.17,16.41,17.21
2018,8.14,6.14,10.44,14.09,16.69,22.54,30.14,25.19,23.99,16.39,11.49,999.90,7.29,13.74,25.96,17.29,16.07
2019,5.75,7.80,11.20,14.25,16.75,27.30,29.75,28.90,23.40,18.35,10.35,10.41,6.93,14.07,28.65,17.37,16.75
2020,7.70,11.55,11.50,15.50,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,9.89,15.65,999.90,999.90,999.90
