YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1996,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,15.85,13.10,999.90,999.90,999.90,999.90,16.97,999.90
1997,999.90,10.90,11.10,14.15,20.00,24.65,26.25,25.80,999.90,18.00,12.20,999.90,999.90,15.08,25.57,17.60,16.69
1998,999.90,10.20,11.20,14.05,16.29,24.65,27.85,26.70,23.60,15.65,12.10,999.90,999.90,13.85,26.40,17.12,16.40
1999,8.45,999.90,10.90,14.00,21.60,24.90,26.60,29.84,999.90,20.55,10.75,8.20,999.90,15.50,27.11,18.15,17.53
2000,6.65,10.79,12.95,15.10,20.70,23.80,28.15,28.30,999.90,16.00,12.79,10.80,8.55,16.25,26.75,16.89,17.11
2001,999.90,8.34,15.20,13.95,17.04,24.90,27.65,28.00,22.90,22.00,11.65,7.85,9.27,15.40,26.85,18.85,17.59
2002,8.64,10.65,12.65,14.24,19.50,26.05,26.09,25.10,21.85,12.60,12.45,10.25,9.05,15.46,25.75,15.63,16.47
2003,7.05,6.50,999.90,999.90,17.40,26.55,29.75,999.90,999.90,16.80,14.54,7.75,7.93,999.90,28.61,18.17,17.51
2004,8.50,9.37,11.40,999.90,14.20,22.90,27.15,28.75,23.55,21.94,10.95,8.14,8.54,12.57,26.27,18.81,16.55
2005,7.90,7.15,11.75,14.04,21.20,24.45,27.99,25.85,21.50,18.30,11.60,7.60,7.73,15.66,26.10,17.13,16.66
2006,5.60,6.85,12.10,16.45,21.20,24.55,27.60,25.60,22.20,21.25,14.05,9.30,6.68,16.58,25.92,19.17,17.09
2007,9.95,10.25,9.65,13.20,17.40,23.10,27.24,26.74,22.30,17.10,10.75,7.75,9.83,13.42,25.69,16.72,16.41
2008,8.80,9.75,10.35,14.10,17.65,21.80,27.85,27.59,22.90,17.35,10.45,7.30,8.77,14.03,25.75,16.90,16.36
2009,999.90,7.15,10.65,11.10,19.05,24.50,29.79,27.00,20.90,17.70,14.30,10.60,6.92,13.60,27.10,17.63,16.31
2010,8.75,9.80,11.54,14.50,15.89,21.55,27.90,27.05,22.40,17.55,11.90,9.15,9.72,13.98,25.50,17.28,16.62
2011,8.65,7.80,10.75,15.80,17.85,22.45,26.90,28.25,23.40,17.30,12.95,9.25,8.53,14.80,25.87,17.88,16.77
2012,7.85,4.45,11.55,13.10,18.90,26.39,28.15,30.20,23.55,18.95,14.95,9.65,7.18,14.52,28.25,19.15,17.27
2013,8.20,6.85,11.60,13.85,15.75,20.40,26.39,25.75,22.65,22.20,11.10,8.70,8.23,13.73,24.18,18.65,16.20
2014,9.55,10.25,9.55,15.55,18.40,22.60,26.05,27.45,25.10,20.20,999.90,999.90,9.50,14.50,25.37,19.90,17.32
2015,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
2016,999.90,999.90,999.90,999.90,999.90,23.20,27.35,26.00,22.35,21.05,13.20,10.35,999.90,999.90,25.52,18.87,999.90
2017,6.20,10.75,12.95,14.55,21.10,25.75,28.90,999.90,22.70,17.95,12.00,7.95,9.10,16.20,27.79,17.55,17.66
2018,9.45,7.20,10.80,14.10,15.85,21.85,28.25,25.40,23.55,16.80,12.25,10.70,8.20,13.58,25.17,17.53,16.12
2019,6.70,8.65,11.65,13.70,16.90,25.75,28.10,28.25,23.60,18.55,11.35,11.05,8.68,14.08,27.37,17.83,16.99
2020,8.75,13.80,11.85,15.05,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,11.20,15.25,999.90,999.90,999.90
