YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1967,999.90,999.90,999.90,999.90,999.90,32.68,999.90,999.90,999.90,999.90,19.13,9.87,999.90,999.90,999.90,999.90,999.90
1968,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1969,12.60,18.10,20.90,21.10,27.10,31.50,32.70,34.80,30.50,22.40,18.80,9.70,15.15,23.03,33.00,23.90,23.77
1970,12.50,14.30,18.70,21.10,26.40,32.60,34.20,35.50,30.30,27.20,17.40,12.10,12.17,22.07,34.10,24.97,23.33
1971,11.10,12.80,17.10,22.30,24.60,32.70,36.00,33.60,29.80,22.10,14.60,11.40,12.00,21.33,34.10,22.17,22.40
1972,999.90,13.80,17.50,21.40,24.90,32.40,999.90,35.40,29.70,23.00,17.80,9.70,11.96,21.27,34.58,23.50,22.83
1973,9.60,12.10,16.75,23.74,999.90,999.90,999.90,35.35,31.64,23.73,17.18,10.66,10.47,22.63,999.90,24.18,22.84
1974,11.33,12.99,17.83,22.25,28.56,35.42,999.90,999.90,999.90,22.42,17.18,11.28,11.66,22.88,999.90,23.36,23.05
1975,999.90,999.90,17.07,22.50,999.90,999.90,999.90,999.90,33.75,23.73,14.93,14.03,999.90,22.17,999.90,24.14,999.90
1976,9.79,14.96,15.61,20.91,25.47,31.26,35.21,999.90,999.90,999.90,999.90,999.90,12.93,20.66,33.51,999.90,22.53
1977,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1978,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,22.84,16.53,15.94,999.90,999.90,999.90,23.25,999.90
1979,15.73,15.58,19.88,24.05,29.75,999.90,999.90,37.94,999.90,999.90,999.90,999.90,15.75,24.56,999.90,999.90,999.90
1980,13.03,999.90,999.90,999.90,26.61,999.90,37.19,37.94,999.90,999.90,999.90,10.94,999.90,999.90,36.61,999.90,999.90
1981,10.16,999.90,20.04,22.90,27.80,33.29,38.10,32.49,999.90,999.90,16.64,13.41,11.40,23.58,34.63,999.90,23.36
1982,13.51,15.97,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,14.30,999.90,999.90,999.90,999.90
1983,999.90,999.90,999.90,25.62,30.64,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,25.76,999.90,999.90,999.90
1984,11.67,14.43,999.90,24.40,999.90,34.00,34.00,35.10,999.90,21.50,16.20,999.90,12.85,999.90,34.37,22.41,23.04
1985,10.00,999.90,999.90,999.90,26.90,999.90,999.90,35.00,30.20,999.90,999.90,11.30,999.90,999.90,999.90,999.90,999.90
1986,10.60,15.66,16.73,23.19,30.52,33.98,37.07,999.90,999.90,999.90,999.90,999.90,12.52,23.48,35.80,999.90,24.10
1987,10.44,999.90,21.59,25.14,29.44,34.34,36.24,35.54,999.90,24.57,16.12,15.56,999.90,25.39,35.37,23.91,24.48
1988,13.27,15.68,17.23,25.46,29.80,33.11,36.11,38.00,28.94,23.99,19.09,9.20,14.84,24.16,35.74,24.01,24.69
1989,10.18,13.84,19.62,21.84,27.45,32.24,999.90,999.90,32.64,999.90,18.74,14.64,11.07,22.97,999.90,25.77,23.69
1990,999.90,999.90,999.90,22.04,999.90,34.74,37.88,36.23,30.94,28.74,17.24,999.90,999.90,999.90,36.28,25.64,999.90
1991,9.94,14.10,999.90,21.54,26.92,33.85,36.94,35.61,999.90,22.34,15.78,12.03,11.82,21.86,35.47,22.62,22.94
1992,8.96,14.25,15.99,22.35,26.14,30.34,36.82,35.93,32.64,25.09,15.43,13.97,11.75,21.49,34.36,24.39,23.00
1993,11.13,13.39,18.88,24.25,26.59,999.90,37.87,36.55,31.20,24.64,17.42,12.10,12.83,23.24,36.25,24.42,24.19
1994,999.90,13.54,18.59,23.11,28.19,34.84,35.24,34.94,31.23,23.19,17.46,11.54,12.18,23.30,35.01,23.96,23.61
1995,9.60,14.79,18.10,22.30,31.57,33.29,34.61,37.57,32.89,23.59,17.54,14.97,11.98,23.99,35.16,24.67,23.95
