YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1985,999.90,11.90,999.90,17.60,999.90,999.90,999.90,999.90,24.70,19.10,13.40,9.00,999.90,999.90,999.90,19.07,999.90
1986,999.90,8.90,999.90,999.90,24.30,26.90,29.80,999.90,25.40,18.50,12.20,999.90,8.54,999.90,28.72,18.70,18.21
1987,6.50,12.60,13.10,18.80,20.60,27.40,999.90,31.80,999.90,21.70,12.10,10.90,9.58,17.50,30.33,19.76,19.29
1988,10.20,11.12,12.80,19.39,24.09,28.03,32.35,33.32,26.37,22.21,16.35,9.18,10.74,18.76,31.23,21.64,20.59
1989,9.10,10.65,14.50,999.90,22.00,24.70,30.50,999.90,25.20,999.90,14.60,999.90,9.64,18.02,27.97,20.20,18.96
1990,999.90,999.90,999.90,999.90,999.90,28.40,999.90,28.70,26.60,20.20,13.20,999.90,999.90,999.90,29.28,20.00,999.90
1991,5.70,8.30,12.80,14.20,17.90,26.70,999.90,30.30,26.00,19.53,13.09,999.90,7.03,14.97,29.23,19.54,17.69
1992,999.90,8.90,999.90,15.20,22.61,999.90,28.70,30.40,26.20,999.90,999.90,9.10,999.90,16.81,28.45,999.90,999.90
1993,8.20,999.90,999.90,18.04,999.90,30.97,31.20,999.90,24.90,20.50,999.90,9.30,9.03,999.90,31.46,19.54,19.56
1994,9.20,10.30,16.77,16.73,25.37,30.56,32.50,33.50,25.40,18.80,15.26,9.92,9.60,19.62,32.19,19.82,20.31
1995,999.90,12.70,12.40,15.60,23.20,26.74,999.90,29.80,23.50,999.90,15.25,11.89,10.90,17.07,29.00,19.68,19.16
1996,10.40,999.90,12.60,15.91,20.44,26.58,30.30,29.60,23.50,19.10,15.45,11.74,11.52,16.32,28.83,19.35,19.00
1997,10.50,14.19,13.74,18.06,24.90,28.94,31.83,30.75,24.75,20.76,13.14,10.20,12.14,18.90,30.51,19.55,20.27
1998,8.90,10.50,13.50,17.30,18.90,999.90,32.00,999.90,999.90,999.90,999.90,8.95,9.87,16.57,999.90,999.90,999.90
1999,9.35,9.25,13.80,18.60,25.79,30.00,31.85,33.44,26.40,22.50,13.05,9.05,9.18,19.40,31.76,20.65,20.25
2000,6.77,11.11,14.80,17.90,25.00,28.00,32.40,31.00,26.20,18.50,13.90,10.20,8.98,19.23,30.47,19.53,19.55
2001,999.90,10.00,17.60,17.60,22.30,28.60,32.40,32.00,26.00,23.50,13.20,8.10,9.69,19.17,31.00,20.90,20.19
2002,7.90,11.20,15.40,18.30,23.30,29.60,999.90,29.95,25.30,20.50,14.00,10.80,9.07,19.00,30.50,19.93,19.63
2003,8.85,8.50,14.10,18.11,23.25,29.90,33.90,999.90,999.90,20.50,13.89,8.69,9.38,18.49,32.27,20.05,20.05
2004,10.30,11.10,14.45,999.90,18.10,26.65,30.85,32.10,25.50,21.80,12.25,9.60,10.03,16.04,29.87,19.85,18.95
2005,6.45,7.40,14.65,18.10,25.80,29.00,33.55,30.59,24.75,20.85,12.95,8.70,7.82,19.52,31.05,19.52,19.47
2006,7.29,8.75,14.25,19.90,25.39,28.80,31.75,30.75,24.45,22.80,15.20,10.20,8.25,19.85,30.43,20.82,19.84
2007,9.70,12.05,15.44,16.85,999.90,28.80,31.60,31.40,25.50,20.10,11.60,8.90,10.65,18.47,30.60,19.07,19.70
2008,9.10,11.60,13.50,18.40,22.60,27.50,32.70,31.80,25.60,18.70,11.50,7.40,9.87,18.17,30.67,18.60,19.32
2009,8.50,8.20,12.60,13.10,23.20,28.90,33.90,31.60,23.60,20.00,14.53,10.50,8.03,16.30,31.47,19.38,18.79
2010,9.70,11.20,14.70,17.90,20.20,27.50,32.60,31.60,25.80,19.10,13.20,9.20,10.47,17.60,30.57,19.37,19.50
2011,9.10,9.30,13.00,19.00,22.30,27.10,32.00,31.80,27.70,19.40,13.80,9.50,9.20,18.10,30.30,20.30,19.48
2012,8.00,6.60,13.70,16.30,24.10,31.80,33.90,33.14,26.90,20.80,15.04,9.20,8.03,18.03,32.95,20.91,19.98
2013,8.80,8.00,14.00,18.40,21.00,26.90,32.00,30.00,26.70,23.90,12.90,8.50,8.67,17.80,29.63,21.17,19.32
2014,9.60,11.50,12.80,19.70,23.20,27.60,30.86,32.50,28.10,22.10,15.67,9.20,9.87,18.57,30.32,21.96,20.18
2015,8.74,8.70,13.71,20.23,25.16,27.70,32.38,31.45,26.34,19.75,14.17,9.63,8.88,19.70,30.51,20.09,19.79
2016,10.66,12.11,13.14,19.44,22.81,28.28,31.54,30.61,25.75,22.33,999.90,11.36,10.80,18.46,30.14,20.88,20.07
2017,8.47,13.17,16.89,20.66,27.93,31.92,34.80,999.90,999.90,21.18,13.73,9.50,11.00,21.83,33.73,20.31,21.72
2018,11.06,9.84,14.53,19.33,22.71,999.90,999.90,30.95,28.85,19.99,999.90,11.16,10.13,18.86,999.90,21.26,20.39
2019,9.03,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,12.25,11.35,10.47,999.90,999.90,999.90,999.90
2020,8.70,13.15,14.05,18.05,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,11.07,18.38,999.90,999.90,999.90
