YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1985,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,12.62,999.90,999.90,999.90,999.90,999.90,999.90
1986,6.42,7.62,9.12,999.90,18.42,20.42,25.62,25.92,20.82,16.92,10.62,6.80,7.28,13.52,23.99,16.12,15.23
1987,6.40,7.40,999.90,999.90,14.10,999.90,999.90,999.90,23.30,19.30,999.90,999.90,6.87,999.90,999.90,18.68,999.90
1988,999.90,999.90,999.90,13.07,18.37,20.77,26.47,25.17,999.90,18.57,11.57,6.25,999.90,14.10,24.14,17.34,15.87
1989,999.90,7.35,999.90,11.85,15.85,999.90,24.85,25.65,21.05,999.90,12.35,10.82,6.63,12.23,24.11,17.05,15.00
1990,999.90,999.90,10.02,11.32,16.12,22.82,23.62,999.90,999.90,18.62,11.32,5.79,999.90,12.49,23.77,17.24,15.18
1991,999.90,999.90,999.90,999.90,999.90,999.90,24.69,999.90,21.89,999.90,999.90,5.97,999.90,999.90,999.90,999.90,999.90
1992,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,21.67,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1993,999.90,999.90,999.90,999.90,999.90,999.90,999.90,25.54,21.34,999.90,11.04,8.22,999.90,999.90,999.90,16.54,999.90
1994,7.52,7.82,11.02,9.92,19.32,21.82,25.62,28.02,22.72,16.52,13.12,8.49,7.85,13.42,25.15,17.45,15.97
1995,5.83,9.89,8.64,11.14,999.90,21.29,25.09,24.49,20.89,16.59,11.29,999.90,8.07,11.76,23.62,16.26,14.93
1996,8.97,6.12,9.72,11.37,15.76,999.90,24.02,24.97,19.57,14.81,12.37,9.74,7.81,12.28,23.36,15.58,14.76
1997,9.34,9.09,8.98,11.03,18.74,24.24,25.08,24.78,999.90,17.04,11.74,8.81,9.39,12.92,24.70,16.66,15.92
1998,999.90,8.01,9.25,13.15,15.41,23.81,25.60,24.76,22.56,15.16,10.21,6.59,8.24,12.60,24.72,15.98,15.38
1999,7.48,5.59,9.89,12.89,20.14,23.54,24.79,28.74,23.19,19.94,11.24,7.76,6.55,14.31,25.69,18.12,16.17
2000,5.11,8.16,11.31,13.96,19.51,21.51,25.55,26.06,999.90,16.11,12.91,9.84,7.01,14.93,24.37,16.78,15.77
2001,999.90,7.59,14.09,11.84,16.69,999.90,25.94,25.63,21.98,20.44,11.64,7.16,8.54,14.21,24.65,18.02,16.35
2002,6.41,7.26,11.06,13.36,17.76,23.60,25.36,999.90,21.21,17.71,12.16,9.26,6.94,14.06,25.03,17.03,15.77
2003,999.90,6.06,999.90,13.31,17.46,24.51,27.91,27.52,999.90,18.21,12.46,7.40,7.49,13.77,26.65,17.61,16.38
2004,7.60,9.44,10.10,11.94,14.80,20.90,25.50,26.20,20.90,19.40,10.00,7.90,8.15,12.28,24.20,16.77,15.35
2005,5.00,4.60,10.10,13.20,18.50,22.50,26.47,24.07,20.67,17.67,12.07,6.56,5.83,13.93,24.35,16.80,15.23
2006,5.05,6.66,10.86,15.16,19.56,24.06,26.26,24.26,20.96,18.86,12.96,8.36,6.09,15.19,24.86,17.59,15.93
2007,9.66,8.76,9.06,12.86,16.76,22.96,25.66,25.56,21.16,16.56,10.46,7.05,8.93,12.89,24.73,16.06,15.65
2008,8.25,8.55,9.85,13.65,17.95,21.05,26.73,26.25,21.65,17.45,10.75,7.15,7.95,13.82,24.68,16.62,15.77
2009,999.90,6.25,9.65,10.85,18.05,22.65,27.75,25.85,20.05,15.45,13.15,10.44,6.53,12.85,25.42,16.22,15.25
2010,10.44,9.44,10.94,13.54,15.14,20.44,25.94,25.24,21.54,17.69,11.94,9.24,10.11,13.21,23.87,17.06,16.06
2011,8.14,6.94,9.44,14.34,16.24,20.64,25.34,25.94,21.74,15.94,12.24,8.43,8.11,13.34,23.97,16.64,15.52
2012,6.63,4.03,10.53,12.83,17.23,25.13,26.73,28.53,21.73,19.03,13.83,9.13,6.36,13.53,26.80,18.20,16.22
2013,7.50,5.73,11.23,13.93,15.33,19.83,25.33,23.93,22.03,20.93,10.73,8.12,7.45,13.50,23.03,17.90,15.47
2014,8.52,9.67,8.32,13.62,16.52,22.22,24.62,25.92,23.82,21.42,14.52,7.62,8.77,12.82,24.25,19.92,16.44
2015,7.22,5.52,9.22,14.02,18.22,21.67,26.77,26.37,22.27,18.27,12.17,10.36,6.79,13.82,24.94,17.57,15.78
2016,9.86,10.16,10.11,15.11,17.06,22.06,25.36,24.41,21.11,19.81,13.11,9.91,10.13,14.09,23.94,18.01,16.54
2017,5.16,9.66,11.76,13.26,19.06,24.56,27.31,28.21,21.71,16.51,11.26,7.15,8.24,14.69,26.69,16.49,16.53
2018,9.55,6.85,10.95,14.45,16.20,20.90,27.80,23.75,23.25,16.50,12.50,10.00,7.85,13.87,24.15,17.42,15.82
2019,5.80,6.75,9.80,12.05,13.85,24.60,27.15,999.90,21.90,17.35,10.15,10.76,7.52,11.90,26.43,16.47,15.58
2020,7.65,10.80,9.80,14.15,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,9.74,13.84,999.90,999.90,999.90
