YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1973,999.90,13.29,17.26,999.90,999.90,37.33,999.90,999.90,33.45,999.90,999.90,10.46,999.90,999.90,999.90,999.90,999.90
1974,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1975,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,16.23,15.45,999.90,999.90,999.90,999.90,999.90
1976,11.10,14.38,16.82,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,14.74,13.64,999.90,999.90,999.90,999.90
1977,13.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,15.16,999.90,999.90,999.90,999.90
1978,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1979,18.11,18.46,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,18.08,999.90,999.90,999.90,999.90
1980,999.90,16.52,19.58,25.29,28.58,34.65,36.36,35.98,31.94,24.38,19.39,12.79,999.90,24.48,35.66,25.24,24.73
1981,12.02,13.72,21.99,25.25,29.41,35.06,36.72,33.49,33.82,26.27,18.36,14.94,12.84,25.55,35.09,26.15,24.91
1982,14.18,15.04,19.81,999.90,999.90,999.90,999.90,37.73,999.90,26.07,999.90,999.90,14.72,999.90,999.90,999.90,999.90
1983,999.90,17.82,999.90,999.90,999.90,999.90,999.90,999.90,34.52,999.90,22.30,999.90,999.90,999.90,999.90,28.58,999.90
1984,12.93,999.90,999.90,28.51,28.82,999.90,37.68,999.90,999.90,999.90,999.90,999.90,999.90,26.24,999.90,999.90,999.90
1985,13.64,18.57,18.70,24.54,999.90,999.90,35.97,999.90,999.90,999.90,999.90,999.90,15.90,23.98,999.90,999.90,999.90
1986,999.90,17.79,19.87,22.94,999.90,35.33,999.90,999.90,999.90,24.48,15.94,12.12,999.90,23.77,999.90,23.72,999.90
1987,12.84,16.81,21.02,27.02,31.27,35.24,37.71,37.25,32.20,26.61,18.30,15.61,13.92,26.44,36.73,25.70,25.70
1988,14.15,17.12,19.01,26.01,29.74,34.89,38.28,37.09,31.34,26.07,20.08,10.41,15.63,24.92,36.75,25.83,25.78
1989,11.05,16.06,19.50,23.03,28.82,33.90,35.77,36.81,34.80,28.07,21.22,17.08,12.51,23.78,35.49,28.03,24.95
1990,999.90,999.90,22.39,24.15,29.31,36.59,37.33,36.50,34.81,28.94,19.37,999.90,999.90,25.28,36.81,27.71,26.20
1991,11.86,14.19,19.28,23.43,26.50,33.68,37.22,36.24,31.75,24.45,17.54,13.77,12.82,23.07,35.71,24.58,24.05
1992,11.25,16.95,17.62,22.38,26.35,31.22,35.39,35.84,32.14,25.07,16.89,14.47,13.99,22.12,34.15,24.70,23.74
1993,11.47,14.13,18.73,23.85,27.77,35.42,40.06,35.56,34.18,28.25,18.00,14.11,13.36,23.45,37.01,26.81,25.16
1994,13.93,15.70,19.32,22.21,29.67,35.42,35.79,36.34,31.72,25.43,19.35,13.39,14.58,23.73,35.85,25.50,24.92
1995,11.19,16.82,18.78,23.07,31.68,33.41,35.97,38.47,33.90,25.18,19.91,15.83,13.80,24.51,35.95,26.33,25.15
1996,16.32,15.37,21.28,24.67,29.25,34.07,37.59,37.66,32.59,25.06,18.91,14.23,15.84,25.07,36.44,25.52,25.72
1997,14.45,17.07,18.36,23.53,28.52,34.56,38.71,36.41,33.18,25.47,19.12,14.30,15.25,23.47,36.56,25.92,25.30
1998,13.96,17.52,19.26,25.87,27.68,34.05,37.80,37.63,34.42,25.25,18.61,12.47,15.26,24.27,36.49,26.09,25.53
1999,12.17,13.30,19.96,27.63,31.89,36.79,39.13,38.18,34.80,28.84,17.87,12.17,12.65,26.49,38.03,27.17,26.09
2000,11.60,15.40,21.20,26.10,30.39,35.10,38.30,36.20,32.40,23.60,19.40,15.10,13.06,25.90,36.53,25.13,25.15
2001,13.40,15.00,23.90,25.43,29.80,36.40,38.60,37.00,35.05,29.50,20.00,14.80,14.50,26.38,37.33,28.18,26.60
2002,13.00,16.30,21.60,24.40,30.70,34.90,39.52,38.30,33.90,27.00,19.15,16.35,14.70,25.57,37.57,26.68,26.13
2003,12.30,15.00,21.69,24.45,31.10,36.00,37.84,35.80,33.02,29.50,18.60,13.50,14.55,25.75,36.55,27.04,25.97
2004,13.90,17.75,21.40,23.94,26.44,34.70,37.20,37.13,31.60,28.40,17.30,13.50,15.05,23.93,36.34,25.77,25.27
2005,11.10,13.45,21.40,26.87,33.20,34.35,38.15,36.60,33.20,27.85,20.50,13.30,12.68,27.16,36.37,27.18,25.85
2006,11.15,15.40,22.10,28.60,31.60,35.70,37.70,38.10,31.70,27.70,20.40,13.20,13.28,27.43,37.17,26.60,26.12
2007,15.05,18.50,19.10,24.80,29.30,34.80,37.80,37.12,35.00,27.60,18.60,13.10,15.58,24.40,36.57,27.07,25.91
2008,12.70,18.20,21.80,25.71,30.20,35.50,39.00,36.63,33.95,25.30,17.30,12.70,14.67,25.90,37.04,25.52,25.78
