YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1992,999.90,999.90,999.90,999.90,999.90,999.90,999.90,32.09,28.78,26.34,16.25,13.31,999.90,999.90,999.90,23.79,999.90
1993,10.11,14.13,17.55,23.74,29.08,34.75,32.51,31.58,32.24,26.52,21.40,13.06,12.52,23.46,32.95,26.72,23.91
1994,11.88,14.50,999.90,23.66,30.00,32.14,31.57,32.27,30.57,25.52,19.07,11.99,13.15,24.18,31.99,25.05,23.59
1995,9.95,15.65,18.72,23.58,30.19,34.00,33.46,35.57,34.55,25.21,18.86,15.70,12.53,24.16,34.34,26.21,24.31
1996,16.07,16.54,20.29,23.76,31.00,32.09,34.68,33.47,32.78,24.16,17.45,15.35,16.10,25.02,33.41,24.80,24.83
1997,14.60,13.95,16.47,22.48,29.82,999.90,33.73,33.74,31.26,25.67,19.00,13.90,14.63,22.92,33.60,25.31,24.12
1998,13.44,15.75,16.64,28.00,29.54,33.80,33.43,33.31,33.43,25.76,16.70,12.49,14.36,24.73,33.51,25.30,24.48
1999,12.37,12.40,20.37,26.21,31.62,33.88,34.41,34.77,33.80,27.30,19.92,12.49,12.42,26.07,34.35,27.01,24.96
2000,10.70,14.60,21.20,28.20,31.90,32.30,34.40,32.90,32.20,25.40,22.50,15.40,12.60,27.10,33.20,26.70,24.90
2001,13.20,14.40,23.80,24.01,30.40,33.40,34.70,33.20,34.61,26.30,20.30,15.10,14.33,26.07,33.77,27.07,25.31
2002,12.00,16.00,21.20,24.90,31.40,33.40,36.95,36.20,32.60,25.00,19.25,15.48,14.37,25.83,35.52,25.62,25.33
2003,13.25,14.30,19.20,25.50,31.30,33.30,34.48,34.16,32.55,28.65,20.76,14.70,14.34,25.33,33.98,27.32,25.24
2004,13.55,18.30,25.30,26.57,29.80,33.10,32.75,34.40,28.91,27.10,18.92,14.80,15.52,27.22,33.42,24.98,25.28
2005,10.35,14.30,22.00,25.60,30.55,32.25,34.80,33.85,31.74,27.55,20.40,14.80,13.15,26.05,33.63,26.56,24.85
2006,11.55,15.08,20.70,28.00,30.80,33.30,34.10,35.10,31.90,25.90,18.09,13.95,13.81,26.50,34.17,25.30,24.94
2007,14.40,17.00,19.00,26.30,29.70,34.40,33.90,34.70,31.42,26.70,19.65,13.80,15.12,25.00,34.33,25.92,25.09
2008,11.60,15.50,20.60,26.00,31.70,35.00,33.95,33.50,32.40,27.90,19.80,12.40,13.63,26.10,34.15,26.70,25.15
2009,14.20,15.70,22.20,24.00,28.80,33.40,35.00,33.50,31.60,25.80,18.20,17.00,14.10,25.00,33.97,25.20,24.57
2010,16.25,21.00,22.40,28.50,31.00,36.00,35.20,34.80,33.05,27.40,20.90,17.50,18.08,27.30,35.33,27.12,26.96
2011,15.01,14.90,22.90,24.20,29.90,33.60,35.80,34.90,32.20,24.20,20.80,13.40,15.80,25.67,34.77,25.73,25.49
2012,11.40,12.40,18.50,26.40,30.46,33.96,33.29,32.64,31.90,28.09,21.45,13.82,12.40,25.12,33.30,27.15,24.49
2013,12.35,14.06,22.82,26.75,31.40,33.40,34.19,32.85,31.45,26.51,18.22,13.30,13.41,26.99,33.48,25.39,24.82
2014,14.40,16.30,18.70,999.90,999.90,33.70,35.42,35.15,32.60,25.00,20.95,12.80,14.67,999.90,34.76,26.18,25.41
2015,11.50,15.50,17.70,26.04,30.45,33.55,33.80,34.95,32.35,27.50,18.60,12.90,13.27,24.73,34.10,26.15,24.56
2016,13.95,16.75,18.30,28.55,31.40,35.10,33.95,32.85,31.55,27.90,20.35,15.00,14.53,26.08,33.97,26.60,25.30
2017,10.23,18.10,20.55,25.00,32.25,33.20,34.65,33.95,32.70,24.60,17.90,12.70,14.44,25.93,33.93,25.07,24.84
2018,14.45,15.95,22.25,27.90,31.60,35.05,35.80,35.00,31.45,27.10,20.45,13.75,14.37,27.25,35.28,26.33,25.81
2019,14.05,13.25,19.85,24.85,29.95,34.40,34.75,34.45,32.15,25.00,18.45,16.35,13.68,24.88,34.53,25.20,24.58
2020,13.55,16.55,17.70,27.10,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,15.48,24.93,999.90,999.90,999.90
