YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1979,14.54,999.90,18.16,21.71,999.90,31.49,999.90,35.52,999.90,999.90,15.72,999.90,999.90,22.22,34.27,999.90,999.90
1980,11.11,14.28,16.97,22.53,999.90,33.26,34.27,34.56,29.33,21.32,16.32,10.16,12.56,22.03,34.03,22.32,22.74
1981,10.26,12.12,19.92,21.78,26.66,31.95,34.78,31.67,29.97,24.17,16.10,13.53,10.85,22.79,32.80,23.41,22.46
1982,11.68,14.20,18.59,19.52,26.29,999.90,999.90,999.90,999.90,999.90,999.90,999.90,13.14,21.47,999.90,999.90,999.90
1983,8.04,15.18,20.32,22.26,27.70,999.90,999.90,999.90,999.90,999.90,999.90,999.90,11.47,23.43,999.90,999.90,999.90
1984,9.89,14.68,17.90,23.42,23.28,33.85,34.46,999.90,32.17,999.90,999.90,999.90,12.15,21.53,34.44,999.90,22.83
1985,999.90,999.90,999.90,22.98,25.94,34.88,999.90,999.90,999.90,999.90,999.90,11.04,999.90,22.21,999.90,999.90,999.90
1986,11.05,15.96,15.44,21.41,28.01,30.27,35.99,33.90,30.18,21.76,15.40,10.41,12.68,21.62,33.39,22.45,22.53
1987,11.97,15.49,20.12,24.97,28.78,34.01,34.53,36.40,31.28,25.06,15.80,15.03,12.62,24.62,34.98,24.05,24.07
1988,12.94,14.23,17.46,24.28,26.69,30.82,35.78,35.28,28.95,23.08,18.24,9.06,14.07,22.81,33.96,23.42,23.57
1989,8.47,12.83,17.95,21.57,26.35,999.90,35.75,35.84,32.65,24.65,17.95,15.76,10.12,21.96,34.74,25.08,22.98
1990,999.90,999.90,20.24,22.06,999.90,34.70,36.88,999.90,32.48,26.01,17.54,11.15,999.90,23.43,36.08,25.34,24.58
1991,9.45,12.66,16.86,20.83,24.19,32.03,36.48,36.30,30.35,22.43,15.80,11.80,11.09,20.63,34.94,22.86,22.38
1992,9.51,13.72,16.20,22.19,26.44,30.44,34.93,34.18,30.93,23.25,14.55,12.07,11.68,21.61,33.18,22.91,22.34
1993,9.79,11.69,16.99,22.96,25.88,33.04,37.12,35.58,28.88,23.06,14.98,11.82,11.18,21.94,35.25,22.31,22.67
1994,11.80,14.05,17.83,20.80,28.32,33.82,35.40,34.76,29.99,23.63,17.27,11.91,12.56,22.32,34.66,23.63,23.29
1995,10.40,14.78,16.15,19.79,29.56,31.59,34.66,36.57,29.98,22.70,18.92,13.89,12.36,21.83,34.27,23.87,23.08
1996,14.85,14.00,19.95,23.87,27.23,32.27,35.05,36.82,29.35,23.38,16.77,13.68,14.25,23.68,34.71,23.17,23.95
1997,13.05,15.77,17.18,21.43,28.21,33.75,37.18,34.96,30.84,24.21,18.05,13.15,14.17,22.27,35.30,24.37,24.03
1998,12.55,15.36,18.45,23.75,26.58,31.71,36.47,35.41,31.74,22.38,18.40,10.66,13.69,22.93,34.53,24.17,23.83
1999,11.30,12.47,17.85,24.15,30.59,34.75,39.37,36.65,32.05,26.14,16.31,10.95,11.48,24.20,36.92,24.83,24.36
2000,9.35,14.05,19.35,23.25,26.55,33.15,36.85,34.55,30.05,21.35,17.75,13.75,11.45,23.05,34.85,23.05,23.10
2001,12.45,13.85,21.95,999.90,27.35,34.95,37.65,35.85,33.51,27.05,17.25,12.65,13.35,24.62,36.15,25.94,25.01
2002,10.95,14.75,18.85,21.65,28.15,33.25,36.52,35.55,31.35,24.15,17.75,14.25,12.78,22.88,35.11,24.42,23.80
2003,11.35,13.15,18.97,22.97,29.93,33.99,38.45,35.79,32.34,999.90,17.65,13.48,12.92,23.96,36.08,25.07,24.51
