YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1983,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,18.92,14.94,9.38,999.90,999.90,999.90,19.27,999.90
1984,7.65,7.77,9.54,16.14,14.28,21.75,27.65,25.35,22.88,999.90,13.30,999.90,8.27,13.32,24.92,18.46,16.24
1985,6.84,12.24,8.77,13.98,16.27,23.14,27.81,25.98,23.47,18.33,14.37,9.95,9.73,13.01,25.64,18.72,16.78
1986,8.08,9.35,10.60,11.74,20.54,22.67,26.76,28.17,23.43,17.81,11.61,8.63,9.13,14.29,25.87,17.62,16.73
1987,8.52,9.64,12.41,17.27,18.25,23.29,25.37,28.06,25.53,19.87,12.65,11.99,8.93,15.98,25.57,19.35,17.46
1988,10.24,9.53,11.34,15.59,17.80,21.32,27.18,28.43,22.63,999.90,999.90,999.90,10.59,14.91,25.64,999.90,17.44
1989,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1990,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1991,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1992,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1993,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1994,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1995,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1996,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1997,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1998,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1999,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
2000,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
2001,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
2002,999.90,999.90,999.90,999.90,19.20,26.40,999.90,25.80,22.30,19.85,13.30,11.90,999.90,999.90,26.91,18.48,999.90
2003,8.00,7.00,13.22,14.33,18.26,27.15,29.84,28.77,23.68,18.84,13.91,9.38,8.97,15.27,28.59,18.81,17.91
2004,10.05,11.84,11.80,14.08,16.35,24.05,27.80,28.40,24.50,20.40,11.30,8.70,10.42,14.08,26.75,18.73,17.50
2005,8.80,9.50,12.84,14.45,21.65,24.99,28.84,26.30,22.75,20.60,12.50,9.40,9.00,16.31,26.71,18.62,17.66
2006,8.30,9.00,13.25,17.20,22.30,24.70,29.05,27.05,23.05,21.50,16.20,10.45,8.90,17.58,26.93,20.25,18.42
2007,10.35,11.70,10.90,14.00,18.74,22.70,27.95,27.80,999.90,17.65,12.15,9.20,10.83,14.55,26.15,17.24,17.19
2008,8.70,11.85,999.90,999.90,18.15,23.65,28.45,28.39,23.70,19.00,11.39,8.74,9.92,999.90,26.83,18.03,17.49
2009,9.10,9.40,13.19,13.00,20.90,26.09,29.70,27.60,21.40,19.40,16.35,12.60,9.08,15.70,27.80,19.05,17.91
2010,10.80,12.35,13.79,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,11.92,999.90,999.90,999.90,999.90
2011,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
2012,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
2013,999.90,999.90,999.90,13.90,16.25,21.70,26.00,26.90,999.90,21.85,11.10,9.75,999.90,13.41,24.87,18.82,16.45
2014,10.65,11.15,11.20,16.50,18.90,22.80,999.90,27.00,999.90,20.10,15.15,9.24,10.52,15.53,25.71,19.97,17.93
2015,7.60,8.50,11.69,17.40,21.40,23.80,29.85,28.80,23.30,19.75,13.30,12.10,8.45,16.83,27.48,18.78,17.89
2016,11.65,11.70,10.85,15.00,19.20,24.30,28.95,27.35,24.30,21.45,14.05,10.95,11.82,15.02,26.87,19.93,18.41
2017,8.05,12.65,13.60,16.65,22.15,26.90,29.15,29.25,23.60,19.25,13.10,9.55,10.55,17.47,28.43,18.65,18.78
2018,10.55,8.60,12.65,15.85,15.65,23.25,28.00,26.90,24.90,18.20,13.95,11.35,9.57,14.72,26.05,19.02,17.34
2019,8.05,10.30,13.25,15.00,19.80,23.30,28.00,27.95,24.30,19.05,13.35,11.80,9.90,16.02,26.42,18.90,17.81
2020,8.45,13.50,13.25,16.55,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,11.25,16.63,999.90,999.90,999.90
