YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1980,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,3.52,999.90,999.90,999.90,999.90,999.90
1981,2.71,5.44,11.23,12.50,16.95,22.51,22.83,23.70,19.91,17.24,9.95,6.81,3.89,13.56,23.01,15.70,14.04
1982,5.90,5.95,7.26,9.82,15.05,23.01,27.22,24.73,20.75,13.77,8.69,3.52,6.22,10.71,24.99,14.40,14.08
1983,5.78,4.94,8.19,12.97,16.13,21.72,26.89,25.14,21.21,15.70,10.48,5.56,4.75,12.43,24.58,15.80,14.39
1984,4.62,3.48,5.98,12.12,13.05,20.92,26.21,24.02,19.83,999.90,9.79,999.90,4.55,10.38,23.72,15.05,13.43
1985,2.50,9.15,5.65,12.06,14.43,23.30,27.27,24.65,20.77,14.05,9.96,6.10,5.99,10.71,25.07,14.93,14.18
1986,3.56,5.35,7.59,9.60,18.59,21.06,24.29,26.49,20.21,13.57,8.34,4.18,5.00,11.93,23.95,14.04,13.73
1987,3.54,4.82,7.38,13.03,14.40,21.94,25.73,27.30,23.57,18.16,8.18,8.28,4.18,11.60,24.99,16.64,14.35
1988,6.98,5.88,7.55,12.98,17.03,20.94,26.85,26.42,19.58,17.25,9.93,4.46,7.05,12.52,24.74,15.59,14.97
1989,5.03,6.26,10.22,9.50,16.18,19.15,25.12,25.17,20.13,14.74,11.23,9.85,5.25,11.97,23.15,15.37,13.93
1990,5.04,9.79,9.33,9.94,14.82,23.17,24.07,23.05,22.88,16.90,9.05,3.25,8.23,11.36,23.43,16.28,14.82
1991,4.75,3.96,8.50,8.22,11.72,20.11,25.41,24.86,21.09,13.64,8.27,4.53,3.99,9.48,23.46,14.33,12.81
1992,3.68,6.10,6.72,9.63,15.03,17.75,22.91,25.10,21.05,14.61,11.67,6.26,4.77,10.46,21.92,15.78,13.23
1993,5.29,4.40,6.76,10.94,16.01,23.46,25.52,26.35,19.53,15.94,9.10,6.10,5.32,11.24,25.11,14.86,14.13
1994,5.01,6.35,11.20,8.77,20.12,22.35,27.05,28.44,20.46,14.45,10.75,6.95,5.82,13.36,25.95,15.22,15.09
1995,3.34,7.98,7.18,9.86,16.69,21.31,25.99,23.09,18.95,16.21,10.08,7.42,6.09,11.24,23.46,15.08,13.97
1996,6.70,3.81,8.01,10.36,14.88,18.64,24.14,25.53,17.57,13.08,10.27,7.19,5.98,11.08,22.77,13.64,13.37
1997,6.10,8.60,8.90,11.90,18.84,24.84,25.65,24.65,19.57,15.22,9.13,6.24,7.30,13.21,25.05,14.64,15.05
1998,5.55,7.03,8.59,11.92,14.56,23.09,26.58,24.85,21.02,13.59,8.84,4.83,6.27,11.69,24.84,14.48,14.32
1999,5.79,4.07,8.38,12.41,20.27,23.56,24.82,28.32,21.45,17.59,8.02,5.24,4.90,13.69,25.57,15.69,14.96
2000,3.65,7.25,10.25,13.15,19.25,21.85,26.45,25.65,20.95,13.15,9.85,7.55,5.38,14.22,24.65,14.65,14.72
2001,5.45,5.35,12.85,11.61,16.15,23.55,27.05,26.25,20.50,19.45,8.85,5.05,6.12,13.54,25.62,16.27,15.38
2002,5.35,7.45,10.08,12.15,17.65,23.85,26.05,24.58,20.06,16.41,10.26,6.94,5.95,13.29,24.83,15.58,14.91
2003,5.16,4.50,8.99,13.24,17.47,24.06,28.39,26.80,20.27,16.90,10.41,5.07,5.53,13.23,26.42,15.86,15.26
2004,5.56,7.77,9.86,10.74,13.46,20.98,25.56,26.26,20.26,17.76,8.16,5.76,6.13,11.35,24.27,15.39,14.29
2005,3.42,3.43,10.00,12.42,18.67,22.49,27.12,24.36,19.78,16.27,10.20,5.14,4.20,13.70,24.66,15.42,14.49
2006,3.25,4.99,9.75,14.79,19.39,23.79,25.99,24.59,19.59,18.16,10.80,6.74,4.46,14.64,24.79,16.18,15.02
2007,7.39,7.39,7.79,12.39,16.39,23.39,25.99,25.89,20.49,15.85,8.69,5.49,7.17,12.19,25.09,15.01,14.87
2008,6.64,7.29,8.69,12.69,17.19,21.29,26.79,25.79,20.59,15.39,8.35,4.87,6.47,12.86,24.62,14.78,14.68
2009,5.39,4.88,8.28,9.49,17.29,22.89,28.09,26.19,19.29,14.99,10.59,8.29,5.05,11.69,25.72,14.96,14.35
2010,6.49,7.89,9.79,12.89,14.09,21.39,26.49,25.69,20.39,14.89,9.69,6.54,7.56,12.26,24.52,14.99,14.83
2011,6.09,5.09,8.59,13.69,16.29,21.19,26.39,26.49,22.09,14.79,11.09,6.19,5.91,12.86,24.69,15.99,14.86
2012,4.79,2.09,9.19,11.49,17.99,25.99,27.99,28.39,20.99,16.79,11.29,6.09,4.36,12.89,27.46,16.36,15.26
2013,5.39,3.89,9.49,12.79,15.19,20.39,26.09,24.19,20.89,19.29,8.99,5.59,5.12,12.49,23.56,16.39,14.39
2014,6.49,7.74,7.69,13.59,17.19,21.89,26.19,26.79,23.39,17.79,12.09,5.39,6.61,12.82,24.96,17.76,15.54
2015,4.29,4.39,8.20,13.80,18.40,21.50,26.45,25.75,21.30,15.80,10.15,7.25,4.69,13.47,24.57,15.75,14.62
2016,7.20,7.45,7.95,13.85,19.85,22.70,25.95,24.65,20.90,18.50,10.55,7.70,7.30,13.88,24.43,16.65,15.57
2017,3.40,8.35,11.05,13.00,20.35,24.75,27.35,27.95,20.75,15.65,9.15,999.90,6.48,14.80,26.68,15.18,15.79
2018,6.60,4.85,9.00,12.75,15.40,20.75,28.35,23.45,22.25,14.50,9.60,999.90,5.89,12.38,24.18,15.45,14.48
2019,3.60,5.50,9.30,12.25,14.50,25.40,27.75,27.00,21.65,16.20,8.35,7.93,4.72,12.02,26.72,15.40,14.71
2020,5.70,9.35,9.60,13.65,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,7.66,13.71,999.90,999.90,999.90
