YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1980,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,28.86,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1981,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1982,999.90,13.15,999.90,999.90,999.90,999.90,999.90,34.22,27.37,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1983,999.90,999.90,16.11,22.41,26.87,31.05,34.49,32.32,28.21,20.52,999.90,999.90,999.90,21.80,32.62,21.03,21.66
1984,9.64,11.88,15.51,19.77,25.28,29.81,32.63,32.53,28.38,999.90,15.51,999.90,10.73,20.19,31.66,22.17,21.19
1985,8.44,14.00,13.47,20.67,23.73,30.42,32.29,32.94,28.25,21.60,999.90,11.26,11.19,19.29,31.88,21.59,20.99
1986,9.03,11.85,13.83,18.12,25.14,28.59,33.13,34.32,29.30,23.42,14.59,10.70,10.71,19.03,32.01,22.44,21.05
1987,9.67,13.23,15.49,21.77,24.82,31.49,33.87,33.99,29.83,23.82,15.38,13.17,11.20,20.69,33.12,23.01,22.01
1988,12.43,13.04,16.00,21.81,28.25,30.35,34.41,33.39,26.62,23.83,16.68,10.38,12.88,22.02,32.72,22.38,22.50
1989,9.71,12.59,16.92,19.80,25.15,29.10,32.08,34.48,29.74,21.90,17.14,14.15,10.89,20.62,31.89,22.93,21.58
1990,11.45,14.02,16.33,19.89,999.90,31.76,32.88,31.41,31.94,24.16,16.10,9.90,13.21,20.55,32.02,24.07,22.46
1991,8.88,11.52,17.19,18.64,21.86,29.07,33.41,32.72,29.06,22.50,14.65,9.97,10.10,19.23,31.73,22.07,20.78
1992,8.64,11.44,15.20,19.25,23.98,28.83,31.22,32.93,28.95,23.33,15.76,11.02,10.02,19.48,30.99,22.68,20.79
1993,9.55,11.14,14.92,20.57,25.94,32.46,33.60,32.94,28.23,23.13,16.17,11.11,10.57,20.48,33.00,22.51,21.64
1994,11.30,12.70,17.14,18.58,27.95,31.23,33.56,33.84,29.19,22.10,16.45,11.15,11.70,21.22,32.88,22.58,22.10
1995,10.10,14.69,15.93,18.90,26.46,30.42,33.81,32.99,27.14,22.42,16.16,14.09,11.98,20.43,32.41,21.91,21.68
1996,12.91,999.90,16.39,20.56,25.48,28.17,31.97,34.52,26.97,20.31,16.32,13.69,14.06,20.81,31.55,21.20,21.91
1997,12.24,14.43,15.24,18.79,26.14,33.28,35.14,33.10,27.87,22.61,16.07,12.53,13.45,20.06,33.84,22.18,22.38
1998,10.74,13.63,16.09,21.67,25.03,31.09,33.76,33.40,30.30,21.07,15.17,9.71,12.30,20.93,32.75,22.18,22.04
1999,10.53,11.34,16.85,22.13,29.42,33.61,34.27,36.41,30.30,25.44,15.10,10.36,10.53,22.80,34.76,23.61,22.93
2000,7.80,12.54,17.60,22.90,28.69,30.50,34.00,32.70,29.20,21.00,16.10,12.50,10.23,23.06,32.40,22.10,21.95
2001,11.10,12.30,20.90,21.37,26.70,32.10,35.90,34.10,29.90,26.50,16.10,10.20,11.97,22.99,34.03,24.17,23.29
2002,8.90,13.10,18.20,21.70,26.10,31.45,34.59,33.50,28.90,22.64,16.80,12.70,10.73,22.00,33.18,22.78,22.17
2003,12.05,11.85,16.21,22.40,27.23,31.69,36.09,33.63,28.72,25.44,16.15,10.99,12.20,21.95,33.80,23.44,22.85
2004,11.50,14.34,17.55,20.98,23.50,30.20,33.10,35.10,27.82,24.70,14.65,11.60,12.28,20.68,32.80,22.39,22.04
2005,8.75,10.50,17.90,21.15,27.65,31.15,35.70,33.25,28.50,23.95,16.80,10.10,10.28,22.23,33.37,23.08,22.24
2006,9.10,12.20,18.30,23.70,28.50,32.00,34.40,33.50,26.80,24.30,16.60,12.50,10.47,23.50,33.30,22.57,22.46
2007,11.65,14.85,16.30,20.30,26.60,30.90,32.90,34.08,30.40,23.76,14.89,10.80,13.00,21.07,32.63,23.02,22.43
2008,12.10,12.80,17.38,23.00,27.30,30.50,35.80,34.09,29.90,23.20,15.30,10.50,11.90,22.56,33.46,22.80,22.68
2009,11.70,12.60,16.50,19.15,26.00,31.23,35.20,34.30,27.40,21.70,15.60,13.95,11.60,20.55,33.58,21.57,21.82
2010,12.90,15.75,18.80,22.15,25.70,31.74,34.50,34.40,28.40,22.10,16.20,12.20,14.20,22.22,33.55,22.23,23.05
2011,11.60,11.90,15.90,22.25,24.80,30.00,34.90,33.70,30.80,21.30,16.20,12.10,11.90,20.98,32.87,22.77,22.13
2012,10.45,9.70,16.60,21.30,26.90,34.05,36.30,34.60,29.10,24.45,18.40,11.30,10.75,21.60,34.98,23.98,22.83
2013,11.60,12.30,18.40,22.35,25.90,30.10,34.40,32.20,29.60,26.30,16.40,11.15,11.73,22.22,32.23,24.10,22.57
2014,12.25,14.75,16.10,22.60,27.00,30.50,34.70,34.10,31.40,24.30,18.45,11.20,12.72,21.90,33.10,24.72,23.11
2015,10.00,11.50,16.10,22.60,28.00,30.55,32.90,34.05,29.25,23.45,16.35,10.95,10.90,22.23,32.50,23.02,22.16
2016,12.50,14.50,16.60,23.30,27.25,31.65,33.55,32.85,29.35,26.00,16.90,13.30,12.65,22.38,32.68,24.08,22.95
2017,9.70,14.85,17.90,21.15,28.35,31.50,34.00,33.55,28.05,22.10,15.50,11.45,12.62,22.47,33.02,21.88,22.50
2018,12.70,12.70,18.45,22.30,25.90,30.65,37.50,32.15,30.20,22.70,16.55,12.45,12.28,22.22,33.43,23.15,22.77
2019,10.30,12.00,16.30,21.75,24.85,33.30,35.45,35.40,30.60,23.75,16.00,13.80,11.58,20.97,34.72,23.45,22.68
2020,10.90,14.55,17.25,22.50,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,13.08,22.31,999.90,999.90,999.90
