YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1880,9.80,11.60,999.90,15.50,17.60,21.80,25.40,25.00,22.90,19.50,14.60,11.30,10.86,15.41,24.07,19.00,17.33
1881,14.00,14.20,16.00,17.20,18.80,20.90,24.30,25.80,23.30,18.50,15.20,11.60,13.17,17.33,23.67,19.00,18.29
1882,11.20,11.50,12.60,16.40,18.20,21.30,23.00,23.80,21.30,18.10,14.90,12.10,11.43,15.73,22.70,18.10,16.99
1883,12.20,11.70,12.00,15.20,18.20,21.10,23.70,23.50,22.20,18.00,15.10,11.10,12.00,15.13,22.77,18.43,17.08
1884,11.00,13.50,13.40,15.10,17.60,20.60,24.00,24.70,21.80,17.90,14.40,11.80,11.87,15.37,23.10,18.03,17.09
1885,10.30,14.10,13.60,14.30,18.30,20.70,23.50,25.60,22.50,17.00,14.60,11.40,12.07,15.40,23.27,18.03,17.19
1886,10.80,11.20,14.60,15.80,18.90,21.30,23.40,23.40,22.40,18.30,14.50,12.10,11.13,16.43,22.70,18.40,17.17
1887,11.50,10.50,14.10,14.80,18.90,22.50,25.30,25.40,23.50,16.60,16.10,12.10,11.37,15.93,24.40,18.73,17.61
1888,11.60,10.10,13.40,16.30,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,11.27,16.11,999.90,999.90,999.90
1889,999.90,999.90,999.90,14.00,16.30,19.40,23.80,23.90,21.50,18.70,14.90,9.90,999.90,14.01,22.37,18.37,16.24
1890,11.00,10.60,11.60,14.70,16.10,20.90,22.40,23.30,20.70,18.40,13.60,10.90,10.50,14.13,22.20,17.57,16.10
1891,8.80,10.10,13.10,15.70,17.80,19.70,24.20,23.80,22.30,19.10,15.60,12.20,9.93,15.53,22.57,19.00,16.76
1892,11.80,12.80,14.50,15.10,18.30,22.30,24.90,23.80,22.50,18.30,15.30,12.20,12.27,15.97,23.67,18.70,17.65
1893,10.10,11.80,14.20,16.50,19.20,22.00,23.30,24.10,23.40,18.30,14.70,11.30,11.37,16.63,23.13,18.80,17.48
1894,11.30,11.30,13.10,15.70,17.60,20.10,23.40,24.30,21.40,19.40,15.80,12.60,11.30,15.47,22.60,18.87,17.06
1895,12.00,15.50,14.40,16.30,19.20,22.00,25.40,24.40,22.30,20.20,15.30,13.29,13.37,16.63,23.93,19.27,18.30
1896,11.09,10.89,13.19,13.59,16.49,20.29,23.39,21.99,22.09,16.89,12.39,11.79,11.76,14.42,21.89,17.12,16.30
1897,10.99,11.59,14.89,16.19,17.79,20.99,23.89,24.49,21.39,18.69,15.89,12.58,11.46,16.29,23.12,18.66,17.38
1898,12.08,11.28,12.38,14.38,17.18,20.28,22.38,23.98,22.38,19.28,14.58,12.07,11.98,14.65,22.21,18.75,16.90
1899,12.37,14.27,14.07,17.17,19.77,21.07,23.07,24.77,23.97,21.67,17.07,13.06,12.90,17.00,22.97,20.90,18.45
1900,12.56,15.56,13.06,15.76,18.26,21.66,22.96,999.90,22.46,19.66,14.76,12.25,13.73,15.69,23.00,18.96,17.84
1901,11.65,11.15,13.55,15.75,17.95,22.75,24.05,24.25,22.35,17.35,14.75,11.45,11.68,15.75,23.68,18.15,17.32
1902,10.85,13.55,14.05,16.55,17.05,20.25,23.75,24.95,22.15,16.35,15.35,12.14,11.95,15.88,22.98,17.95,17.19
1903,12.34,11.74,14.04,15.14,17.34,20.54,22.74,23.84,21.54,19.24,15.04,11.53,12.07,15.51,22.37,18.61,17.14
1904,11.03,12.33,13.03,15.13,18.43,21.43,24.63,25.33,22.03,19.33,15.23,13.32,11.63,15.53,23.80,18.86,17.45
1905,10.92,10.22,14.72,16.32,17.12,21.02,23.12,24.42,22.02,18.32,15.12,11.72,11.49,16.05,22.85,18.49,17.22
1906,12.12,11.32,13.52,14.62,17.52,20.82,22.92,24.22,22.32,18.82,14.92,11.21,11.72,15.22,22.65,18.69,17.07
1907,10.21,10.61,12.51,15.21,17.36,21.66,21.96,23.46,21.96,17.66,15.76,13.55,10.68,15.03,22.36,18.46,16.63
1908,12.05,11.55,11.85,14.05,17.55,19.85,22.85,23.95,23.15,18.65,16.05,13.04,12.38,14.48,22.22,19.28,17.09
1909,10.14,10.64,14.14,15.44,17.94,20.54,22.24,23.84,20.74,18.84,15.94,13.94,11.27,15.84,22.21,18.51,16.96
1910,11.74,13.34,12.34,14.84,17.34,20.94,23.44,23.74,21.74,19.64,15.74,13.43,13.01,14.84,22.71,19.04,17.40
1911,9.93,11.93,13.03,15.03,17.43,20.53,22.83,24.73,23.43,19.03,15.03,13.92,11.76,15.16,22.70,19.16,17.20
1912,12.62,14.92,15.12,14.72,18.92,20.92,22.52,23.22,20.32,18.22,13.92,11.51,13.82,16.25,22.22,17.49,17.45
1913,13.21,12.01,12.41,15.01,18.21,20.71,23.41,23.71,21.41,18.91,16.21,12.80,12.24,15.21,22.61,18.84,17.23
1914,11.00,13.40,14.30,15.90,18.10,20.00,22.90,23.40,22.20,18.40,15.30,11.34,12.40,16.10,22.10,18.63,17.31
1915,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1916,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1917,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1918,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1919,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1920,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1921,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1922,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1923,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1924,10.67,10.47,14.17,15.57,20.67,22.27,24.87,24.97,999.90,999.90,999.90,999.90,10.73,16.80,24.04,999.90,17.65
1925,7.96,10.06,10.56,999.90,999.90,20.66,22.86,25.56,999.90,999.90,13.16,12.55,9.17,999.90,23.03,999.90,999.90
1926,11.45,13.65,13.65,16.25,17.85,21.85,25.65,24.85,24.09,20.89,12.49,10.28,12.55,15.92,24.12,19.16,17.93
1927,10.18,10.68,12.68,15.58,19.88,21.98,23.78,26.78,24.28,18.78,14.08,10.68,10.38,16.05,24.18,19.05,17.41
1928,10.28,11.78,14.28,15.58,16.68,22.88,25.68,999.90,999.90,999.90,999.90,999.90,10.91,15.51,24.97,999.90,17.60
1929,999.90,12.27,12.67,16.17,17.47,21.77,23.97,24.27,23.47,18.07,13.67,12.26,999.90,15.44,23.34,18.40,17.05
