YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1957,999.90,999.90,999.90,14.51,15.97,999.90,22.97,25.00,21.58,19.28,14.60,11.20,999.90,14.01,22.89,18.49,16.48
1958,10.65,12.54,13.30,13.67,18.08,22.14,22.91,24.78,22.75,20.02,14.65,13.90,11.46,15.02,23.28,19.14,17.22
1959,10.31,10.52,14.10,14.17,17.68,20.76,23.38,999.90,23.26,17.94,999.90,999.90,11.58,15.32,22.82,18.56,17.07
1960,10.33,12.54,13.67,999.90,999.90,999.90,23.37,24.82,999.90,999.90,999.90,999.90,11.78,999.90,23.00,999.90,999.90
1961,9.84,999.90,999.90,999.90,18.63,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1962,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1963,999.90,9.91,11.61,14.41,15.51,20.51,24.51,25.51,22.11,16.71,16.21,13.40,999.90,13.84,23.51,18.34,16.59
1964,9.90,11.70,13.60,14.30,18.40,21.80,23.80,24.50,22.60,17.90,14.70,10.58,11.67,15.43,23.37,18.40,17.22
1965,10.48,8.57,999.90,999.90,999.90,999.90,999.90,999.90,21.58,20.58,16.24,12.57,9.88,999.90,999.90,19.47,999.90
1966,12.08,13.94,11.03,15.39,17.18,21.03,23.55,23.98,21.90,19.62,12.93,10.70,12.86,14.53,22.85,18.15,17.10
1967,9.40,10.88,12.38,14.01,18.27,19.71,24.10,25.31,22.50,20.12,15.78,10.06,10.33,14.89,23.04,19.47,16.93
1968,10.33,12.23,12.53,15.73,18.03,20.53,24.33,24.13,22.13,18.33,15.33,12.02,10.87,15.43,23.00,18.60,16.97
1969,10.82,10.82,12.82,14.52,18.02,19.42,22.22,24.12,21.82,18.62,15.42,10.00,11.22,15.12,21.92,18.62,16.72
1970,12.00,10.60,11.50,13.30,16.10,21.10,23.40,24.10,23.40,18.10,14.30,10.99,10.87,13.63,22.87,18.60,16.49
