YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1987,999.90,999.90,999.90,999.90,15.68,21.70,24.36,26.29,23.38,17.15,9.74,8.95,999.90,999.90,24.12,16.76,999.90
1988,7.03,6.31,8.55,12.15,16.11,19.68,26.12,26.95,20.56,16.84,10.96,4.77,7.43,12.27,24.25,16.12,15.02
1989,4.94,7.22,9.88,10.14,16.20,20.70,26.42,26.13,20.20,17.12,11.79,9.71,5.64,12.07,24.42,16.37,14.63
1990,5.50,10.03,10.59,10.44,16.30,23.36,25.24,25.63,24.03,15.74,9.54,5.00,8.41,12.44,24.74,16.44,15.51
1991,999.90,5.41,9.06,9.72,13.00,21.45,26.71,25.91,21.95,13.20,8.68,5.40,4.90,10.59,24.69,14.61,13.70
1992,4.21,6.66,7.36,10.79,15.47,16.74,23.25,24.80,21.88,14.50,10.46,6.61,5.42,11.21,21.60,15.61,13.46
1993,5.35,5.20,9.46,11.04,15.63,22.32,26.14,25.52,19.40,14.65,9.45,6.83,5.72,12.04,24.66,14.50,14.23
1994,5.55,6.80,10.70,9.26,18.27,23.12,27.37,28.22,19.78,15.42,10.98,7.36,6.39,12.74,26.24,15.39,15.19
1995,5.13,8.14,8.73,10.35,17.81,21.04,25.11,25.10,18.12,16.71,11.56,8.68,6.88,12.30,23.75,15.46,14.60
1996,7.94,5.20,9.00,11.45,14.46,19.53,24.71,24.21,18.49,13.37,10.77,8.20,7.27,11.64,22.82,14.21,13.98
1997,7.27,9.26,9.57,12.53,16.49,22.05,24.26,24.19,20.89,15.90,10.35,7.38,8.24,12.86,23.50,15.71,15.08
1998,6.31,7.81,8.82,11.45,14.71,23.47,26.38,25.90,22.68,13.80,10.33,5.86,7.17,11.66,25.25,15.60,14.92
1999,6.30,5.51,9.59,12.67,19.96,23.26,25.79,27.96,21.50,18.94,8.24,6.22,5.89,14.07,25.67,16.23,15.46
2000,3.60,7.60,10.60,12.90,19.10,23.50,27.20,26.90,21.10,14.00,10.50,8.50,5.81,14.20,25.87,15.20,15.27
2001,6.80,6.80,12.80,12.99,15.50,24.60,26.60,27.90,22.32,19.80,9.10,5.80,7.37,13.76,26.37,17.07,16.14
2002,5.90,7.80,10.40,11.80,16.90,24.20,24.74,23.80,20.40,16.90,11.00,8.85,6.50,13.03,24.25,16.10,14.97
2003,5.40,5.80,10.61,12.39,17.01,25.61,28.66,26.92,20.96,16.58,10.41,6.20,6.68,13.34,27.06,15.98,15.77
2004,6.90,8.41,9.65,11.26,13.05,22.50,26.30,26.50,21.90,18.00,8.70,6.00,7.17,11.32,25.10,16.20,14.95
2005,3.85,3.40,9.60,12.60,20.30,22.50,27.60,24.97,19.80,17.50,9.30,6.20,4.42,14.17,25.02,15.53,14.79
2006,4.30,5.30,9.90,15.00,19.00,24.00,27.40,25.00,20.40,18.70,12.90,6.90,5.27,14.63,25.47,17.33,15.68
2007,7.10,8.70,7.80,11.60,15.75,21.70,27.20,26.10,22.10,15.30,9.33,5.70,7.57,11.72,25.00,15.58,14.96
2008,6.40,8.30,8.50,13.20,15.90,21.60,27.40,27.10,21.65,15.47,7.95,4.90,6.80,12.53,25.37,15.02,14.93
2009,5.50,5.90,9.80,9.30,17.85,23.80,28.40,26.00,19.10,16.45,12.35,9.40,5.43,12.32,26.07,15.97,14.95
2010,7.10,8.90,10.25,13.00,14.80,20.70,28.00,26.50,21.29,16.00,10.55,8.75,8.47,12.68,25.07,15.95,15.54
2011,7.25,5.60,999.90,14.40,17.25,21.90,25.56,27.43,22.60,15.80,10.95,6.10,7.20,14.23,24.96,16.45,15.71
2012,4.90,2.30,9.85,10.40,17.40,24.93,27.50,28.20,21.60,16.90,12.22,7.30,4.43,12.55,26.88,16.91,15.19
2013,6.10,5.10,9.50,12.17,14.00,20.22,25.60,25.20,21.51,20.95,9.27,6.00,6.17,11.89,23.67,17.24,14.74
2014,7.60,7.90,8.50,14.10,17.30,21.17,25.10,26.50,23.35,18.30,12.50,6.40,7.17,13.30,24.26,18.05,15.69
2015,5.10,4.95,9.30,15.55,19.60,21.30,27.65,27.35,21.65,17.30,10.80,8.40,5.48,14.82,25.43,16.58,15.58
2016,8.95,8.90,8.25,13.25,17.15,22.15,27.30,26.00,21.55,18.80,10.65,7.60,8.75,12.88,25.15,17.00,15.95
2017,999.90,8.75,10.55,13.55,19.90,25.30,27.75,27.55,21.15,16.00,10.05,6.05,7.87,14.67,26.87,15.73,16.28
2018,7.25,5.40,9.30,12.60,14.15,20.55,27.15,24.60,22.50,14.95,10.40,8.40,6.23,12.02,24.10,15.95,14.57
2019,999.90,6.05,9.10,11.40,15.95,23.30,27.75,26.95,22.35,16.40,10.00,8.95,6.92,12.15,26.00,16.25,15.33
2020,5.80,10.15,10.75,13.60,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,8.30,14.10,999.90,999.90,999.90
