YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1981,8.61,10.67,14.41,14.98,17.40,21.73,23.30,23.96,22.85,20.09,15.41,14.31,9.96,15.60,23.00,19.45,17.00
1982,999.90,999.90,999.90,999.90,17.80,23.80,25.73,25.34,23.02,17.28,14.05,9.69,999.90,999.90,24.96,18.12,999.90
1983,9.65,10.49,14.51,15.52,17.92,23.14,24.08,24.25,24.70,20.80,16.51,11.45,9.94,15.98,23.82,20.67,17.61
1984,9.70,10.23,11.90,16.56,15.56,20.14,26.18,24.70,23.53,999.90,15.27,999.90,10.46,14.67,23.67,19.66,17.12
1985,9.27,13.84,11.44,15.86,17.38,22.47,25.40,25.60,24.81,19.40,15.96,11.75,11.87,14.89,24.49,20.06,17.83
1986,10.61,11.52,12.36,12.86,19.47,21.38,25.57,26.96,23.13,19.90,13.72,10.64,11.29,14.90,24.64,18.92,17.44
1987,10.40,11.66,13.54,17.28,18.63,22.52,24.72,26.26,24.54,19.61,14.80,13.99,10.90,16.48,24.50,19.65,17.88
1988,12.87,11.24,14.12,16.77,18.73,21.39,25.71,27.58,23.21,20.94,15.81,9.92,12.70,16.54,24.89,19.99,18.53
1989,10.21,12.18,14.16,14.90,18.73,22.91,27.44,28.76,23.32,20.14,16.94,15.12,10.77,15.93,26.37,20.13,18.30
1990,10.19,12.99,14.52,14.92,18.92,22.95,26.29,27.17,27.31,20.01,14.19,10.39,12.77,16.12,25.47,20.50,18.71
1991,8.96,10.08,12.63,13.79,17.66,21.95,26.26,27.64,24.65,17.43,13.52,10.71,9.81,14.69,25.28,18.53,17.08
1992,9.00,10.93,12.39,15.83,18.97,19.62,25.76,26.91,24.02,18.55,13.90,12.89,10.21,15.73,24.10,18.82,17.22
1993,8.90,10.32,13.89,16.35,17.60,21.60,24.98,27.03,21.17,17.56,14.41,11.18,10.70,15.95,24.54,17.71,17.23
1994,10.12,11.52,13.62,14.88,19.56,22.72,28.99,27.91,22.36,19.71,15.67,11.80,10.94,16.02,26.54,19.25,18.19
1995,11.01,13.00,13.81,15.41,20.49,22.15,25.48,26.43,21.61,20.76,17.13,14.45,11.94,16.57,24.69,19.83,18.26
1996,13.74,11.11,13.07,15.48,18.15,23.09,25.20,25.00,21.14,17.42,15.97,13.50,13.10,15.57,24.43,18.18,17.82
1997,12.36,13.18,14.05,16.89,19.19,22.70,23.88,24.76,23.31,20.66,16.05,12.74,13.01,16.71,23.78,20.01,18.38
1998,11.64,13.01,14.47,15.29,17.91,23.07,25.89,26.69,23.86,17.79,14.64,10.47,12.46,15.89,25.22,18.76,18.08
1999,11.26,10.16,13.28,15.96,20.05,23.08,25.91,26.94,23.17,20.75,13.23,11.08,10.63,16.43,25.31,19.05,17.86
2000,8.81,12.61,13.71,15.61,19.77,24.01,25.91,26.31,23.01,17.81,14.31,12.81,10.83,16.36,25.41,18.38,17.75
2001,11.91,11.61,15.81,16.29,18.41,24.21,25.71,26.61,23.30,21.41,13.31,10.91,12.11,16.84,25.51,19.34,18.45
2002,10.31,11.81,14.31,15.51,18.71,22.81,25.31,25.07,22.56,18.81,16.40,14.43,11.01,16.18,24.40,19.26,17.71
2003,10.80,11.45,14.01,15.92,18.91,25.45,26.91,28.03,23.90,20.68,16.02,12.36,12.23,16.28,26.80,20.20,18.88
2004,12.11,13.42,12.61,15.20,16.81,23.97,27.28,27.80,24.11,22.07,12.81,10.51,12.63,14.87,26.35,19.66,18.38
2005,8.60,9.26,13.55,15.66,20.88,22.37,26.80,26.95,22.11,20.69,13.81,10.61,9.46,16.70,25.37,18.87,17.60
2006,9.51,11.64,15.27,16.91,20.21,22.74,27.21,26.11,23.11,22.13,16.61,12.28,10.59,17.46,25.35,20.62,18.50
2007,10.51,13.21,13.38,14.41,19.21,22.72,25.51,26.68,23.69,19.50,14.17,11.52,12.00,15.67,24.97,19.12,17.94
2008,10.53,12.92,14.08,16.23,18.16,23.09,999.90,26.43,24.11,23.51,12.23,10.51,11.66,16.16,25.21,19.95,18.24
2009,10.80,11.38,12.83,17.59,20.01,22.83,28.30,25.03,22.45,19.23,17.56,14.36,10.90,16.81,25.39,19.75,18.21
2010,12.42,13.95,14.06,16.60,18.83,22.29,26.66,27.27,23.96,18.68,14.70,13.41,13.58,16.50,25.41,19.11,18.65
2011,11.55,10.33,13.23,18.32,20.90,24.08,999.90,27.83,23.13,21.54,15.83,12.05,11.76,17.48,26.40,20.17,18.95
2012,9.22,8.62,12.12,15.73,21.28,25.12,26.72,28.92,23.92,21.23,16.74,12.02,9.96,16.38,26.92,20.63,18.47
2013,12.18,10.22,15.06,16.00,17.75,21.60,25.21,26.32,22.62,21.85,13.72,12.10,11.47,16.27,24.38,19.40,17.88
2014,12.02,13.22,13.52,17.87,19.87,23.22,25.72,26.72,23.62,21.85,16.75,11.65,12.45,17.09,25.22,20.74,18.87
2015,9.70,11.00,13.10,16.20,20.95,23.20,28.15,27.95,23.65,21.25,15.25,13.20,10.78,16.75,26.43,20.05,18.50
2016,13.90,13.65,13.00,16.30,19.45,24.05,26.80,26.70,24.65,21.70,15.55,12.65,13.58,16.25,25.85,20.63,19.08
2017,8.98,13.65,14.80,16.85,20.70,25.25,27.00,27.70,23.80,20.80,14.95,11.70,11.76,17.45,26.65,19.85,18.93
2018,11.75,10.90,14.50,15.60,17.75,21.80,25.95,27.35,24.95,19.65,15.30,12.70,11.45,15.95,25.03,19.97,18.10
2019,10.65,11.30,13.90,15.90,19.95,22.10,26.55,27.30,24.40,20.10,15.25,13.50,11.55,16.58,25.32,19.92,18.34
2020,10.10,13.30,15.80,16.45,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,12.30,17.50,999.90,999.90,999.90
