YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1986,999.90,13.00,13.60,14.80,999.90,20.30,23.40,999.90,999.90,20.30,15.80,12.61,999.90,15.39,22.60,19.76,17.45
1987,12.11,999.90,999.90,999.90,18.51,999.90,999.90,999.90,24.71,17.61,999.90,999.90,12.36,999.90,999.90,19.32,999.90
1988,999.90,16.12,999.90,16.92,18.72,21.52,23.82,25.92,999.90,20.92,16.92,12.23,999.90,16.84,23.75,20.63,18.61
1989,12.23,13.63,999.90,15.53,999.90,999.90,25.23,27.13,23.53,999.90,18.03,999.90,12.70,999.90,25.15,20.91,19.00
1990,999.90,999.90,15.34,15.84,19.04,999.90,999.90,25.54,999.90,20.54,15.74,12.55,999.90,16.74,999.90,19.85,999.90
1991,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,24.75,18.65,15.45,999.90,999.90,999.90,999.90,19.62,999.90
1992,11.67,12.47,999.90,15.67,999.90,20.47,23.67,25.77,23.37,18.97,15.67,999.90,12.28,999.90,23.30,19.34,17.72
1993,999.90,12.68,999.90,999.90,18.58,999.90,23.08,24.98,22.08,18.48,18.48,13.09,999.90,999.90,23.00,19.68,999.90
1994,12.09,13.09,15.09,15.69,19.19,999.90,25.79,26.69,22.89,20.09,999.90,13.90,12.76,16.66,25.21,19.65,18.57
1995,999.90,999.90,14.89,15.70,19.30,999.90,24.50,26.05,22.70,20.75,18.25,999.90,999.90,16.63,24.24,20.57,18.68
1996,15.21,12.76,14.61,16.06,18.41,21.91,24.21,25.46,21.71,18.71,16.76,14.97,14.19,16.36,23.86,19.06,18.37
1997,14.72,14.42,14.97,17.07,19.62,23.17,23.12,24.62,23.47,21.22,17.47,14.68,14.70,17.22,23.64,20.72,19.07
1998,13.13,14.38,14.87,16.53,18.43,21.68,24.93,25.33,23.98,18.63,16.17,12.48,14.06,16.61,23.98,19.59,18.56
1999,13.23,12.19,14.74,16.94,20.34,23.64,25.14,27.09,25.04,22.14,14.54,13.35,12.63,17.34,25.29,20.57,18.96
2000,10.75,13.65,14.56,999.90,20.11,22.66,25.86,25.41,23.11,19.56,16.21,15.07,12.58,17.12,24.64,19.63,18.49
2001,14.88,13.72,18.08,16.98,18.73,22.99,25.18,26.38,24.08,22.18,15.38,13.09,14.56,17.93,24.85,20.55,19.47
2002,12.99,13.79,15.19,16.59,18.99,21.89,24.36,24.59,23.79,19.89,17.59,14.80,13.29,16.92,23.61,20.42,18.56
2003,12.25,13.65,999.90,16.27,18.45,999.90,23.70,27.34,24.42,20.80,16.75,14.02,13.57,16.38,24.49,20.66,18.77
2004,13.37,14.72,14.07,15.96,999.90,22.67,24.27,27.07,24.67,20.87,15.07,12.94,14.04,16.21,24.67,20.20,18.78
2005,10.64,10.09,14.49,16.74,21.49,23.54,27.64,25.49,23.24,21.59,15.74,13.11,11.22,17.57,25.56,20.19,18.64
2006,12.18,10.21,15.31,17.91,20.21,22.61,25.61,25.71,23.81,22.11,18.41,14.18,11.83,17.81,24.64,21.44,18.93
2007,12.78,14.88,14.38,15.88,20.08,22.98,24.98,25.58,23.08,20.48,15.78,13.25,13.95,16.78,24.51,19.78,18.75
2008,13.05,14.55,15.15,17.55,19.35,22.35,26.05,26.45,24.35,20.65,13.85,15.12,13.62,17.35,24.95,19.62,18.88
2009,12.62,12.82,14.62,16.22,19.72,23.32,26.92,25.92,23.02,21.22,18.42,15.18,13.52,16.85,25.39,20.89,19.16
2010,14.48,14.78,14.98,17.08,19.18,22.28,25.18,24.78,23.88,19.78,16.28,14.15,14.81,17.08,24.08,19.98,18.99
2011,13.15,12.25,15.15,17.45,19.75,22.75,25.55,26.05,23.75,20.75,17.25,13.52,13.18,17.45,24.78,20.58,19.00
2012,12.52,11.32,14.52,16.92,19.83,24.02,25.02,26.92,23.32,20.62,16.72,13.69,12.45,17.09,25.32,20.22,18.77
2013,13.59,12.39,15.59,16.19,18.79,20.58,24.08,25.63,23.43,22.28,15.98,13.70,13.22,16.86,23.43,20.56,18.52
2014,14.70,14.65,15.00,17.95,19.35,22.65,24.95,25.95,999.90,999.90,18.00,13.92,14.35,17.43,24.52,999.90,19.25
2015,12.52,11.77,14.62,17.32,999.90,21.72,26.62,27.07,22.42,21.37,16.52,14.54,12.74,17.16,25.14,20.10,18.79
2016,15.29,16.09,14.59,16.24,19.79,22.64,24.59,25.39,23.84,22.69,17.09,14.61,15.31,16.87,24.21,21.21,19.40
2017,12.21,14.21,16.01,17.16,20.66,24.21,25.81,26.36,24.01,20.86,16.21,13.58,13.68,17.94,25.46,20.36,19.36
2018,13.73,12.03,16.03,16.88,19.08,22.18,26.23,26.28,25.03,20.78,16.83,12.40,13.11,17.33,24.90,20.88,19.05
2019,12.55,13.50,15.70,17.10,20.15,22.20,26.80,26.50,24.20,20.40,16.70,15.60,12.82,17.65,25.17,20.43,19.02
2020,11.80,15.00,16.00,17.60,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,14.13,17.99,999.90,999.90,999.90
