YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1980,999.90,999.90,999.90,999.90,999.90,31.92,33.83,999.90,30.01,20.69,16.78,9.72,999.90,999.90,33.18,22.49,999.90
1981,9.26,13.51,19.69,23.01,27.29,999.90,33.45,32.08,28.76,23.87,15.44,13.80,10.83,23.33,31.82,22.69,22.17
1982,11.95,13.28,16.17,20.23,26.23,33.12,35.61,34.38,29.20,22.83,999.90,999.90,13.01,20.88,34.37,22.55,22.70
1983,9.13,12.62,16.92,23.25,26.90,30.92,34.69,35.31,29.07,23.10,18.63,10.84,10.84,22.36,33.64,23.60,22.61
1984,10.78,12.60,999.90,22.69,25.33,31.59,32.72,34.22,29.87,999.90,15.82,999.90,11.41,21.59,32.84,23.06,22.23
1985,999.90,999.90,999.90,999.90,26.33,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1986,999.90,999.90,999.90,21.33,999.90,999.90,999.90,999.90,999.90,999.90,999.90,11.27,999.90,999.90,999.90,999.90,999.90
1987,999.90,999.90,16.97,22.76,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,22.33,999.90,999.90,999.90
1988,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1989,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1990,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1991,999.90,999.90,999.90,999.90,24.93,29.83,36.33,999.90,999.90,24.33,15.83,11.32,999.90,999.90,33.39,23.32,999.90
1992,8.47,12.58,14.58,21.42,999.90,30.42,32.93,35.22,28.72,25.32,14.29,12.72,10.79,20.47,32.86,22.78,21.72
1993,999.90,11.29,15.51,20.24,28.82,31.86,999.90,33.84,27.48,25.12,999.90,12.31,11.47,21.52,33.49,22.84,22.33
1994,13.01,14.71,16.04,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,13.34,999.90,999.90,999.90,999.90
1995,999.90,15.03,16.58,19.37,27.62,31.57,35.33,35.08,29.13,22.53,16.78,14.22,999.90,21.19,33.99,22.81,22.38
1996,14.02,13.02,17.87,999.90,26.16,29.42,33.52,37.22,28.82,20.77,16.72,14.32,13.75,21.97,33.39,22.10,22.80
