YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1984,999.90,11.49,12.31,14.57,16.13,19.54,23.77,22.92,21.75,999.90,17.12,999.90,999.90,14.34,22.08,19.72,16.68
1985,10.81,13.57,12.02,15.55,17.09,21.25,24.00,23.90,22.80,20.07,16.99,13.82,12.58,14.89,23.05,19.95,17.62
1986,12.00,11.79,12.75,14.69,18.50,19.92,23.20,25.28,23.17,20.66,16.30,12.65,12.54,15.31,22.80,20.04,17.67
1987,11.61,12.38,13.07,16.23,17.35,21.14,24.67,25.90,25.47,22.24,16.23,14.62,12.21,15.55,23.90,21.31,18.24
1988,13.77,11.53,13.73,14.71,18.46,22.03,24.45,26.35,21.48,20.51,16.26,11.56,13.31,15.63,24.28,19.42,18.16
1989,10.71,11.70,14.27,15.36,17.56,21.54,25.03,26.61,23.67,20.23,16.77,15.73,11.32,15.73,24.39,20.22,17.92
1990,999.90,999.90,14.35,13.98,999.90,22.55,24.87,24.91,25.74,21.27,16.15,11.14,999.90,15.44,24.11,21.05,18.17
1991,10.94,10.88,14.88,14.22,15.05,21.45,24.91,25.98,24.84,20.28,14.53,11.55,10.99,14.72,24.11,19.88,17.43
1992,10.27,11.39,12.74,14.79,17.88,20.72,23.30,25.03,23.74,19.05,15.54,13.03,11.07,15.14,23.02,19.44,17.17
1993,9.88,11.07,12.57,14.74,19.20,22.19,24.31,25.88,22.90,19.99,14.93,12.53,11.33,15.50,24.13,19.27,17.56
1994,12.52,12.05,13.81,14.40,19.23,21.85,25.74,999.90,999.90,999.90,999.90,999.90,12.37,15.81,24.57,999.90,18.26
1995,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1996,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1997,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1998,999.90,999.90,999.90,999.90,999.90,999.90,24.35,25.69,23.75,18.13,14.91,11.99,999.90,999.90,23.87,18.93,999.90
1999,12.15,10.85,13.93,15.47,21.06,23.34,24.82,28.26,25.26,23.24,15.09,12.66,11.66,16.82,25.47,21.20,18.79
2000,10.07,11.99,14.07,16.77,20.27,22.37,26.37,27.07,23.07,19.87,15.87,13.87,11.57,17.04,25.27,19.60,18.37
2001,13.17,11.57,17.47,15.87,18.47,23.87,25.37,26.57,23.37,23.07,15.57,11.17,12.87,17.27,25.27,20.67,19.02
2002,11.47,12.17,14.47,15.57,18.87,22.87,24.97,25.22,23.27,19.97,16.97,14.37,11.60,16.30,24.35,20.07,18.08
2003,11.82,11.47,13.82,16.02,18.27,24.96,27.57,28.21,24.45,21.57,16.67,12.48,12.55,16.04,26.91,20.90,19.10
2004,12.08,12.31,13.88,15.49,17.26,21.55,25.28,27.18,24.58,22.25,14.48,12.79,12.29,15.54,24.67,20.44,18.23
2005,9.23,9.21,13.22,15.91,19.50,23.17,25.89,25.29,23.59,20.88,16.00,999.90,10.41,16.21,24.78,20.16,17.89
2006,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
2007,999.90,13.87,12.85,16.67,19.77,22.77,25.07,26.77,23.39,19.97,14.87,12.34,999.90,16.43,24.87,19.41,18.20
2008,12.37,13.07,12.97,16.57,18.87,22.27,25.87,25.97,24.60,20.27,14.95,11.87,12.59,16.14,24.70,19.94,18.34
2009,11.89,11.57,13.17,15.17,20.23,999.90,27.37,26.87,23.37,20.17,16.57,14.67,11.78,16.19,25.97,20.04,18.49
2010,12.47,13.62,14.22,16.37,17.97,21.47,25.47,999.90,22.88,20.07,15.72,10.58,13.59,16.19,24.25,19.56,18.39
2011,11.88,11.78,14.38,17.18,19.48,22.48,26.28,999.90,24.38,20.48,17.08,13.18,11.41,17.01,25.16,20.65,18.56
2012,11.48,8.53,13.88,16.28,19.18,24.88,26.38,27.53,23.66,21.08,17.08,12.98,11.06,16.45,26.26,20.61,18.59
2013,11.83,10.48,14.98,16.38,18.08,20.88,25.18,25.38,23.68,22.98,15.33,12.64,11.76,16.48,23.81,20.66,18.18
2014,12.79,14.14,13.39,16.72,18.52,22.97,24.90,26.29,26.19,22.17,18.69,12.89,13.19,16.21,24.72,22.35,19.12
2015,11.84,11.24,13.79,16.18,19.99,23.09,26.74,27.24,24.74,21.19,16.34,13.39,11.99,16.65,25.69,20.76,18.77
2016,13.49,13.59,999.90,16.54,18.89,22.54,25.49,24.94,23.84,22.99,17.79,14.54,13.49,16.62,24.32,21.54,18.99
2017,11.04,13.54,14.64,15.99,20.19,24.74,26.69,27.94,23.44,19.84,15.44,12.25,13.04,16.94,26.46,19.57,19.00
2018,12.40,10.80,14.30,14.30,17.75,21.95,26.30,26.00,25.65,20.30,16.80,13.65,11.82,15.45,24.75,20.92,18.23
2019,11.25,11.60,13.65,15.35,17.50,22.85,26.40,27.55,24.65,999.90,999.90,14.50,12.17,15.50,25.60,999.90,18.43
2020,11.90,12.90,14.45,16.70,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,13.10,16.85,999.90,999.90,999.90
