YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1965,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,11.44,999.90,999.90,999.90,999.90,999.90
1966,12.22,14.67,11.08,17.11,21.22,25.50,29.04,28.97,25.67,17.65,11.22,8.97,12.78,16.47,27.84,18.18,18.82
1967,9.14,11.61,999.90,999.90,999.90,999.90,28.41,999.90,999.90,20.62,15.35,7.74,9.91,999.90,999.90,20.58,999.90
1968,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1969,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1970,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1971,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1972,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1973,999.90,999.90,999.90,13.93,999.90,24.11,28.14,27.90,25.28,19.45,14.66,9.29,999.90,999.90,26.72,19.80,999.90
1974,10.79,10.09,12.66,14.04,20.39,23.62,29.15,28.90,24.48,17.06,12.19,9.94,10.06,15.70,27.22,17.91,17.72
1975,999.90,11.90,11.08,16.35,18.81,24.49,28.58,28.08,23.16,20.22,13.08,10.75,10.59,15.41,27.05,18.82,17.97
1976,9.01,10.85,12.80,15.30,20.65,23.77,27.57,29.26,999.90,18.11,999.90,12.36,10.20,16.25,26.87,999.90,18.20
1977,10.58,999.90,15.62,18.19,20.59,21.54,999.90,25.86,24.79,999.90,999.90,12.91,11.69,18.13,24.38,999.90,18.49
1978,999.90,13.97,14.59,16.16,999.90,22.02,29.79,28.40,25.85,999.90,12.77,999.90,13.11,17.23,26.74,19.47,19.14
1979,13.22,999.90,999.90,15.33,21.39,26.80,999.90,999.90,999.90,999.90,12.71,999.90,999.90,16.81,999.90,999.90,999.90
1980,999.90,999.90,999.90,999.90,999.90,26.76,27.16,29.54,27.76,999.90,14.92,9.55,999.90,999.90,27.82,21.50,999.90
1981,999.90,999.90,999.90,999.90,999.90,999.90,999.90,28.69,999.90,22.46,16.96,13.90,999.90,999.90,999.90,22.30,999.90
1982,11.55,11.81,14.42,15.11,19.99,27.09,31.85,28.28,25.00,18.76,999.90,10.15,12.42,16.51,29.07,19.12,19.28
1983,9.21,10.43,13.57,15.48,19.77,26.08,28.89,28.48,28.00,22.73,16.86,999.90,9.93,16.27,27.82,22.53,19.14
1984,10.35,999.90,12.20,18.77,17.56,26.43,32.13,28.79,26.10,999.90,16.43,999.90,999.90,16.18,29.12,21.43,19.58
1985,999.90,999.90,999.90,999.90,19.37,26.03,999.90,29.58,27.03,21.44,999.90,999.90,999.90,999.90,28.49,21.48,999.90
1986,10.18,11.08,12.96,13.40,22.33,25.05,28.59,29.80,27.94,20.14,13.82,10.70,10.74,16.23,27.81,20.63,18.85
1987,10.12,11.41,13.86,17.94,21.61,25.70,27.98,29.62,29.11,23.01,15.33,13.13,10.74,17.80,27.77,22.48,19.70
1988,12.36,11.41,12.98,18.10,20.19,23.59,30.75,30.35,24.65,23.39,16.51,11.12,12.30,17.09,28.23,21.52,19.78
1989,10.34,12.04,14.42,16.70,20.75,26.00,30.50,999.90,25.00,22.00,17.50,14.90,11.17,17.29,28.84,21.50,19.70
1990,999.90,999.90,16.00,15.80,21.20,999.90,999.90,30.32,29.58,20.77,15.05,10.20,999.90,17.67,999.90,21.80,999.90
1991,7.40,9.70,13.59,14.00,18.09,25.97,30.09,31.09,27.02,19.15,14.11,11.53,9.10,15.23,29.05,20.09,18.37
1992,10.13,12.17,12.98,15.71,20.95,21.81,27.92,30.45,27.30,18.79,15.71,12.37,11.28,16.55,26.73,20.60,18.79
1993,999.90,10.93,14.55,16.59,21.07,26.02,29.04,30.36,24.09,19.21,14.91,11.57,11.32,17.40,28.47,19.40,19.15
1994,10.52,12.00,16.93,15.93,23.08,26.86,34.09,999.90,24.60,22.00,17.72,12.15,11.36,18.65,31.06,21.44,20.63
1995,10.73,13.66,15.73,16.70,23.40,27.10,29.91,29.50,23.40,22.95,18.42,14.73,12.18,18.61,28.84,21.59,20.30
1996,14.06,11.26,13.80,16.61,19.98,25.39,28.75,28.04,23.05,18.85,15.79,13.35,13.35,16.80,27.39,19.23,19.19
1997,12.70,13.85,17.50,20.80,21.40,25.80,27.65,28.65,999.90,22.25,15.99,12.64,13.30,19.90,27.37,21.71,20.57
1998,11.70,13.90,15.00,16.69,19.70,26.40,30.30,30.40,27.24,19.91,15.30,10.27,12.75,17.13,29.03,20.82,19.93
1999,11.19,10.66,14.38,17.09,23.72,26.90,30.00,30.90,25.80,22.86,13.34,11.18,10.71,18.40,29.27,20.67,19.76
2000,9.10,13.25,15.20,17.30,23.10,27.30,30.20,30.90,27.30,18.90,14.60,13.20,11.18,18.53,29.47,20.27,19.86
2001,11.49,11.30,17.20,17.17,20.10,28.77,29.90,30.70,26.10,24.30,14.10,10.20,12.00,18.16,29.79,21.50,20.36
2002,10.90,12.10,14.80,16.10,21.30,28.00,28.12,28.15,25.00,21.00,15.20,13.90,11.07,17.40,28.09,20.40,19.24
2003,10.60,999.90,15.35,16.62,21.40,30.00,30.70,31.35,26.01,21.00,15.95,11.85,12.47,17.79,30.68,20.99,20.48
2004,11.50,12.55,13.65,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,11.97,999.90,999.90,999.90,999.90
2005,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
2006,999.90,10.45,15.05,21.80,24.25,26.55,30.70,29.05,26.00,23.35,18.05,12.50,999.90,20.37,28.77,22.47,21.20
2007,12.30,13.78,13.00,16.20,20.95,25.24,30.27,29.92,26.25,20.54,999.90,11.40,12.86,16.72,28.48,20.64,19.67
2008,999.90,13.85,14.30,18.15,20.45,25.50,30.20,999.90,26.05,20.95,13.54,10.60,12.30,17.63,28.44,20.18,19.64
2009,10.95,11.45,15.00,14.60,22.90,27.65,31.15,29.55,24.55,22.12,17.25,999.90,11.00,17.50,29.45,21.31,19.81
2010,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
2011,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,26.32,22.02,16.62,12.27,999.90,999.90,999.90,21.65,999.90
2012,10.32,8.36,13.92,15.32,22.42,28.82,30.32,32.52,26.32,22.67,17.17,12.72,10.32,17.22,30.55,22.05,20.04
2013,11.22,10.52,15.27,16.82,19.02,24.82,29.22,30.22,25.62,24.02,14.57,12.07,11.49,17.04,28.09,21.40,19.50
2014,12.62,13.67,13.72,19.42,21.62,26.07,29.38,30.37,27.32,23.02,17.35,11.52,12.79,18.25,28.61,22.56,20.55
2015,10.34,10.78,14.20,19.45,23.55,26.31,32.65,30.55,25.33,21.44,15.86,13.70,10.88,19.07,29.84,20.88,20.16
2016,13.18,13.56,13.23,17.66,21.29,26.80,30.90,29.85,27.00,24.50,16.35,13.15,13.48,17.39,29.18,22.62,20.67
2017,10.00,14.40,15.85,18.85,24.15,28.90,31.50,31.25,25.85,22.10,15.05,11.15,12.52,19.62,30.55,21.00,20.92
2018,11.75,10.05,13.85,17.35,19.45,25.20,30.05,30.35,27.70,20.65,15.55,12.80,10.98,16.88,28.53,21.30,19.42
2019,9.75,11.90,14.80,16.80,21.85,26.15,31.45,30.70,26.90,21.80,14.95,14.10,11.48,17.82,29.43,21.22,19.99
2020,10.90,15.20,16.10,18.50,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,13.40,19.15,999.90,999.90,999.90
