YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1976,999.90,999.90,999.90,999.90,999.90,999.90,26.14,27.24,22.84,17.54,999.90,999.90,999.90,999.90,25.57,17.93,999.90
1977,999.90,999.90,999.90,16.64,999.90,21.34,24.14,23.94,22.54,19.24,14.04,999.90,999.90,999.90,23.14,18.61,999.90
1978,999.90,14.14,13.34,999.90,17.44,20.84,27.34,999.90,999.90,999.90,13.24,999.90,999.90,15.18,24.72,999.90,999.90
1979,13.94,13.14,13.24,14.94,19.44,23.84,26.84,27.24,999.90,999.90,13.44,10.94,13.66,15.87,25.97,999.90,18.85
1980,999.90,12.44,999.90,14.84,18.24,999.90,26.44,28.34,999.90,18.18,14.84,10.11,11.41,15.26,26.27,18.70,17.91
1981,9.02,11.64,15.98,15.48,18.76,23.82,25.28,999.90,999.90,999.90,16.89,13.94,10.26,16.74,25.18,999.90,17.74
1982,999.90,11.99,15.06,999.90,999.90,25.57,999.90,27.34,22.94,18.26,999.90,999.90,12.69,999.90,26.95,18.34,18.66
1983,999.90,999.90,16.04,15.34,19.34,25.93,27.07,26.08,26.11,19.90,999.90,999.90,999.90,16.91,26.36,20.74,18.97
1984,9.79,10.81,12.84,16.34,16.29,21.18,27.54,25.04,23.69,999.90,16.07,999.90,10.42,15.16,24.59,19.95,17.53
1985,999.90,999.90,12.19,999.90,17.15,25.18,28.89,999.90,999.90,999.90,16.71,999.90,999.90,14.46,27.66,999.90,999.90
1986,999.90,999.90,13.06,14.16,19.92,24.07,26.28,29.62,23.90,20.17,12.94,10.84,999.90,15.71,26.66,19.00,18.09
1987,10.53,12.16,14.35,999.90,19.55,999.90,999.90,999.90,24.55,20.55,999.90,999.90,11.18,16.74,999.90,20.29,18.75
1988,999.90,999.90,999.90,17.35,19.25,22.05,27.45,29.15,999.90,999.90,16.55,9.15,999.90,17.02,26.22,999.90,999.90
1989,10.05,12.05,16.55,14.95,999.90,999.90,28.75,29.25,999.90,999.90,17.65,15.65,10.42,17.23,27.88,999.90,18.86
1990,999.90,999.90,15.15,15.35,19.75,24.75,999.90,28.15,999.90,19.85,15.05,10.55,999.90,16.75,26.94,19.64,18.75
1991,9.05,10.15,13.15,999.90,17.45,23.85,999.90,999.90,25.35,17.55,999.90,999.90,9.92,15.09,999.90,19.19,17.42
1992,999.90,999.90,9.65,16.65,999.90,999.90,999.90,999.90,999.90,18.15,999.90,999.90,999.90,14.63,999.90,999.90,999.90
1993,999.90,10.25,999.90,15.65,18.15,999.90,999.90,27.85,21.65,18.25,18.25,11.25,999.90,15.62,999.90,19.38,999.90
1994,10.45,11.85,14.65,14.75,20.85,23.95,30.25,29.95,22.75,19.95,999.90,999.90,11.18,16.75,28.05,19.09,18.77
1995,11.60,13.84,14.90,16.15,999.90,999.90,27.55,27.95,22.60,21.55,17.65,999.90,12.84,17.01,26.63,20.60,19.27
1996,14.54,11.75,13.95,16.65,999.90,24.85,27.35,27.20,22.75,18.55,15.35,14.84,13.26,16.78,26.47,18.88,18.85
1997,13.30,13.74,14.45,17.95,20.70,24.00,25.65,26.35,25.30,21.25,16.45,12.75,13.96,17.70,25.33,21.00,19.50
1998,12.15,999.90,13.60,16.25,15.44,24.95,28.50,28.60,24.75,17.75,15.10,10.15,12.61,15.10,27.35,19.20,18.56
1999,11.05,10.45,999.90,16.70,21.55,24.95,28.20,29.09,24.60,21.85,999.90,12.35,10.55,17.85,27.41,20.96,19.19
2000,999.90,13.40,14.75,16.55,21.05,28.35,28.20,28.65,24.45,18.30,17.50,14.15,12.60,17.45,28.40,20.08,19.63
2001,12.70,12.25,17.40,15.40,19.40,26.45,27.64,28.67,999.90,999.90,13.55,11.35,13.03,17.40,27.59,999.90,19.69
2002,10.75,12.45,14.55,16.55,19.65,25.15,25.79,26.70,23.91,999.90,15.80,13.75,11.52,16.92,25.88,19.92,18.56
2003,10.80,11.59,16.12,16.65,20.55,26.46,28.84,999.90,999.90,20.90,15.65,12.35,12.05,17.77,28.28,20.47,19.64
2004,13.50,13.85,14.19,999.90,18.25,25.35,28.45,29.15,25.35,21.45,13.15,10.85,13.23,16.01,27.65,19.98,19.22
2005,8.50,9.10,14.65,16.55,22.25,25.65,28.60,28.60,23.45,20.85,14.55,10.95,9.48,17.82,27.62,19.62,18.63
2006,10.54,11.05,15.35,18.45,22.45,24.85,29.75,28.15,24.55,22.05,16.85,11.35,10.85,18.75,27.58,21.15,19.58
2007,10.95,14.25,13.85,15.55,20.35,24.05,28.05,28.25,25.10,19.85,14.05,11.15,12.18,16.58,26.78,19.67,18.80
2008,11.55,13.05,14.65,17.95,19.15,24.85,28.85,29.23,24.75,20.05,12.85,10.25,11.92,17.25,27.64,19.22,19.01
2009,11.05,11.45,14.55,15.45,21.55,26.55,30.15,27.95,23.55,21.35,17.85,14.35,10.92,17.18,28.22,20.92,19.31
2010,12.85,15.05,15.15,17.45,20.15,24.05,29.45,29.15,25.25,19.35,14.75,13.85,14.08,17.58,27.55,19.78,19.75
2011,11.65,11.25,14.35,19.15,21.65,25.55,28.35,29.15,25.05,20.15,15.35,10.75,12.25,18.38,27.68,20.18,19.62
2012,9.25,8.75,13.05,15.55,21.95,27.05,28.85,30.65,24.85,20.95,16.15,11.85,9.58,16.85,28.85,20.65,18.98
2013,11.45,10.95,15.15,16.65,18.85,23.05,26.95,28.15,24.65,21.95,13.85,11.25,11.42,16.88,26.05,20.15,18.62
2014,12.05,12.85,13.45,18.75,20.95,24.55,27.55,28.45,25.75,21.95,17.46,11.94,12.05,17.72,26.85,21.72,19.58
2015,11.02,11.37,13.93,18.74,22.34,25.06,30.35,999.90,999.90,999.90,16.12,13.78,11.44,18.34,28.33,999.90,19.72
2016,14.47,14.38,13.57,17.61,21.10,25.63,28.94,28.58,25.60,22.89,999.90,13.56,14.21,17.43,27.72,21.98,20.33
2017,10.76,13.69,15.34,18.68,22.89,27.89,30.17,29.33,25.24,21.86,15.32,10.93,12.67,18.97,29.13,20.81,20.39
2018,11.39,10.81,14.45,16.38,19.05,24.22,28.69,29.40,25.73,19.65,999.90,12.74,11.04,16.63,27.44,20.43,18.88
2019,10.51,12.30,15.16,16.97,22.95,24.93,28.84,29.46,25.50,20.89,13.80,12.30,11.85,18.36,27.74,20.06,19.50
2020,9.25,13.05,14.40,15.80,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,11.53,16.58,999.90,999.90,999.90
