YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1970,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,17.17,11.37,999.90,999.90,999.90,999.90,17.43,999.90
1971,999.90,11.47,14.27,21.37,24.27,30.47,33.17,32.57,27.37,20.27,13.17,10.07,999.90,19.97,32.07,20.27,20.71
1972,9.77,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,10.47,999.90,999.90,999.90,999.90
1973,999.90,11.02,14.01,20.25,999.90,30.46,34.70,31.00,28.26,22.90,14.69,10.50,999.90,19.43,32.05,21.95,21.09
1974,11.69,11.42,15.38,18.05,26.21,30.45,31.11,30.86,999.90,19.02,13.46,10.27,11.20,19.88,30.81,19.40,20.32
1975,999.90,11.94,14.80,18.45,24.49,28.85,32.31,31.29,28.85,20.67,14.39,11.03,10.63,19.25,30.82,21.30,20.50
1976,9.04,11.88,14.00,19.10,23.69,28.24,999.90,999.90,999.90,999.90,999.90,999.90,10.65,18.93,999.90,999.90,999.90
1977,999.90,15.28,16.85,19.64,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,20.55,999.90,999.90,999.90
1978,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,13.75,14.05,999.90,999.90,999.90,999.90,999.90
1979,14.18,14.87,999.90,999.90,24.83,30.37,999.90,32.82,999.90,999.90,999.90,999.90,14.37,999.90,32.16,999.90,999.90
1980,999.90,999.90,999.90,999.90,999.90,29.96,31.05,32.34,28.56,20.12,16.37,8.97,999.90,999.90,31.12,21.68,999.90
1981,9.00,12.07,19.02,21.76,25.70,30.45,999.90,30.90,28.32,23.21,14.67,13.72,10.01,22.16,31.24,22.07,21.37
1982,12.09,12.79,15.43,19.46,24.14,31.49,999.90,33.39,28.18,22.38,999.90,999.90,12.87,19.68,33.01,21.97,21.88
1983,9.18,11.80,16.30,21.36,25.76,29.59,32.84,33.23,28.20,21.82,17.78,10.82,10.42,21.14,31.89,22.60,21.51
1984,11.16,11.99,15.48,20.80,24.04,28.84,31.60,32.85,28.03,999.90,16.27,10.74,11.32,20.11,31.10,22.30,21.21
1985,9.40,15.45,14.61,21.76,24.41,31.60,33.18,32.43,27.94,21.45,17.98,11.46,11.86,20.26,32.40,22.46,21.75
1986,10.59,13.72,15.57,19.91,26.48,29.42,32.21,33.76,28.32,22.93,15.10,10.77,11.92,20.65,31.80,22.12,21.62
1987,9.65,13.35,15.42,21.38,24.13,30.93,33.69,33.55,29.97,23.98,15.99,12.99,11.26,20.31,32.72,23.31,21.90
1988,12.14,13.33,16.42,21.55,28.00,30.17,34.01,33.32,27.09,24.09,16.53,10.30,12.82,21.99,32.50,22.57,22.47
1989,10.31,12.98,17.48,20.46,24.72,28.88,32.29,34.13,29.99,22.31,17.29,14.06,11.20,20.89,31.77,23.20,21.76
1990,11.90,999.90,16.75,19.81,24.18,31.57,32.11,31.14,32.15,24.97,16.67,10.27,13.53,20.25,31.61,24.60,22.49
1991,9.66,11.92,17.57,18.65,22.13,29.06,33.21,33.10,28.97,22.91,14.98,9.91,10.62,19.45,31.79,22.29,21.04
1992,9.31,12.29,15.47,19.55,24.08,28.75,31.04,33.08,29.52,23.90,16.29,11.35,10.50,19.70,30.96,23.24,21.10
1993,9.73,11.83,15.16,20.76,26.22,31.91,33.39,33.33,28.73,23.96,16.29,11.21,10.97,20.71,32.88,22.99,21.89
1994,11.92,12.86,17.80,18.77,28.91,31.33,33.55,34.44,29.31,22.57,17.07,10.97,12.00,21.83,33.11,22.98,22.48
1995,9.57,15.50,16.42,19.25,26.35,30.45,33.83,33.69,27.72,22.24,16.19,13.54,12.01,20.67,32.66,22.05,21.85
1996,13.58,12.26,16.11,20.29,25.27,28.50,32.23,34.46,27.13,20.74,16.38,13.23,13.13,20.56,31.73,21.42,21.71
1997,12.25,14.25,15.37,18.98,26.02,33.16,34.23,33.09,28.09,23.45,17.00,12.58,13.24,20.12,33.49,22.85,22.43
1998,11.01,13.56,16.23,21.73,24.97,30.80,33.14,33.39,30.06,20.56,15.24,10.63,12.38,20.98,32.44,21.95,21.94
1999,10.74,11.51,16.63,22.02,29.20,33.40,34.07,36.23,30.59,25.44,15.61,10.83,10.96,22.62,34.57,23.88,23.01
2000,8.38,12.58,17.78,22.68,22.68,30.08,33.48,32.58,29.18,21.58,16.68,12.88,10.60,21.05,32.05,22.48,21.54
2001,11.38,12.69,21.28,21.54,26.24,31.68,34.94,33.59,29.71,27.16,16.68,10.78,12.32,23.02,33.40,24.52,23.31
2002,9.88,14.16,18.59,21.13,25.66,31.57,34.60,33.48,28.96,23.08,16.97,13.87,11.61,21.79,33.22,23.00,22.40
2003,12.25,12.10,16.05,21.65,27.27,31.57,35.97,33.90,29.11,25.79,16.62,11.30,12.74,21.66,33.81,23.84,23.01
2004,11.66,14.89,17.16,20.89,24.02,30.19,33.06,33.06,27.73,25.12,15.14,12.35,12.62,20.69,32.10,22.66,22.02
2005,9.55,11.08,17.98,21.42,27.52,31.22,35.39,33.25,28.52,24.17,17.95,10.74,10.99,22.31,33.29,23.55,22.53
2006,9.46,12.55,18.66,23.41,28.05,31.35,34.15,32.95,26.65,24.25,17.04,12.99,10.92,23.37,32.82,22.65,22.44
2007,11.45,15.30,16.64,20.65,26.55,32.55,32.55,33.75,30.05,23.15,14.75,11.04,13.25,21.28,32.95,22.65,22.53
2008,11.49,12.74,17.44,22.94,26.84,30.14,35.84,33.94,29.99,23.49,15.40,10.44,11.76,22.41,33.31,22.96,22.61
2009,11.64,12.44,16.14,19.24,25.64,31.34,35.34,34.34,27.76,22.14,16.70,14.43,11.51,20.34,33.67,22.20,21.93
2010,12.73,15.53,18.68,22.43,24.83,31.73,34.83,34.43,28.63,22.23,16.59,12.34,14.23,21.98,33.66,22.48,23.09
2011,11.44,12.64,15.75,22.07,25.34,30.14,34.94,33.84,30.94,21.74,16.58,12.15,12.14,21.05,32.97,23.09,22.31
2012,10.25,9.66,16.66,21.55,26.45,33.75,36.25,34.85,29.45,24.45,18.43,11.38,10.69,21.55,34.95,24.11,22.82
2013,12.16,12.06,18.96,22.26,25.80,29.56,33.96,32.46,29.66,26.66,16.16,11.71,11.87,22.34,31.99,24.16,22.59
