YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1880,9.60,10.90,12.20,14.70,16.10,19.90,24.20,24.30,21.90,19.60,14.20,11.81,10.55,14.33,22.80,18.57,16.56
1881,13.31,13.01,14.51,15.31,17.01,19.21,24.31,26.41,22.71,18.61,14.11,11.73,12.71,15.61,23.31,18.48,17.53
1882,9.83,11.43,11.63,15.43,18.43,20.13,22.33,23.03,19.63,17.53,14.83,11.95,11.00,15.16,21.83,17.33,16.33
1883,11.35,11.15,10.95,13.55,16.55,19.35,22.45,22.35,21.45,17.25,14.65,10.27,11.48,13.68,21.38,17.78,16.08
1884,10.77,13.17,11.77,13.27,17.07,18.07,23.47,25.37,22.27,16.97,13.57,10.69,11.40,14.04,22.30,17.60,16.34
1885,9.09,15.09,12.69,12.69,17.79,19.49,22.89,25.89,23.19,16.99,13.49,12.21,11.62,14.39,22.76,17.89,16.67
1886,9.81,10.41,13.31,14.81,17.81,19.61,22.71,22.51,22.41,18.61,13.81,11.23,10.81,15.31,21.61,18.28,16.50
1887,9.63,9.73,12.63,13.73,17.13,21.43,24.53,24.63,22.83,15.23,14.53,10.65,10.20,14.50,23.53,17.53,16.44
1888,10.85,8.95,12.85,15.15,16.65,20.35,22.35,22.05,21.35,18.05,15.05,13.16,10.15,14.88,21.58,18.15,16.19
1889,9.26,10.36,11.26,13.46,16.56,19.46,22.76,22.56,20.96,15.86,13.86,9.68,10.93,13.76,21.59,16.89,15.79
1890,10.98,10.38,10.88,13.18,15.28,19.68,20.28,23.08,20.78,17.18,12.98,10.08,10.35,13.11,21.01,16.98,15.36
1891,7.28,8.98,12.08,13.98,16.58,19.38,23.38,22.78,21.38,18.78,15.18,12.10,8.78,14.21,21.85,18.45,15.82
1892,11.20,11.90,12.60,13.60,17.20,21.20,24.20,23.10,22.00,18.90,15.00,11.32,11.73,14.47,22.83,18.63,16.92
1893,9.32,12.02,13.62,15.52,18.12,21.12,23.02,22.72,23.42,19.22,14.22,11.14,10.89,15.75,22.29,18.95,16.97
1894,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1895,9.46,12.66,11.86,15.16,16.16,20.76,24.96,22.76,23.36,20.76,17.36,13.38,11.36,14.39,22.83,20.49,17.27
1896,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1897,10.89,11.49,14.69,15.49,17.39,21.69,25.69,25.49,21.89,17.89,16.39,11.61,11.49,15.86,24.29,18.72,17.59
1898,12.01,10.51,11.51,13.31,17.01,20.81,24.41,24.81,22.21,18.81,14.71,10.63,11.38,13.94,23.34,18.58,16.81
1899,12.23,13.53,12.73,15.73,18.13,20.63,23.73,24.73,23.93,21.93,16.73,12.05,12.13,15.53,23.03,20.86,17.89
1900,10.95,14.45,11.25,13.35,16.75,21.75,21.85,23.25,22.95,19.85,13.05,11.47,12.48,13.78,22.28,18.62,16.79
1901,10.47,8.57,11.77,15.47,15.77,23.67,24.57,23.77,22.27,16.17,13.77,10.19,10.17,14.34,24.00,17.40,16.48
1902,9.99,12.09,12.69,15.59,15.29,19.99,24.99,25.89,21.79,17.09,15.09,11.51,10.76,14.52,23.62,17.99,16.72
1903,11.61,10.81,12.83,13.63,16.63,19.23,23.43,24.63,21.63,19.43,13.73,10.74,11.31,14.36,22.43,18.26,16.59
1904,9.44,11.44,11.54,14.24,18.54,21.44,25.34,26.24,20.94,18.44,13.94,12.66,10.54,14.77,24.34,17.77,16.86
1905,9.26,8.86,14.06,15.96,16.16,21.66,23.46,25.16,22.26,17.36,14.06,10.98,10.26,15.39,23.43,17.89,16.74
