YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1994,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,6.98,999.90,999.90,999.90,999.90,999.90
1995,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1996,999.90,999.90,10.07,999.90,18.83,18.82,24.13,25.77,19.73,14.12,11.18,999.90,999.90,14.39,22.91,15.01,14.49
1997,8.77,8.71,8.27,11.62,19.52,25.47,26.16,24.17,19.67,15.47,999.90,7.41,8.97,13.14,25.27,14.74,15.53
1998,5.86,7.11,8.06,13.16,15.66,22.75,26.46,26.00,22.41,14.30,9.51,5.35,6.79,12.29,25.07,15.41,14.89
1999,6.30,4.50,9.30,13.70,20.90,24.85,25.74,28.70,23.55,18.70,9.39,5.84,5.38,14.63,26.43,17.21,15.91
2000,3.49,7.24,10.64,14.98,999.90,21.44,26.34,25.48,999.90,14.79,11.64,8.43,5.52,14.72,24.42,15.73,15.10
2001,7.08,999.90,14.93,12.73,17.38,23.13,27.35,25.73,21.15,19.73,10.13,5.52,7.76,15.01,25.40,17.00,16.29
2002,5.22,8.02,11.12,13.52,18.42,24.32,25.52,24.22,20.07,16.22,10.62,7.95,6.25,14.35,24.69,15.64,15.23
2003,5.61,5.11,10.30,14.43,17.46,23.25,999.90,28.94,21.81,18.48,10.93,6.22,6.22,14.06,26.77,17.07,16.03
2004,6.37,6.32,10.97,999.90,14.52,20.77,25.07,26.96,20.47,19.62,8.72,6.47,6.30,12.69,24.27,16.27,14.88
2005,3.82,3.97,10.42,12.92,19.42,22.81,27.51,25.06,20.42,17.02,11.22,5.70,4.75,14.25,25.13,16.22,15.09
2006,3.86,6.01,10.75,15.46,19.66,23.71,25.11,24.51,19.96,18.61,11.56,6.75,5.19,15.29,24.44,16.71,15.41
2007,7.85,8.44,8.05,12.40,17.35,24.55,25.84,25.89,21.00,16.35,9.65,6.19,7.68,12.60,25.43,15.67,15.34
2008,6.79,7.69,9.74,14.29,18.24,21.84,27.59,26.04,21.24,15.89,8.73,5.38,6.89,14.09,25.16,15.29,15.36
2009,5.72,5.43,8.73,999.90,16.37,23.68,27.67,25.52,19.53,15.03,12.08,9.82,5.51,12.49,25.62,15.55,14.79
2010,6.97,6.97,11.47,14.51,15.77,22.27,25.91,25.92,20.82,16.02,10.67,8.36,7.92,13.92,24.70,15.84,15.59
2011,7.36,5.51,8.81,13.76,15.90,20.61,26.36,26.11,22.95,14.86,11.06,7.00,7.08,12.82,24.36,16.29,15.14
2012,5.25,2.85,9.40,13.29,18.35,25.60,27.59,28.10,21.45,18.25,12.70,7.41,5.03,13.68,27.10,17.47,15.82
2013,6.61,5.56,11.65,14.71,17.26,21.21,25.96,24.35,21.36,19.91,9.56,6.27,6.53,14.54,23.84,16.94,15.46
2014,7.13,8.48,8.03,13.58,17.68,22.23,26.32,27.22,24.13,18.48,999.90,999.90,7.29,13.10,25.26,18.47,16.03
2015,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
2016,999.90,999.90,999.90,999.90,999.90,23.21,25.81,24.26,20.41,18.86,11.46,8.22,999.90,999.90,24.43,16.91,999.90
2017,4.52,9.02,11.47,13.17,20.17,24.27,27.27,27.52,21.17,15.12,10.12,6.24,7.25,14.94,26.35,15.47,16.00
2018,8.34,5.84,11.09,14.59,16.34,21.89,29.19,22.89,22.04,14.89,10.84,8.50,6.81,14.01,24.66,15.92,15.35
2019,5.25,5.90,9.30,13.15,15.25,26.35,27.70,26.95,22.35,17.10,10.10,9.55,6.55,12.57,27.00,16.52,15.66
2020,6.75,10.00,10.20,14.25,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,8.77,14.13,999.90,999.90,999.90
