YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1991,999.90,999.90,999.90,999.90,999.90,999.90,28.60,999.90,999.90,999.90,9.60,999.90,999.90,999.90,999.90,999.90,999.90
1992,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1993,999.90,999.90,11.10,999.90,999.90,25.40,999.90,999.90,21.10,17.30,999.90,7.60,999.90,999.90,999.90,16.22,999.90
1994,7.50,999.90,13.10,12.70,21.70,25.50,30.40,30.60,22.00,16.90,999.90,7.90,7.84,15.83,28.83,16.47,17.24
1995,999.90,11.00,11.00,13.04,21.00,21.45,28.35,27.64,21.10,999.90,13.05,999.90,9.17,15.01,25.81,17.38,16.84
1996,10.20,7.60,12.05,14.25,17.85,22.69,27.55,27.75,19.75,15.95,12.95,9.80,8.90,14.72,26.00,16.22,16.46
1997,9.40,10.85,11.95,15.14,20.85,25.95,28.25,27.00,23.30,17.90,12.64,8.95,10.02,15.98,27.07,17.95,17.75
1998,7.90,10.00,11.95,15.10,17.60,26.09,30.00,25.00,25.00,15.90,12.05,7.20,8.95,14.88,27.03,17.65,17.13
1999,7.70,7.45,11.74,15.75,19.25,26.60,29.10,31.25,23.70,20.65,10.85,7.60,7.45,15.58,28.98,18.40,17.60
2000,6.70,10.00,13.20,16.15,22.15,25.35,29.95,28.95,23.70,16.80,12.69,9.75,8.10,17.17,28.08,17.73,17.77
2001,8.20,9.05,15.95,15.39,18.85,26.80,29.32,29.50,23.00,21.40,11.00,6.70,9.00,16.73,28.54,18.47,18.18
2002,6.90,9.60,12.90,15.00,19.90,27.00,999.90,27.05,22.85,18.40,12.00,9.95,7.73,15.93,27.87,17.75,17.32
2003,7.30,7.55,13.93,15.10,20.45,27.70,31.10,30.92,999.90,19.00,12.35,7.70,8.27,16.49,29.91,18.35,18.25
2004,8.15,10.40,12.72,13.95,15.30,25.10,29.10,29.70,24.05,20.30,10.40,7.70,8.75,13.99,27.97,18.25,17.24
2005,4.90,5.30,12.85,15.90,23.50,26.10,30.85,28.00,23.50,18.80,11.26,7.10,5.97,17.42,28.32,17.85,17.39
2006,5.79,6.80,11.90,17.90,21.80,26.30,29.60,27.60,22.10,20.60,14.30,8.68,6.56,17.20,27.83,19.00,17.65
2007,8.10,10.40,10.30,14.30,19.30,25.60,29.90,29.00,23.89,16.90,9.80,7.00,9.06,14.63,28.17,16.86,17.18
2008,7.70,9.80,12.30,15.70,18.90,24.70,30.10,29.70,23.00,16.70,9.70,6.10,8.17,15.63,28.17,16.47,17.11
2009,6.90,7.50,11.10,11.60,999.90,26.54,31.10,28.50,21.00,17.40,12.40,10.10,6.83,13.39,28.71,16.93,16.47
2010,8.50,10.30,12.10,16.00,17.59,23.70,30.30,28.70,23.30,17.20,11.80,7.80,9.63,15.23,27.57,17.43,17.47
2011,7.80,7.50,11.70,17.40,19.60,24.40,29.00,29.90,25.00,17.20,11.80,7.40,7.70,16.23,27.77,18.00,17.43
2012,6.50,4.60,11.90,12.70,20.80,28.40,30.50,30.85,23.60,19.25,12.90,8.50,6.17,15.13,29.92,18.58,17.45
2013,8.00,6.90,11.80,14.80,17.30,23.40,28.80,27.50,23.40,22.10,10.60,7.40,7.80,14.63,26.57,18.70,16.93
2014,8.70,10.20,999.90,17.10,20.20,24.20,28.41,29.40,25.20,19.90,13.50,7.80,8.77,16.87,27.34,19.53,18.13
2015,6.80,6.40,11.50,18.60,22.70,23.85,30.30,29.40,23.70,19.00,12.70,9.40,7.00,17.60,27.85,18.47,17.73
2016,10.40,10.85,10.70,16.70,20.60,25.10,29.00,28.15,22.95,20.60,12.85,8.95,10.22,16.00,27.42,18.80,18.11
2017,6.40,10.65,13.45,16.20,22.70,26.95,30.15,29.50,23.45,17.35,10.90,7.20,8.67,17.45,28.87,17.23,18.05
2018,8.35,7.55,11.65,15.00,17.40,23.30,30.00,26.35,24.05,16.60,12.15,9.25,7.70,14.68,26.55,17.60,16.63
2019,6.70,8.05,11.85,14.65,19.00,27.15,30.25,29.55,24.50,18.75,11.50,10.05,8.00,15.17,28.98,18.25,17.60
2020,7.45,12.25,13.20,16.25,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,9.92,16.76,999.90,999.90,999.90
