YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1977,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,12.73,999.90,999.90,999.90,999.90,999.90
1978,8.21,999.90,999.90,11.98,16.30,22.22,999.90,999.90,999.90,999.90,12.28,11.91,10.53,12.69,999.90,999.90,999.90
1979,10.91,9.31,10.41,11.41,17.71,23.01,26.71,26.41,20.21,17.61,10.71,9.92,10.71,13.18,25.38,16.18,16.36
1980,8.22,11.12,11.22,12.22,15.32,22.62,25.22,27.82,24.02,17.56,13.14,999.90,9.75,12.92,25.22,18.24,16.53
1981,6.78,9.01,15.00,13.67,18.11,22.52,999.90,26.09,23.37,20.12,15.60,11.12,8.16,15.59,25.01,19.70,17.11
1982,10.98,10.59,11.94,14.62,17.81,25.77,30.33,26.31,23.29,15.76,12.44,7.48,10.90,14.79,27.47,17.16,17.58
1983,10.55,8.42,12.31,15.09,18.29,24.29,28.63,25.66,24.54,19.34,14.57,9.90,8.82,15.23,26.19,19.48,17.43
1984,8.35,7.62,9.36,16.26,13.46,22.69,28.85,25.26,22.69,999.90,13.87,999.90,8.62,13.03,25.60,18.49,16.44
1985,7.36,12.96,9.27,14.88,16.93,24.52,28.76,26.55,24.24,18.37,14.34,10.41,10.42,13.69,26.61,18.98,17.43
1986,7.92,9.03,10.56,12.24,22.10,23.01,27.24,29.19,24.63,17.98,12.37,9.22,9.12,14.97,26.48,18.33,17.22
1987,8.64,9.28,12.40,17.07,17.45,23.20,25.78,29.24,26.38,20.59,12.28,12.03,9.05,15.64,26.07,19.75,17.63
1988,9.94,10.80,11.59,15.26,18.60,21.02,27.28,28.92,22.33,19.88,13.78,8.35,10.92,15.15,25.74,18.66,17.62
1989,9.00,10.67,13.46,12.74,18.37,22.52,28.05,28.80,23.04,19.31,15.26,13.19,9.34,14.86,26.46,19.20,17.46
1990,999.90,999.90,13.23,12.61,17.78,25.78,26.54,27.59,26.93,18.48,12.57,7.84,999.90,14.54,26.64,19.33,17.57
1991,8.14,7.86,12.45,13.17,15.55,23.74,28.43,29.48,999.90,16.37,13.24,9.74,7.95,13.72,27.22,17.30,16.55
1992,8.91,10.32,10.67,14.59,19.17,19.31,25.53,28.00,25.88,17.24,14.37,10.88,9.66,14.81,24.28,19.16,16.98
1993,9.54,8.60,12.11,13.99,18.90,23.79,27.20,28.13,21.87,17.45,12.39,10.42,9.67,15.00,26.37,17.24,17.07
1994,8.68,10.18,14.58,13.67,21.40,24.20,30.98,31.93,23.16,18.60,15.31,10.97,9.76,16.55,29.04,19.02,18.59
1995,8.95,12.60,12.20,14.53,20.39,23.64,27.56,26.59,21.82,20.04,15.39,12.07,10.84,15.71,25.93,19.08,17.89
1996,11.63,8.40,11.96,14.32,17.38,22.06,25.80,26.39,21.13,17.06,14.42,11.63,10.70,14.55,24.75,17.54,16.88
1997,10.35,12.90,13.67,15.97,18.95,24.36,27.16,27.54,24.89,20.02,12.81,10.42,11.63,16.20,26.35,19.24,18.35
1998,9.72,12.63,12.82,14.94,17.83,25.38,28.75,28.21,24.42,17.18,13.07,9.47,10.92,15.20,27.45,18.22,17.95
1999,10.27,9.00,12.13,16.94,22.23,25.61,28.57,28.73,23.63,21.70,11.93,9.15,9.58,17.10,27.64,19.09,18.35
2000,8.25,11.95,13.85,14.95,20.85,24.55,28.35,28.85,24.48,16.45,12.95,11.76,9.78,16.55,27.25,17.96,17.89
2001,10.48,9.66,15.86,999.90,17.36,26.16,27.76,28.66,23.56,22.26,11.86,8.97,10.63,16.36,27.53,19.23,18.44
2002,9.97,11.47,12.87,13.97,19.27,26.47,25.97,25.47,22.67,19.47,13.27,11.78,10.14,15.37,25.97,18.47,17.49
2003,8.13,7.98,13.40,15.23,19.23,28.33,30.08,30.68,24.43,18.88,13.83,9.54,9.30,15.95,29.70,19.05,18.50
2004,9.69,11.69,12.09,14.89,14.89,24.39,27.49,28.49,24.69,21.39,11.99,9.10,10.31,13.96,26.79,19.36,17.60
2005,7.10,6.10,12.10,14.70,21.90,25.50,29.55,26.40,22.10,19.60,12.30,8.51,7.43,16.23,27.15,18.00,17.20
2006,7.11,7.71,13.41,17.71,21.81,25.11,28.81,25.91,22.81,21.81,15.71,9.72,7.78,17.64,26.61,20.11,18.04
2007,10.62,11.62,11.12,14.42,19.52,23.42,28.72,27.92,23.62,17.82,12.22,9.64,10.65,15.02,26.69,17.89,17.56
2008,10.44,11.94,12.24,16.34,18.04,23.64,28.64,28.54,23.74,18.64,11.44,8.65,10.67,15.54,26.94,17.94,17.77
2009,8.75,9.45,13.05,12.75,21.15,26.25,30.25,27.85,21.65,19.65,15.75,12.36,8.95,15.65,28.12,19.02,17.93
2010,10.06,11.36,13.26,15.96,17.56,23.16,29.26,27.46,23.26,18.36,12.46,11.07,11.26,15.59,26.63,18.03,17.88
2011,9.97,9.37,12.77,18.17,19.67,23.77,27.67,29.37,24.47,18.97,13.87,10.48,10.14,16.87,26.94,19.10,18.26
2012,9.28,6.08,12.88,14.08,20.98,27.38,28.58,31.48,24.48,20.18,14.58,11.09,8.61,15.98,29.15,19.75,18.37
2013,9.59,8.49,12.49,15.39,16.89,22.19,27.59,27.69,23.49,22.89,11.69,10.10,9.72,14.92,25.82,19.36,17.46
2014,10.80,11.50,999.90,17.90,19.90,23.90,27.40,28.30,25.90,21.60,15.40,9.51,10.80,17.45,26.53,20.97,18.94
2015,9.11,7.91,12.91,17.25,21.15,24.35,30.90,28.95,23.75,19.60,14.70,13.42,8.84,17.10,28.07,19.35,18.34
2016,11.87,11.17,11.37,15.97,19.37,24.97,28.87,27.17,24.57,22.12,13.47,11.38,12.15,15.57,27.00,20.05,18.70
2017,7.13,12.08,14.23,16.73,22.68,27.08,30.63,30.23,24.58,20.13,13.43,8.49,10.20,17.88,29.31,19.38,19.19
2018,10.19,7.84,10.74,15.39,16.94,22.49,28.39,28.19,24.89,17.74,13.29,11.70,8.84,14.36,26.36,18.64,17.05
2019,7.75,10.70,13.30,14.25,18.75,25.55,29.85,29.50,24.90,19.85,11.10,11.85,10.05,15.43,28.30,18.62,18.10
2020,9.70,14.35,13.95,16.00,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,11.97,16.67,999.90,999.90,999.90
