YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1965,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,12.44,999.90,999.90,999.90,999.90,999.90
1966,12.91,999.90,14.74,22.48,25.23,33.58,34.99,35.51,29.45,22.79,14.35,9.50,13.35,20.82,34.69,22.20,22.76
1967,10.08,999.90,16.53,20.33,27.32,30.04,32.18,33.11,28.80,23.80,18.70,9.28,10.47,21.39,31.78,23.77,21.85
1968,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,11.29,999.90,999.90,999.90,999.90,999.90
1969,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1970,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1971,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1972,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1973,8.89,10.69,15.09,19.99,29.69,33.79,36.39,32.69,28.79,23.79,14.69,999.90,9.70,21.59,34.29,22.42,22.00
1974,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1975,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1976,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1977,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1978,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1979,999.90,999.90,999.90,999.90,25.45,999.90,34.46,34.94,28.50,999.90,999.90,999.90,999.90,999.90,33.92,999.90,999.90
1980,9.68,13.88,16.58,20.62,25.38,32.21,33.33,33.67,30.27,20.94,16.66,9.16,11.69,20.86,33.07,22.62,22.06
1981,8.62,12.65,20.04,22.95,27.58,33.14,33.02,31.80,29.42,24.31,15.57,13.80,10.14,23.52,32.65,23.10,22.35
1982,11.91,13.43,16.52,20.31,26.16,32.96,35.60,34.52,29.28,23.04,15.77,9.61,13.05,21.00,34.36,22.70,22.77
1983,9.02,13.11,16.58,23.43,27.14,31.32,34.76,35.57,29.34,22.72,18.68,10.38,10.58,22.38,33.88,23.58,22.61
1984,10.61,11.91,16.43,22.19,25.71,31.43,33.07,34.17,29.50,999.90,16.17,999.90,10.97,21.44,32.89,23.05,22.09
1985,9.33,15.73,15.93,22.67,26.08,33.15,34.51,33.04,28.76,22.34,18.43,11.58,12.44,21.56,33.57,23.18,22.69
1986,10.71,14.80,15.37,20.75,27.26,31.05,33.89,34.21,29.90,24.30,15.05,10.77,12.36,21.13,33.05,23.08,22.41
1987,10.44,13.79,17.10,22.77,26.81,33.55,35.76,35.36,31.21,24.45,15.82,14.20,11.67,22.23,34.89,23.83,23.15
1988,12.40,13.35,16.43,23.12,30.67,33.07,36.31,35.25,28.55,24.96,18.17,9.59,13.32,23.41,34.88,23.89,23.87
1989,9.99,13.73,18.49,21.39,26.28,31.12,33.05,34.92,31.59,24.11,18.08,14.27,11.10,22.05,33.03,24.59,22.69
1990,999.90,999.90,17.22,21.47,24.97,33.77,33.87,32.76,33.40,26.27,16.82,10.32,999.90,21.22,33.47,25.50,23.04
1991,9.62,12.32,18.22,20.02,23.78,31.16,36.51,33.42,30.12,23.96,16.99,12.02,10.75,20.67,33.70,23.69,22.20
1992,10.84,13.58,17.81,21.20,25.76,30.89,32.74,33.36,30.21,24.60,15.74,11.80,12.15,21.59,32.33,23.52,22.40
1993,9.92,12.00,15.58,22.14,28.03,34.63,35.12,34.10,30.07,24.69,16.81,10.92,11.24,21.92,34.62,23.86,22.91
1994,11.27,13.70,18.11,20.01,28.98,32.67,34.06,33.94,30.10,23.25,17.15,10.73,11.96,22.37,33.56,23.50,22.85
1995,9.56,14.80,16.67,19.99,28.05,31.90,35.80,35.12,29.48,22.60,16.56,13.38,11.70,21.57,34.27,22.88,22.60
1996,13.88,12.73,18.00,22.10,27.04,29.78,33.59,36.36,29.54,21.14,16.44,13.46,13.33,22.38,33.24,22.37,22.83
1997,12.31,14.31,15.78,20.39,28.63,34.82,37.01,34.43,29.22,23.37,16.81,12.70,13.36,21.60,35.42,23.13,23.38
1998,10.94,14.01,16.45,23.63,27.23,32.51,35.30,35.12,31.71,21.66,15.75,10.05,12.55,22.44,34.31,23.04,23.08
1999,10.73,11.46,18.16,23.13,30.89,34.93,36.27,37.71,32.39,26.22,16.00,10.45,10.75,24.06,36.30,24.87,23.99
2000,8.70,12.71,18.48,23.95,29.13,31.78,35.59,33.72,30.68,21.97,17.29,13.36,10.62,23.85,33.70,23.31,22.87
2001,11.48,12.50,22.47,22.48,28.21,33.50,37.36,35.60,32.30,27.76,17.40,11.40,12.45,24.39,35.49,25.82,24.53
2002,9.50,13.90,19.10,22.60,28.30,32.80,37.00,35.50,30.57,23.60,17.35,13.30,11.60,23.33,35.10,23.84,23.47
2003,12.20,12.10,16.90,23.10,28.70,32.70,37.30,34.38,30.51,27.45,17.50,11.90,12.53,22.90,34.79,25.15,23.84
2004,11.75,15.50,19.10,22.08,25.30,32.30,34.50,36.30,28.90,27.03,15.40,12.95,13.05,22.16,34.37,23.78,23.34
2005,9.30,11.20,19.25,22.65,29.15,32.40,37.20,34.95,30.20,25.75,17.70,11.04,11.15,23.68,34.85,24.55,23.56
2006,9.99,12.79,19.59,25.12,29.99,32.37,34.66,35.37,28.46,25.03,17.31,12.45,11.27,24.90,34.13,23.60,23.48
