YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1984,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,13.80,999.90,999.90,999.90,999.90,999.90
1985,12.46,19.99,20.45,25.60,29.36,37.04,37.02,35.91,32.27,26.24,21.81,14.41,15.42,25.14,36.66,26.77,26.00
1986,13.42,18.05,19.35,24.73,31.80,34.41,36.90,36.56,32.87,27.44,17.78,13.42,15.29,25.29,35.96,26.03,25.64
1987,13.26,17.18,21.96,26.10,33.18,36.52,38.73,36.94,33.32,28.18,20.01,17.67,14.62,27.08,37.40,27.17,26.57
1988,14.63,19.31,20.59,26.84,30.63,36.26,38.50,37.11,32.58,27.58,20.52,12.55,17.20,26.02,37.29,26.89,26.85
1989,14.18,17.09,21.01,24.87,29.63,34.75,37.09,37.04,35.35,28.55,21.52,18.61,14.61,25.17,36.29,28.47,26.14
1990,13.90,999.90,23.49,25.50,999.90,37.07,36.75,36.64,34.87,29.58,19.96,13.58,17.12,26.96,36.82,28.14,27.26
1991,14.08,15.91,20.53,24.61,28.13,34.76,37.83,36.96,33.41,26.94,18.99,14.31,14.52,24.42,36.52,26.45,25.48
1992,13.44,18.17,19.92,23.74,28.09,33.31,36.53,36.14,32.52,26.68,19.05,15.96,15.31,23.92,35.33,26.08,25.16
1993,14.27,15.95,20.60,25.34,30.13,37.56,38.20,37.04,33.77,26.98,21.14,16.32,15.39,25.36,37.60,27.30,26.41
1994,13.06,16.57,21.94,22.82,30.68,36.15,36.62,37.57,33.13,27.51,21.55,15.77,15.32,25.15,36.78,27.40,26.16
1995,13.31,18.42,20.34,24.22,32.73,35.19,38.35,38.62,35.04,26.81,21.47,16.32,15.83,25.76,37.39,27.77,26.69
1996,15.71,16.65,21.95,26.05,31.71,34.43,38.13,38.66,34.48,26.93,20.27,14.37,16.23,26.57,37.07,27.23,26.77
1997,15.41,18.36,19.79,24.64,29.88,37.48,38.78,36.89,33.47,27.05,20.34,15.23,16.05,24.77,37.72,26.95,26.37
1998,15.36,18.89,20.83,27.84,29.83,36.35,38.59,37.86,35.93,27.56,19.00,14.63,16.49,26.17,37.60,27.50,26.94
1999,13.67,14.29,21.17,28.03,33.20,37.67,38.59,38.26,35.70,29.58,19.83,14.24,14.20,27.47,38.17,28.37,27.05
2000,13.29,16.79,22.89,27.89,32.09,35.39,38.79,37.09,34.29,25.49,20.59,16.17,14.77,27.62,37.09,26.79,26.57
2001,14.67,16.27,24.97,24.73,31.07,36.97,38.87,37.17,36.19,30.20,20.67,16.26,15.70,26.92,37.67,29.02,27.33
2002,15.46,18.06,22.76,25.76,32.36,36.26,40.36,39.43,34.96,27.66,19.36,16.34,16.59,26.96,38.68,27.33,27.39
2003,13.14,16.14,22.33,26.44,32.84,36.14,38.93,36.54,34.24,30.54,20.88,14.73,15.21,27.20,37.20,28.55,27.04
2004,15.59,19.83,22.83,25.63,27.83,35.83,37.83,38.23,32.63,30.17,19.73,15.52,16.72,25.43,37.30,27.51,26.74
2005,13.42,14.87,22.32,27.92,34.62,35.72,39.52,37.32,34.57,29.82,22.02,15.60,14.60,28.29,37.52,28.80,27.30
2006,12.50,16.30,22.80,29.80,33.10,36.90,38.10,38.40,33.00,28.30,21.10,15.29,14.80,28.57,37.80,27.47,27.16
2007,17.29,19.09,20.49,26.29,31.29,35.99,37.69,38.49,35.79,28.49,20.09,15.87,17.22,26.02,37.39,28.12,27.19
2008,14.17,19.67,22.17,26.57,30.97,36.17,38.57,37.17,35.47,28.07,18.57,13.66,16.57,26.57,37.30,27.37,26.95
2009,13.46,17.06,22.16,24.76,31.96,36.86,38.96,37.46,31.96,28.46,20.76,17.04,14.73,26.29,37.76,27.06,26.46
2010,15.44,21.34,24.74,29.04,31.54,36.84,38.74,38.14,34.14,28.04,19.54,17.53,17.94,28.44,37.91,27.24,27.88
2011,16.53,16.03,22.93,27.33,31.23,35.23,38.63,37.53,35.63,25.73,20.43,15.71,16.70,27.16,37.13,27.26,27.06
2012,13.11,13.61,21.21,25.41,31.92,37.21,38.51,37.21,34.51,29.21,21.91,15.60,14.14,26.18,37.64,28.54,26.63
2013,14.05,15.40,22.55,26.40,30.05,36.05,38.35,37.20,33.80,30.30,19.50,15.00,15.02,26.33,37.20,27.87,26.60
2014,16.10,17.05,20.30,27.54,32.00,35.00,39.10,38.55,36.00,28.49,20.80,14.70,16.05,26.61,37.55,28.43,27.16
2015,13.85,16.20,19.45,27.65,32.25,35.40,37.10,37.65,34.15,28.80,21.60,17.55,14.92,26.45,36.72,28.18,26.57
2016,17.05,19.10,19.60,28.20,32.15,36.35,37.70,36.60,35.20,28.60,21.25,16.60,17.90,26.65,36.88,28.35,27.45
2017,11.50,20.00,21.90,27.15,34.85,35.55,38.10,37.75,34.25,26.75,19.90,11.05,16.03,27.97,37.13,26.97,27.02
2018,16.40,16.10,21.70,27.20,30.45,35.90,40.15,37.00,34.60,26.90,20.60,17.35,14.52,26.45,37.68,27.37,26.50
2019,12.25,15.30,21.70,24.90,31.35,36.05,39.10,38.55,34.90,27.95,19.40,999.90,14.97,25.98,37.90,27.42,26.57
2020,15.35,21.10,22.05,27.55,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,18.07,27.26,999.90,999.90,999.90
