YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1975,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,8.56,999.90,999.90,999.90,999.90,999.90,999.90
1976,5.02,999.90,999.90,11.93,999.90,20.91,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1977,7.29,8.87,11.07,12.47,15.87,20.47,26.87,23.77,999.90,15.97,9.87,7.16,8.26,13.14,23.70,15.45,15.14
1978,999.90,9.16,999.90,12.82,16.61,999.90,999.90,999.90,999.90,999.90,8.24,8.45,7.87,12.87,999.90,999.90,999.90
1979,7.65,7.05,999.90,999.90,15.95,21.45,25.55,25.25,17.75,15.65,7.15,6.35,7.72,999.90,24.08,13.52,14.49
1980,4.55,6.75,8.05,9.65,13.35,24.36,27.37,28.25,21.48,13.85,9.71,4.09,5.88,10.35,26.66,15.01,14.48
1981,3.51,5.48,12.05,13.39,17.67,22.48,23.60,23.61,20.45,16.51,9.35,8.12,4.36,14.37,23.23,15.44,14.35
1982,6.56,6.53,8.14,10.60,16.01,23.00,27.17,25.29,21.29,14.79,999.90,4.85,7.07,11.58,25.15,15.21,14.75
1983,5.26,5.12,8.34,13.34,17.11,22.04,26.89,25.96,20.54,14.75,11.31,6.23,5.08,12.93,24.96,15.53,14.63
1984,5.99,4.54,7.29,12.73,15.52,22.33,25.32,24.26,20.04,999.90,9.94,999.90,5.59,11.85,23.97,15.29,14.17
1985,3.26,9.05,6.61,12.85,15.11,23.66,27.20,24.12,19.70,14.50,10.72,6.36,6.34,11.52,24.99,14.97,14.46
1986,4.54,5.90,7.63,10.42,18.49,21.72,23.64,25.82,20.18,14.86,8.59,5.05,5.60,12.18,23.73,14.54,14.01
1987,4.57,5.99,8.29,13.49,15.94,22.63,25.88,26.31,22.72,17.88,9.33,8.36,5.20,12.57,24.94,16.64,14.84
1988,7.54,6.30,8.73,13.49,19.65,22.33,27.29,25.98,20.32,17.91,999.90,999.90,7.40,13.96,25.20,16.28,15.71
1989,4.51,999.90,12.00,11.54,17.84,999.90,26.15,999.90,999.90,15.99,12.98,999.90,999.90,13.79,999.90,17.01,999.90
1990,999.90,999.90,999.90,999.90,999.90,999.90,24.94,22.99,999.90,17.40,10.88,999.90,999.90,999.90,22.91,16.67,999.90
1991,999.90,5.78,999.90,999.90,999.90,999.90,999.90,24.77,999.90,15.36,9.55,4.45,999.90,999.90,999.90,14.98,999.90
1992,3.73,5.80,8.30,11.09,15.75,19.96,22.83,24.72,21.93,16.76,10.37,6.36,4.66,11.71,22.50,16.35,13.81
1993,999.90,4.65,999.90,999.90,17.56,999.90,26.06,25.96,999.90,17.86,9.53,6.26,5.21,999.90,24.96,16.22,14.85
1994,6.60,999.90,10.35,10.12,21.09,23.05,25.57,28.00,22.68,15.75,10.86,6.03,6.54,13.85,25.54,16.43,15.59
1995,999.90,999.90,8.45,11.29,17.55,22.46,999.90,23.86,20.06,15.71,10.55,9.06,999.90,12.43,23.89,15.44,14.31
