YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1975,3.36,3.36,5.96,10.36,13.76,19.96,26.56,999.90,20.46,14.06,5.96,999.90,3.47,10.03,23.63,13.49,12.66
1976,1.99,10.49,5.03,9.62,15.27,20.68,25.09,24.11,18.71,11.69,999.90,999.90,6.35,9.97,23.29,12.05,12.92
1977,999.90,7.44,999.90,12.85,999.90,999.90,999.90,999.90,999.90,999.90,999.90,7.90,999.90,999.90,999.90,999.90,999.90
1978,999.90,999.90,7.80,999.90,999.90,999.90,999.90,999.90,999.90,999.90,8.15,999.90,999.90,999.90,999.90,999.90,999.90
1979,999.90,999.90,7.79,9.33,999.90,22.59,999.90,26.27,999.90,999.90,999.90,999.90,999.90,10.75,25.31,999.90,999.90
1980,999.90,6.82,7.69,11.55,999.90,21.94,25.14,26.48,21.26,13.33,8.10,2.72,999.90,11.81,24.52,14.23,13.67
1981,1.90,5.05,11.56,11.76,17.70,22.45,25.32,23.82,21.10,17.20,9.91,7.19,3.22,13.67,23.86,16.07,14.21
1982,4.72,5.17,8.54,10.84,16.11,24.21,27.09,25.02,21.45,12.68,7.72,2.33,5.69,11.83,25.44,13.95,14.23
1983,3.85,5.68,9.92,13.79,16.08,22.97,26.74,26.02,21.83,15.58,10.73,4.56,3.95,13.26,25.24,16.05,14.63
1984,3.30,3.49,6.81,13.92,11.93,22.48,26.29,25.02,20.64,999.90,9.13,999.90,3.78,10.89,24.60,15.02,13.57
1985,2.70,8.81,6.46,13.12,15.14,23.75,27.79,25.00,20.86,13.95,9.86,4.78,5.86,11.57,25.51,14.89,14.46
1986,3.11,5.87,6.68,9.88,19.77,21.12,24.73,25.66,20.99,14.05,6.92,3.22,4.59,12.11,23.84,13.99,13.63
1987,3.87,4.92,9.34,15.72,16.28,22.62,25.44,27.14,22.89,16.67,8.07,7.28,4.00,13.78,25.07,15.88,14.68
1988,5.18,5.80,8.31,13.31,17.45,21.28,26.87,26.56,19.96,15.41,9.96,3.21,6.09,13.02,24.90,15.11,14.78
1989,3.29,5.11,9.09,10.32,16.70,20.70,28.03,27.00,23.58,999.90,11.00,9.54,3.87,12.04,25.24,17.42,14.64
1990,999.90,999.90,10.70,11.84,16.50,24.30,25.48,24.47,23.87,16.15,9.29,3.50,999.90,13.01,24.75,16.44,14.88
1991,3.10,3.82,7.53,10.40,13.76,22.05,26.54,25.15,21.16,12.50,7.66,3.80,3.47,10.56,24.58,13.77,13.10
1992,2.61,5.86,6.19,10.24,15.58,17.93,23.66,24.89,21.81,14.39,7.97,5.07,4.09,10.67,22.16,14.72,12.91
1993,3.45,3.92,8.45,10.99,17.02,23.65,27.14,26.08,19.25,15.45,8.53,4.83,4.15,12.15,25.62,14.41,14.08
1994,3.99,5.89,10.36,10.32,19.40,24.88,27.81,27.80,20.56,14.42,10.02,5.27,4.90,13.36,26.83,15.00,15.02
