YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1976,999.90,999.90,13.20,14.60,999.90,21.50,24.50,25.40,22.70,18.70,999.90,999.90,999.90,15.04,23.80,18.95,17.50
1977,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1978,999.90,999.90,14.60,16.60,17.00,999.90,999.90,24.40,999.90,999.90,999.90,999.90,999.90,16.07,999.90,999.90,999.90
1979,999.90,999.90,16.80,999.90,999.90,21.70,999.90,24.40,21.40,19.30,999.90,13.40,999.90,999.90,23.35,18.60,999.90
1980,12.70,999.90,999.90,15.60,999.90,22.30,23.40,25.70,999.90,19.99,999.90,12.49,12.94,999.90,23.80,999.90,999.90
1981,999.90,12.37,16.66,15.99,19.07,999.90,999.90,999.90,999.90,21.67,18.01,16.43,12.18,17.24,999.90,21.49,18.87
1982,999.90,14.12,14.89,16.58,999.90,999.90,25.25,999.90,23.00,19.72,999.90,13.12,15.03,16.87,999.90,19.61,19.07
1983,12.58,999.90,15.27,16.67,19.20,22.69,24.72,25.05,24.15,21.47,18.63,999.90,12.74,17.05,24.15,21.42,18.84
1984,12.84,12.85,13.93,17.35,17.70,20.83,24.36,24.15,23.96,999.90,999.90,999.90,13.20,16.33,23.11,999.90,18.07
1985,999.90,15.85,13.84,17.64,18.30,22.80,25.27,25.68,23.86,999.90,999.90,999.90,999.90,16.59,24.58,999.90,999.90
1986,999.90,999.90,14.50,15.24,19.64,21.53,999.90,27.27,24.17,20.94,16.43,13.75,999.90,16.46,24.70,20.51,18.80
1987,13.61,13.86,15.94,17.27,19.00,23.09,24.14,25.14,25.16,21.25,16.94,15.45,13.74,17.40,24.12,21.12,19.10
1988,14.24,13.37,15.75,999.90,19.18,21.50,24.40,26.48,22.96,21.08,17.82,12.91,14.35,17.30,24.13,20.62,19.10
1989,12.86,13.85,14.95,16.41,18.78,22.50,26.69,28.19,24.26,999.90,18.70,17.90,13.21,16.71,25.79,21.58,19.32
1990,999.90,999.90,15.50,16.20,19.60,22.90,25.48,27.28,26.99,21.02,16.54,12.80,999.90,17.10,25.22,21.52,19.52
1991,12.10,12.61,14.66,15.30,18.07,22.20,999.90,26.20,999.90,19.21,16.30,13.39,12.50,16.01,24.50,19.41,18.10
1992,12.20,13.10,14.11,16.96,19.10,21.13,24.08,26.00,24.20,999.90,16.50,14.54,12.90,16.72,23.74,20.45,18.45
1993,12.47,12.97,14.90,16.77,18.61,21.85,23.84,25.46,22.59,19.14,16.20,14.17,13.33,16.76,23.72,19.31,18.28
1994,12.80,13.70,15.38,16.59,20.20,22.40,26.79,26.90,23.58,20.77,17.68,14.97,13.56,17.39,25.36,20.68,19.25
