YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1973,9.87,10.68,13.22,18.03,27.50,30.31,33.90,31.05,28.12,22.34,14.51,9.92,10.20,19.58,31.75,21.66,20.80
1974,11.09,11.66,15.76,18.56,26.03,30.81,32.65,31.21,999.90,18.78,13.43,9.92,10.89,20.12,31.56,19.22,20.45
1975,999.90,11.28,14.26,18.36,23.21,27.91,32.14,31.08,29.36,20.83,13.54,10.48,10.10,18.61,30.38,21.24,20.08
1976,9.22,11.24,12.87,18.70,23.25,27.68,32.33,31.08,27.03,20.80,13.22,12.47,10.31,18.27,30.36,20.35,19.83
1977,11.36,15.53,17.87,20.69,23.78,28.47,34.61,31.80,26.43,20.48,15.92,12.79,13.12,20.78,31.63,20.94,21.62
1978,9.66,15.50,15.94,19.85,23.22,29.91,31.07,30.61,26.98,18.50,13.19,14.28,12.65,19.67,30.53,19.56,20.60
1979,14.14,14.16,16.18,18.20,23.99,30.34,32.75,32.62,26.04,22.32,13.74,11.69,14.19,19.46,31.90,20.70,21.56
1980,10.22,13.52,15.38,18.47,23.14,30.52,31.66,32.63,28.61,20.09,15.48,9.06,11.81,19.00,31.60,21.39,20.95
1981,9.31,11.98,18.81,20.39,24.99,30.37,31.84,29.57,27.84,22.76,15.47,13.38,10.12,21.40,30.59,22.02,21.03
1982,11.96,12.63,15.28,18.12,23.93,30.94,33.67,999.90,27.57,21.51,14.62,9.95,12.66,19.11,32.64,21.23,21.41
1983,9.70,12.52,16.68,21.50,25.10,29.93,32.90,33.90,27.35,21.76,18.01,11.55,10.72,21.09,32.24,22.37,21.61
1984,11.20,12.01,14.99,20.67,22.38,29.82,31.50,32.59,28.52,999.90,15.62,10.33,11.59,19.35,31.30,22.19,21.11
1985,9.68,16.09,14.61,20.69,23.56,31.32,33.49,32.82,27.59,20.84,17.52,11.48,12.03,19.62,32.54,21.98,21.55
1986,11.01,14.07,14.30,18.56,25.83,28.88,31.81,33.62,27.91,21.91,14.05,10.91,12.19,19.56,31.44,21.29,21.12
1987,10.51,13.24,16.00,22.47,23.98,31.03,32.83,33.68,29.50,23.63,15.60,13.39,11.55,20.82,32.51,22.91,21.95
1988,12.66,12.93,16.20,21.44,26.93,30.09,34.20,33.48,26.86,22.94,16.46,10.73,12.99,21.52,32.59,22.09,22.30
1989,9.55,12.21,16.88,19.38,24.64,28.90,32.32,34.26,30.21,22.44,17.12,14.33,10.83,20.30,31.83,23.26,21.55
1990,999.90,14.78,16.12,19.07,22.94,32.09,32.77,31.77,31.40,24.74,16.56,10.40,14.05,19.38,32.21,24.23,22.47
1991,9.82,12.01,16.33,18.52,22.05,29.11,33.26,32.82,28.11,21.53,14.47,10.29,10.74,18.97,31.73,21.37,20.70
1992,9.25,12.23,14.22,18.79,23.62,27.76,31.03,32.94,28.81,23.15,15.75,11.52,10.59,18.88,30.58,22.57,20.65
1993,9.63,10.86,15.06,19.77,25.69,32.34,33.91,33.06,28.21,22.27,15.56,12.11,10.67,20.17,33.10,22.01,21.49
1994,11.95,13.60,16.24,18.53,27.75,31.51,33.95,33.91,28.45,21.87,16.67,11.95,12.55,20.84,33.12,22.33,22.21
1995,11.09,15.70,15.71,18.21,26.64,29.86,33.94,33.59,27.54,21.43,16.69,13.68,12.91,20.19,32.46,21.89,21.86
1996,13.45,12.04,16.11,20.52,25.07,27.97,32.38,34.36,27.24,20.69,16.19,13.63,13.06,20.57,31.57,21.37,21.64
1997,12.02,14.38,15.56,18.57,25.81,32.69,34.71,33.07,27.13,22.82,17.55,12.91,13.34,19.98,33.49,22.50,22.33
1998,11.03,13.92,16.33,21.54,24.20,29.92,34.05,33.24,30.27,20.95,16.33,10.34,12.62,20.69,32.40,22.52,22.06
1999,10.60,11.29,16.58,21.53,29.34,999.90,34.81,35.62,30.60,25.43,14.80,10.95,10.74,22.48,34.22,23.61,22.76
2000,8.70,13.60,17.80,22.30,27.41,30.50,34.60,32.20,29.00,20.30,16.60,13.50,11.08,22.50,32.43,21.97,22.00
2001,12.20,13.30,21.30,21.19,25.90,32.60,35.62,34.60,29.56,26.03,16.30,11.40,13.00,22.80,34.27,23.96,23.51
2002,10.10,14.10,17.71,19.86,26.30,30.47,34.39,33.88,28.75,22.75,16.88,14.15,11.87,21.29,32.91,22.79,22.22
2003,11.78,11.86,15.60,21.50,26.25,31.50,36.14,32.55,29.00,24.58,16.10,11.60,12.60,21.12,33.40,23.23,22.58
