YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1979,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,18.44,12.14,10.94,999.90,999.90,999.90,17.28,999.90
1980,999.90,11.54,999.90,14.88,999.90,22.69,999.90,999.90,999.90,17.08,14.62,9.62,10.96,999.90,999.90,17.84,999.90
1981,8.23,9.39,13.46,14.16,16.40,20.72,22.70,24.65,999.90,999.90,999.90,999.90,9.08,14.67,22.69,999.90,15.92
1982,999.90,999.90,999.90,999.90,999.90,22.40,999.90,999.90,21.44,17.66,999.90,999.90,999.90,999.90,999.90,17.29,999.90
1983,9.46,9.46,13.98,15.24,17.82,22.35,23.89,23.78,22.77,999.90,999.90,999.90,9.65,15.68,23.34,999.90,16.67
1984,10.73,8.75,11.68,16.70,999.90,21.14,25.08,23.46,23.21,999.90,14.38,999.90,9.93,15.55,23.23,19.06,16.94
1985,999.90,999.90,11.36,15.99,15.97,22.56,25.48,999.90,999.90,999.90,999.90,999.90,999.90,14.44,24.69,999.90,999.90
1986,999.90,999.90,10.99,999.90,18.12,22.58,25.99,26.68,23.94,19.61,14.49,10.77,999.90,14.48,25.08,19.35,17.54
1987,10.69,11.74,12.20,999.90,17.04,21.73,25.33,27.01,999.90,999.90,999.90,999.90,11.07,14.54,24.69,999.90,17.21
1988,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1989,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1990,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1991,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1992,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1993,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1994,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1995,999.90,12.91,13.41,15.11,19.81,21.46,24.36,25.81,21.16,20.76,16.46,999.90,999.90,16.11,23.88,19.46,17.72
1996,13.86,11.06,13.41,15.51,999.90,22.86,24.36,24.16,21.11,17.11,14.60,13.36,12.65,15.82,23.79,17.61,17.47
1997,13.11,14.20,13.16,16.71,18.96,21.76,23.30,24.61,23.45,20.51,16.21,12.66,13.56,16.28,23.22,20.06,18.28
1998,11.91,13.36,12.95,14.95,17.61,21.86,25.26,26.95,23.66,17.71,14.46,10.86,12.64,15.17,24.69,18.61,17.78
1999,11.16,9.71,13.86,15.10,19.76,22.71,25.51,26.51,23.41,23.71,12.71,11.71,10.58,16.24,24.91,19.94,17.92
2000,9.16,11.71,12.86,15.71,19.11,23.06,25.11,26.30,22.70,17.71,14.45,13.31,10.86,15.89,24.82,18.29,17.47
2001,11.96,11.81,15.80,15.10,18.16,23.62,25.11,26.41,23.41,21.91,13.61,10.31,12.36,16.35,25.05,19.64,18.35
2002,10.41,11.21,13.81,15.11,18.51,22.51,24.31,24.61,22.41,19.01,15.31,13.56,10.64,15.81,23.81,18.91,17.29
2003,10.56,10.96,14.51,15.30,19.06,24.51,26.31,27.72,23.21,19.81,15.36,11.61,11.69,16.29,26.18,19.46,18.41
2004,11.41,12.86,12.81,14.97,17.11,22.41,25.81,26.81,23.71,20.71,13.21,11.51,11.96,14.96,25.01,19.21,17.79
2005,8.86,9.36,13.66,15.16,20.21,23.96,26.51,25.51,22.11,20.31,13.81,11.11,9.91,16.34,25.33,18.74,17.58
2006,9.91,10.51,14.01,16.41,20.01,22.51,26.71,25.51,23.01,20.81,16.21,12.21,10.51,16.81,24.91,20.01,18.06
2007,10.51,13.61,12.51,15.01,18.51,21.91,24.91,25.91,23.21,18.71,12.91,10.41,12.11,15.34,24.24,18.28,17.49
