YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1973,2.75,2.31,5.46,9.37,18.77,21.77,25.55,25.17,22.61,15.16,9.42,3.69,2.70,11.20,24.16,15.73,13.45
1974,5.12,4.24,8.07,8.43,19.65,21.77,26.19,23.31,999.90,12.06,8.95,3.91,4.35,12.05,23.76,13.35,13.38
1975,999.90,999.90,5.82,10.37,13.76,19.08,25.09,22.79,20.00,14.90,6.82,4.29,999.90,9.98,22.32,13.91,12.37
1976,2.44,3.74,5.25,9.48,14.74,19.31,23.37,22.92,18.02,11.27,5.78,6.25,3.49,9.82,21.87,11.69,11.72
1977,5.13,7.46,9.34,11.78,14.35,19.63,24.37,22.50,19.36,14.67,8.62,7.11,6.28,11.82,22.17,14.22,13.62
1978,3.15,8.44,7.77,11.18,14.74,20.54,23.65,26.17,20.08,11.76,6.23,7.95,6.23,11.23,23.45,12.69,13.40
1979,7.05,6.26,7.59,9.30,16.09,22.00,26.33,24.18,18.42,14.77,6.41,5.52,7.09,10.99,24.17,13.20,13.86
1980,4.85,6.42,8.48,999.90,999.90,999.90,26.51,24.94,21.08,12.95,8.72,2.01,5.60,999.90,24.50,14.25,14.20
1981,2.47,4.79,11.44,11.93,16.90,22.44,24.38,999.90,19.83,15.74,8.82,8.23,3.09,13.42,23.77,14.80,13.77
1982,999.90,6.39,7.59,9.78,15.65,23.35,999.90,999.90,999.90,999.90,999.90,999.90,6.91,11.01,999.90,999.90,999.90
1983,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1984,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1985,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1986,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1987,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1988,999.90,999.90,999.90,999.90,999.90,999.90,999.90,25.56,18.39,15.31,11.11,3.95,999.90,999.90,999.90,14.94,999.90
1989,4.11,5.54,10.22,10.37,16.84,20.27,24.77,26.56,22.34,14.97,10.67,8.19,4.53,12.48,23.87,15.99,14.22
1990,999.90,999.90,9.29,10.59,16.19,999.90,999.90,25.46,24.24,15.97,10.22,3.51,999.90,12.02,999.90,16.81,999.90
1991,3.21,5.08,9.60,9.51,13.21,21.70,26.11,24.71,20.81,12.91,7.71,4.58,3.93,10.77,24.17,13.81,13.17
1992,4.19,4.95,7.68,11.79,16.81,17.93,999.90,24.73,22.67,15.85,9.51,6.60,4.57,12.09,22.19,16.01,13.72
1993,4.16,3.65,999.90,10.55,18.04,25.29,26.36,25.65,19.05,16.80,9.09,5.87,4.80,12.45,25.77,14.98,14.50
1994,4.57,6.87,10.27,10.34,19.98,23.44,29.49,27.27,19.87,13.97,999.90,5.86,5.77,13.53,26.73,13.94,14.99
1995,4.49,999.90,7.69,10.19,999.90,21.92,999.90,999.90,18.99,999.90,9.29,999.90,5.41,11.22,999.90,14.28,13.77
1996,6.09,999.90,999.90,11.57,16.23,18.34,999.90,24.77,17.79,14.06,10.59,7.57,999.90,12.06,22.41,14.15,13.17
1997,5.73,8.83,10.06,12.30,18.69,24.94,25.70,23.65,20.33,15.24,8.90,5.70,7.38,13.68,24.76,14.82,15.16
1998,4.20,7.48,7.96,11.95,14.85,21.90,28.84,24.65,21.99,11.91,8.25,4.94,5.79,11.59,25.13,14.05,14.14
1999,4.00,4.06,999.90,14.93,19.80,24.50,999.90,27.80,21.30,17.38,7.94,5.26,4.33,15.52,27.01,15.54,15.60
2000,1.61,6.28,11.41,14.24,20.59,21.49,999.90,27.03,21.49,12.97,10.49,6.96,4.38,15.41,25.12,14.98,14.97
2001,5.03,6.45,14.21,999.90,19.08,26.76,27.08,28.30,21.01,20.71,8.61,5.01,6.15,16.20,27.38,16.78,16.63
2002,4.21,6.91,10.11,12.11,17.31,23.26,25.36,24.21,19.71,15.51,9.61,6.92,5.38,13.18,24.28,14.94,14.44
2003,4.02,4.32,9.94,12.74,19.50,24.09,27.58,26.00,999.90,16.98,9.96,4.97,5.09,14.06,25.89,16.31,15.34
2004,5.47,7.71,9.72,11.13,12.92,22.62,26.02,26.42,20.32,17.22,7.52,4.82,6.05,11.26,25.02,15.02,14.34
2005,2.22,2.82,10.02,13.32,20.82,23.42,28.27,26.22,19.82,16.02,8.82,4.43,3.29,14.72,25.97,14.89,14.72
2006,2.43,4.23,10.23,15.23,19.73,24.23,27.13,25.93,19.23,18.13,10.43,5.63,3.70,15.06,25.76,15.93,15.11
2007,6.33,8.03,7.23,12.03,17.13,24.13,27.23,26.63,21.33,15.53,8.33,4.63,6.66,12.13,26.00,15.06,14.96
2008,5.93,7.63,9.53,14.03,17.26,21.66,27.86,26.21,21.26,14.31,7.26,4.17,6.06,13.61,25.24,14.28,14.80
2009,4.47,5.07,9.27,9.27,17.87,24.17,28.37,27.27,18.87,14.87,10.27,8.07,4.57,12.14,26.60,14.67,14.49
2010,6.57,7.97,10.37,13.87,15.47,22.27,27.67,26.57,20.07,15.17,9.67,7.47,7.54,13.24,25.50,14.97,15.31
2011,6.17,4.87,8.37,14.77,17.17,21.37,26.47,26.77,23.07,14.07,9.07,5.38,6.17,13.44,24.87,15.40,14.97
2012,4.18,2.28,9.18,11.48,19.28,26.38,28.58,28.28,21.18,15.78,10.75,6.08,3.95,13.31,27.75,15.90,15.23
2013,5.08,4.08,9.38,12.98,15.48,21.78,26.68,24.68,21.38,19.68,7.98,4.58,5.08,12.61,24.38,16.35,14.60
