YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1943,999.90,999.90,999.90,21.45,25.62,33.08,32.38,34.00,26.07,22.85,15.19,11.46,999.90,22.08,33.15,21.37,22.52
1944,9.38,13.95,18.04,22.82,25.37,25.12,32.42,31.97,26.29,22.97,17.22,11.48,11.60,22.08,29.84,22.16,21.42
1945,10.32,13.29,17.95,25.64,25.91,999.90,999.90,999.90,999.90,999.90,999.90,999.90,11.70,23.17,999.90,999.90,999.90
1946,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1947,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1948,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1949,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1950,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1951,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1952,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1953,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1954,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1955,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1956,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1957,999.90,999.90,999.90,999.90,999.90,999.90,34.52,32.34,30.29,20.49,16.91,10.88,999.90,999.90,31.71,22.56,999.90
1958,13.35,16.95,19.57,20.81,25.47,26.40,32.16,32.00,30.39,24.50,16.65,14.67,13.73,21.95,30.19,23.85,22.43
1959,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1960,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1961,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1962,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1963,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1964,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1965,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1966,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,23.56,17.07,999.90,999.90,999.90,999.90,23.10,999.90
1967,13.92,15.30,20.17,20.60,24.83,28.70,999.90,999.90,29.49,999.90,17.49,999.90,14.39,21.87,999.90,23.55,23.03
1968,999.90,999.90,999.90,999.90,999.90,999.90,999.90,32.82,32.52,24.52,18.12,13.62,999.90,999.90,999.90,25.05,999.90
1969,14.02,17.72,20.32,18.32,23.52,25.02,32.42,33.32,27.22,21.42,19.02,12.02,15.12,20.72,30.25,22.55,22.16
1970,14.52,16.12,17.72,21.42,24.02,26.02,34.92,33.72,30.42,21.72,17.92,12.82,14.22,21.05,31.55,23.35,22.55
1971,14.12,15.32,16.72,18.12,20.22,27.12,31.92,32.62,28.72,24.92,15.92,11.72,14.09,18.35,30.55,23.19,21.55
1972,999.90,13.82,16.42,20.42,22.62,24.42,999.90,31.72,25.32,23.22,16.52,11.02,12.23,19.82,29.00,21.69,20.68
1973,11.82,14.02,18.67,22.03,26.44,999.90,999.90,34.72,30.60,22.26,999.90,11.30,12.29,22.38,999.90,23.58,22.51
1974,999.90,15.93,999.90,999.90,25.58,999.90,999.90,999.90,999.90,999.90,999.90,999.90,13.08,999.90,999.90,999.90,999.90
1975,13.02,16.40,17.84,19.28,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,14.49,20.11,999.90,999.90,999.90
1976,10.95,13.63,16.62,18.16,21.20,27.36,27.43,31.44,26.95,23.27,18.26,999.90,12.07,18.66,28.74,22.83,20.58
1977,999.90,17.42,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1978,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1979,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1980,999.90,999.90,999.90,999.90,999.90,999.90,999.90,35.00,999.90,24.30,17.48,999.90,999.90,999.90,999.90,23.68,999.90
1981,13.00,13.91,20.93,19.89,24.67,28.94,999.90,31.67,999.90,25.71,18.41,15.25,13.24,21.83,31.23,24.85,22.79
1982,13.38,999.90,999.90,19.12,26.37,28.10,33.50,32.34,27.81,999.90,999.90,999.90,15.07,21.29,31.31,999.90,22.81
1983,10.83,15.66,22.72,22.01,24.39,999.90,999.90,999.90,29.28,999.90,19.61,14.60,13.03,23.04,999.90,24.51,23.28
1984,999.90,999.90,999.90,24.30,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1985,999.90,999.90,999.90,999.90,23.64,29.46,36.22,999.90,999.90,999.90,999.90,999.90,999.90,999.90,33.63,999.90,999.90
1986,12.42,15.57,17.98,19.47,27.36,25.80,33.35,33.34,30.03,21.49,17.09,12.02,13.78,21.60,30.83,22.87,22.27
1987,999.90,16.12,999.90,999.90,999.90,999.90,999.90,999.90,30.82,999.90,999.90,999.90,13.53,999.90,999.90,999.90,999.90
