YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1991,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,5.80,999.90,999.90,999.90,999.90,999.90
1992,999.90,7.40,999.90,999.90,999.90,999.90,999.90,26.70,23.60,15.60,9.10,999.90,6.21,999.90,999.90,16.10,999.90
1993,999.90,999.90,10.00,13.10,18.30,999.90,29.00,27.80,20.90,16.30,999.90,6.40,999.90,13.80,27.25,15.45,15.58
1994,5.90,7.80,11.30,12.30,21.20,26.00,29.50,29.10,21.90,16.40,999.90,6.80,6.70,14.93,28.20,16.00,16.46
1995,4.85,9.40,10.05,11.80,999.90,23.55,27.45,27.29,20.30,16.55,12.20,999.90,7.02,13.09,26.10,16.35,15.64
1996,8.60,6.65,10.90,14.10,999.90,22.80,27.40,27.35,20.50,15.20,10.80,8.00,7.62,14.66,25.85,15.50,15.91
1997,7.60,9.10,11.50,13.84,19.60,24.54,28.25,26.10,22.75,17.50,11.60,7.80,8.23,14.98,26.30,17.28,16.70
1998,7.10,9.05,11.65,15.15,17.15,25.40,29.39,28.00,24.80,15.10,11.55,5.25,7.98,14.65,27.60,17.15,16.84
1999,999.90,5.30,999.90,16.10,22.60,25.70,29.24,29.59,24.00,20.10,9.55,6.10,4.88,17.38,28.18,17.88,17.08
2000,4.40,8.25,12.34,15.05,20.30,25.25,29.64,27.80,23.00,14.50,11.73,9.12,6.25,15.90,27.56,16.41,16.53
2001,7.37,8.03,14.68,14.77,18.52,29.24,29.25,29.67,23.58,22.43,9.98,7.48,8.17,15.99,29.39,18.66,18.05
2002,6.28,8.88,12.18,14.29,19.38,26.58,28.08,26.48,22.13,17.78,10.98,8.84,7.55,15.28,27.05,16.96,16.71
2003,5.54,7.09,14.10,16.57,19.59,27.19,30.19,27.93,999.90,18.19,10.34,6.79,7.16,16.75,28.44,17.17,17.38
2004,6.44,6.89,11.94,999.90,15.23,24.19,28.44,28.49,22.79,19.54,9.29,5.69,6.71,13.39,27.04,17.21,16.09
2005,3.69,4.49,12.54,16.03,23.14,25.38,30.39,27.73,21.84,18.39,10.64,5.99,4.62,17.24,27.83,16.96,16.66
2006,3.94,6.59,12.53,17.49,21.64,25.53,28.73,27.74,21.64,19.44,12.39,6.39,5.51,17.22,27.33,17.82,16.97
2007,7.19,10.04,9.19,13.59,18.69,25.34,28.88,27.94,24.34,16.49,10.19,5.59,7.87,13.82,27.39,17.01,16.52
2008,6.79,9.29,11.19,16.19,18.69,24.59,29.89,29.19,999.90,14.89,7.89,4.69,7.22,15.36,27.89,14.30,16.19
2009,5.29,7.19,11.89,12.09,20.39,25.89,29.99,28.79,19.99,17.79,12.09,9.89,5.72,14.79,28.22,16.62,16.34
2010,8.19,10.99,13.29,17.09,18.19,24.09,30.29,28.39,23.19,16.89,11.09,9.39,9.69,16.19,27.59,17.06,17.63
2011,7.89,6.39,10.59,17.39,19.49,23.69,28.29,29.19,25.09,16.29,10.39,5.49,7.89,15.82,27.06,17.26,17.01
2012,4.29,3.49,10.89,12.89,21.59,27.79,30.29,29.79,23.39,17.69,11.39,6.69,4.42,15.12,29.29,17.49,16.58
2013,5.79,6.19,11.59,14.79,16.99,23.39,28.59,27.29,22.59,20.89,9.59,5.80,6.22,14.46,26.42,17.69,16.20
2014,6.80,8.90,10.30,17.30,21.60,23.60,28.80,28.90,24.60,19.00,12.55,5.62,7.17,16.40,27.10,18.72,17.35
2015,5.91,6.09,10.23,18.29,21.88,23.56,28.37,28.10,23.48,18.75,10.94,8.54,5.87,16.80,26.68,17.72,16.77
2016,9.20,9.47,9.80,16.73,20.39,25.40,30.15,27.85,23.25,19.15,10.60,7.15,9.07,15.64,27.80,17.67,17.54
2017,4.30,10.00,11.85,16.10,23.15,26.40,29.75,28.45,23.00,16.40,10.75,6.05,7.15,17.03,28.20,16.72,17.27
2018,7.05,6.50,11.60,14.70,17.85,24.70,30.80,25.60,22.80,15.95,10.65,8.10,6.53,14.72,27.03,16.47,16.19
2019,4.90,7.10,11.15,13.65,19.65,26.20,30.30,29.45,24.20,17.05,10.40,8.25,6.70,14.82,28.65,17.22,16.85
2020,5.55,11.10,12.25,16.15,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,8.30,16.36,999.90,999.90,999.90
