YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1950,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,8.71,999.90,999.90,999.90,999.90,999.90
1951,8.29,11.36,16.88,21.68,23.40,30.33,33.33,32.14,27.61,18.98,14.40,10.00,9.45,20.65,31.93,20.33,20.59
1952,6.75,9.89,17.67,17.48,24.43,32.54,33.14,33.21,29.87,23.21,13.97,9.86,8.88,19.86,32.96,22.35,21.01
1953,6.68,9.94,11.91,22.19,24.12,28.50,34.09,30.14,27.76,21.12,14.04,11.21,8.83,19.41,30.91,20.97,20.03
1954,7.72,9.78,14.88,18.16,24.47,31.12,30.94,30.84,27.75,19.05,15.65,10.04,9.57,19.17,30.97,20.82,20.13
1955,12.35,13.94,15.50,18.93,26.81,31.32,34.49,32.86,27.83,21.66,16.85,11.82,12.11,20.41,32.89,22.11,21.88
1956,10.67,9.71,14.25,19.06,24.92,29.86,32.77,31.71,28.60,20.70,12.74,8.03,10.73,19.41,31.45,20.68,20.57
1957,6.97,12.80,15.17,18.36,24.04,29.14,31.30,30.98,27.74,19.45,13.47,8.57,9.27,19.19,30.47,20.22,19.79
1958,8.75,13.54,16.35,18.24,26.10,31.30,33.63,31.78,27.43,20.63,13.58,11.73,10.29,20.23,32.24,20.55,20.82
1959,9.15,9.94,15.04,19.17,24.48,30.27,31.49,32.52,30.13,22.10,13.72,9.34,10.27,19.56,31.43,21.98,20.81
1960,9.22,14.37,16.50,18.22,24.97,29.63,33.47,33.62,26.78,22.45,15.49,9.29,10.98,19.90,32.24,21.57,21.17
1961,8.17,12.67,14.03,21.05,26.65,29.15,32.58,31.42,27.04,20.39,17.86,10.57,10.04,20.58,31.05,21.76,20.86
1962,9.65,9.64,15.57,19.59,25.09,29.97,32.69,30.82,27.72,21.49,12.92,9.30,9.95,20.08,31.16,20.71,20.48
1963,11.43,11.84,14.09,20.86,22.15,29.38,33.02,32.90,27.63,19.55,15.71,12.31,10.86,19.03,31.77,20.96,20.65
1964,8.79,12.38,17.65,18.47,25.48,29.78,31.11,32.26,27.18,21.11,13.16,9.60,11.16,20.53,31.05,20.48,20.81
1965,9.79,11.40,16.71,18.25,23.79,27.82,32.48,31.51,999.90,22.60,15.57,10.40,10.26,19.58,30.60,22.48,20.73
1966,11.65,14.20,12.59,19.92,23.75,31.27,33.25,32.13,27.77,20.49,12.68,8.67,12.08,18.75,32.22,20.31,20.84
1967,8.76,13.06,15.62,18.52,25.01,28.91,30.81,31.14,27.56,22.79,16.69,7.54,10.16,19.72,30.29,22.35,20.63
1968,7.62,13.03,16.25,21.52,24.51,28.93,31.32,32.17,28.10,21.11,15.53,10.03,9.40,20.76,30.81,21.58,20.64
1969,10.58,14.70,17.99,19.24,25.47,29.30,29.81,31.86,27.81,21.03,16.97,8.44,11.77,20.90,30.32,21.94,21.23
1970,12.32,12.09,16.22,18.68,24.19,30.52,30.79,32.58,28.11,20.73,15.65,11.39,10.95,19.70,31.30,21.50,20.86
1971,9.95,10.77,14.70,20.77,22.55,29.94,32.56,31.44,27.28,20.21,12.80,10.38,10.70,19.34,31.31,20.10,20.36
1972,8.45,11.82,15.16,18.41,22.07,30.96,33.77,32.39,28.21,20.75,16.12,8.50,10.22,18.55,32.37,21.69,20.71
1973,8.36,9.65,14.04,18.58,27.67,32.21,32.87,31.03,26.17,21.49,14.02,9.03,8.84,20.10,32.04,20.56,20.38
1974,9.22,10.10,14.46,17.71,26.80,31.57,29.86,29.74,27.06,18.92,12.38,8.72,9.45,19.66,30.39,19.45,19.74
1975,8.15,11.15,14.06,19.80,24.55,29.01,31.93,31.41,29.68,20.92,12.49,10.73,9.34,19.47,30.78,21.03,20.16
1976,8.54,11.75,13.09,19.36,24.24,29.31,33.34,31.05,27.39,19.66,12.62,11.68,10.34,18.90,31.23,19.89,20.09
1977,11.86,13.96,16.20,19.95,24.03,29.19,34.36,32.88,27.30,22.67,15.23,11.82,12.50,20.06,32.14,21.73,21.61
1978,10.11,14.76,14.90,19.88,23.87,30.78,31.29,31.44,26.11,18.75,13.72,12.08,12.23,19.55,31.17,19.53,20.62
1979,9.63,10.41,15.52,19.65,24.96,30.75,31.97,33.00,30.61,22.58,14.20,9.83,10.71,20.04,31.91,22.46,21.28
1980,8.91,12.50,15.40,20.35,24.16,31.39,31.62,32.09,28.82,20.04,15.67,8.72,10.41,19.97,31.70,21.51,20.90
1981,7.03,11.11,18.19,22.09,25.98,31.54,32.93,30.00,27.83,23.17,15.04,12.22,8.95,22.09,31.49,22.01,21.14
1982,10.40,11.95,16.05,19.63,25.45,31.34,32.61,32.22,28.55,21.36,14.16,8.73,11.52,20.38,32.06,21.36,21.33
1983,7.67,11.42,15.75,21.73,25.99,30.09,33.88,34.13,28.50,22.02,17.39,9.90,9.27,21.16,32.70,22.64,21.44
