YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1951,8.72,11.12,16.72,20.62,21.62,29.52,33.72,32.32,27.42,18.12,14.12,9.72,9.71,19.65,31.85,19.89,20.27
1952,7.02,10.22,17.42,16.62,23.12,31.72,32.82,32.52,26.92,22.32,15.02,10.62,8.99,19.05,32.35,21.42,20.45
1953,8.12,9.82,11.42,21.22,24.12,26.72,32.62,31.22,25.32,19.12,13.92,10.32,9.52,18.92,30.19,19.45,19.52
1954,8.02,9.82,14.62,16.02,24.42,29.42,31.32,31.42,28.12,20.02,15.02,9.42,9.39,18.35,30.72,21.05,19.88
1955,12.02,13.42,15.22,19.22,25.92,28.72,33.52,32.12,27.62,20.12,16.82,10.92,11.62,20.12,31.45,21.52,21.18
1956,9.62,8.82,14.02,17.92,23.72,28.82,32.42,31.62,27.02,21.02,11.92,7.82,9.79,18.55,30.95,19.99,19.82
1957,7.32,13.02,16.12,16.72,23.02,27.62,32.39,31.29,28.04,18.95,13.47,7.18,9.39,18.62,30.43,20.15,19.65
1958,8.82,12.96,16.80,17.31,24.95,28.07,33.14,31.46,27.93,20.68,12.57,11.36,9.65,19.69,30.89,20.39,20.16
1959,10.52,8.92,15.62,19.72,22.72,28.82,33.02,31.12,26.92,21.02,13.82,11.32,10.27,19.35,30.99,20.59,20.30
1960,9.92,14.72,16.31,999.90,999.90,999.90,999.90,33.39,27.12,21.12,16.02,7.92,11.99,999.90,999.90,21.42,999.90
1961,999.90,999.90,999.90,999.90,25.42,27.12,33.22,32.02,27.92,20.22,15.42,10.32,999.90,999.90,30.79,21.19,999.90
1962,10.02,9.62,14.72,19.92,24.92,28.62,32.82,31.92,27.52,999.90,12.12,8.92,9.99,19.85,31.12,19.83,20.20
1963,10.22,11.52,15.32,19.62,20.52,27.92,32.82,33.02,26.02,20.22,15.02,10.92,10.22,18.49,31.25,20.42,20.10
1964,7.42,12.12,16.92,17.32,26.52,29.02,32.82,31.12,27.42,20.82,12.92,7.42,10.15,20.25,30.99,20.39,20.45
1965,8.62,11.12,16.92,17.02,25.12,28.92,33.92,30.21,25.01,19.38,13.81,10.13,9.05,19.69,31.02,19.40,19.79
1966,10.58,14.00,13.17,19.89,23.42,29.25,32.60,32.74,27.21,18.60,10.74,7.79,11.57,18.83,31.53,18.85,20.19
1967,7.94,11.06,16.10,16.81,23.23,26.26,31.54,999.90,999.90,999.90,999.90,999.90,8.93,18.71,29.30,999.90,19.08
1968,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,28.66,21.46,14.76,8.96,999.90,999.90,999.90,21.63,999.90
1969,10.36,13.66,17.06,17.16,23.56,27.46,30.66,31.46,25.56,19.06,14.76,7.46,10.99,19.26,29.86,19.79,19.98
1970,10.36,11.96,14.86,18.06,22.56,27.86,31.66,32.46,27.46,18.56,13.66,7.96,9.93,18.49,30.66,19.89,19.74
1971,8.76,10.16,13.16,20.86,20.26,27.86,31.86,31.06,26.56,20.36,11.16,8.16,8.96,18.09,30.26,19.36,19.17
1972,8.06,11.26,13.66,999.90,20.56,28.06,999.90,31.66,25.06,19.36,14.76,7.06,9.16,16.96,30.66,19.73,19.13
1973,8.27,9.51,14.00,18.38,26.42,28.21,32.97,30.73,27.48,999.90,13.89,7.73,8.28,19.60,30.64,20.69,19.80
1974,9.78,10.64,12.77,15.60,25.73,28.93,31.08,31.57,26.53,18.09,13.38,9.51,9.38,18.03,30.53,19.33,19.32
1975,8.77,11.55,13.89,16.90,21.45,27.58,32.42,31.25,27.18,21.10,12.28,8.77,9.94,17.41,30.42,20.19,19.49
1976,7.73,10.37,12.22,16.92,21.37,28.36,32.30,31.01,25.03,19.37,13.01,11.61,8.96,16.84,30.56,19.14,18.87
1977,10.31,13.83,16.37,19.36,22.57,27.79,32.55,31.28,26.10,20.08,14.32,11.56,11.92,19.43,30.54,20.17,20.51
1978,10.22,14.16,15.59,19.03,22.13,28.33,32.33,31.83,27.57,18.74,12.33,11.85,11.98,18.92,30.83,19.55,20.32
1979,12.12,12.36,14.88,18.65,23.91,28.30,32.72,33.33,25.52,19.99,13.77,10.35,12.11,19.15,31.45,19.76,20.62
1980,8.92,12.79,14.65,19.76,22.79,29.54,32.79,33.13,27.39,20.14,13.69,7.81,10.69,19.07,31.82,20.41,20.50
1981,8.99,10.09,18.15,19.14,24.41,29.69,32.87,29.80,27.47,23.28,15.14,999.90,8.96,20.57,30.79,21.96,20.57
1982,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1983,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,27.67,21.86,17.42,9.90,999.90,999.90,999.90,22.32,999.90
1984,7.97,11.96,13.60,21.37,20.39,29.79,32.55,32.25,28.78,999.90,14.75,999.90,9.94,18.45,31.53,21.77,20.43
1985,8.15,14.13,14.36,20.03,22.50,30.63,33.72,32.98,27.94,20.93,15.88,9.02,10.93,18.96,32.44,21.58,20.98
1986,9.19,12.92,13.86,18.28,26.17,27.85,32.59,32.88,28.25,20.10,13.27,8.63,10.38,19.44,31.11,20.54,20.37
1987,9.73,12.29,16.54,22.33,24.47,30.22,31.86,33.80,28.41,21.64,13.71,12.21,10.22,21.11,31.96,21.25,21.14
1988,10.73,12.30,14.91,20.89,23.78,28.19,33.32,33.19,27.12,21.12,15.61,8.45,11.75,19.86,31.57,21.28,21.11
1989,7.31,10.98,16.20,18.88,24.10,28.43,33.43,32.26,29.27,22.29,16.07,12.67,8.91,19.73,31.37,22.54,20.64
1990,8.63,13.96,17.67,18.52,24.47,31.50,33.45,33.15,30.36,23.32,15.96,9.70,11.75,20.22,32.70,23.21,21.97
1991,8.70,10.09,14.71,18.41,22.02,28.64,32.65,33.47,28.61,19.28,13.84,9.86,9.50,18.38,31.59,20.58,20.01
1992,6.81,10.95,13.10,18.76,23.49,26.21,31.88,32.55,27.55,20.87,13.49,10.33,9.21,18.45,30.21,20.64,19.63
