YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1906,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,12.79,999.90,999.90,999.90,999.90,999.90
1907,11.85,999.90,14.49,999.90,22.49,999.90,999.90,999.90,999.90,19.38,17.17,999.90,12.74,18.31,999.90,21.29,20.91
1908,13.27,13.88,14.64,16.69,24.88,999.90,999.90,999.90,999.90,999.90,15.52,13.65,13.55,18.74,999.90,999.90,999.90
1909,999.90,999.90,999.90,999.90,999.90,27.30,29.57,31.67,27.57,21.62,15.35,11.55,999.90,999.90,29.51,21.51,999.90
1910,11.56,13.15,15.85,20.15,22.59,28.19,34.08,31.89,25.84,23.94,16.46,13.15,12.09,19.53,31.39,22.08,21.27
1911,10.49,12.77,15.78,18.87,22.94,30.06,32.90,32.91,27.73,23.70,16.13,14.76,12.14,19.20,31.96,22.52,21.45
1912,12.27,16.06,19.42,18.64,26.52,28.06,34.24,32.89,25.07,20.05,13.33,10.47,14.36,21.53,31.73,19.48,21.78
1913,999.90,13.19,15.48,19.50,24.65,29.87,32.20,32.57,29.97,22.60,16.59,12.34,11.44,19.88,31.55,23.05,21.48
1914,10.52,13.39,17.85,22.05,24.61,28.87,32.70,30.50,27.19,21.98,999.90,10.97,12.08,21.50,30.69,21.51,21.45
1915,11.84,12.01,16.87,19.59,25.99,29.37,33.06,32.42,26.78,21.38,16.52,12.14,11.61,20.82,31.62,21.56,21.40
1916,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1917,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1918,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1919,999.90,999.90,999.90,999.90,999.90,999.90,999.90,31.40,27.14,20.35,16.89,12.03,999.90,999.90,999.90,21.46,999.90
1920,11.72,13.10,15.72,21.56,27.14,29.24,33.46,32.61,28.82,23.29,16.41,12.18,12.28,21.47,31.77,22.84,22.09
1921,999.90,13.51,15.11,17.65,22.66,27.95,33.32,32.12,29.98,22.34,15.66,11.94,12.45,18.47,31.13,22.66,21.18
1922,11.05,13.49,17.65,21.15,24.58,29.76,32.75,33.13,27.06,22.60,15.29,10.17,12.16,21.13,31.88,21.65,21.70
1923,9.83,13.29,15.00,18.60,24.30,26.75,31.99,31.67,26.76,23.32,15.80,11.08,11.10,19.30,30.14,21.96,20.62
1924,10.80,11.83,15.84,20.63,27.11,29.86,33.08,32.81,30.81,22.29,16.29,12.16,11.24,21.19,31.92,23.13,21.87
1925,10.33,12.28,13.49,19.82,23.43,29.45,31.66,999.90,27.85,20.51,15.21,12.55,11.59,18.91,30.93,21.19,20.66
1926,12.45,15.28,17.71,19.99,23.72,29.19,32.40,31.71,29.32,24.44,17.68,11.07,13.43,20.47,31.10,23.81,22.20
1927,11.33,13.10,16.55,21.38,25.31,31.52,34.26,999.90,29.87,21.69,16.34,999.90,11.83,21.08,33.27,22.63,22.20
1928,999.90,13.80,15.71,21.06,23.54,999.90,32.59,33.92,28.97,22.91,15.51,11.36,999.90,20.10,32.26,22.46,21.74
1929,9.49,12.02,15.56,20.34,23.98,29.03,32.19,31.60,999.90,20.84,15.11,13.62,10.96,19.96,30.94,20.99,20.71
1930,11.54,12.00,17.58,19.20,24.61,29.40,999.90,999.90,28.34,23.94,17.34,13.85,12.39,20.46,999.90,23.21,22.14
1931,11.56,11.46,19.04,20.49,25.33,33.41,34.72,999.90,999.90,22.25,17.43,10.29,12.29,21.62,34.44,22.86,22.80
1932,10.30,10.73,15.51,20.07,25.71,29.57,31.22,30.88,29.36,22.74,15.52,12.31,10.44,20.43,30.56,22.54,20.99
1933,999.90,12.55,15.40,19.91,25.46,27.22,33.02,32.65,28.64,24.12,14.33,9.90,12.04,20.26,30.96,22.36,21.40
1934,10.21,11.49,13.19,20.33,23.46,30.34,32.69,32.43,27.11,21.23,15.69,13.43,10.53,18.99,31.82,21.34,20.67
1935,8.59,11.37,15.61,19.75,22.90,32.51,33.19,33.25,28.60,999.90,999.90,999.90,11.13,19.42,32.98,999.90,21.36
