YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1978,999.90,999.90,999.90,999.90,999.90,21.59,26.89,999.90,999.90,999.90,8.49,999.90,999.90,999.90,24.67,999.90,999.90
1979,8.79,999.90,9.89,999.90,999.90,999.90,28.59,999.90,999.90,15.69,8.09,5.59,999.90,999.90,999.90,14.82,999.90
1980,4.49,8.29,999.90,999.90,15.79,999.90,999.90,999.90,999.90,15.19,999.90,4.29,6.12,999.90,999.90,999.90,999.90
1981,2.99,6.49,13.19,999.90,18.49,999.90,26.79,25.59,22.59,18.49,11.59,8.09,4.59,15.69,24.96,17.56,15.70
1982,6.69,7.19,11.09,12.99,17.89,25.79,28.69,26.49,22.79,999.90,9.19,4.19,7.32,13.99,26.99,16.11,16.10
1983,3.99,7.39,11.49,14.69,18.19,24.19,27.49,25.99,23.19,16.99,12.59,5.89,5.19,14.79,25.89,17.59,15.87
1984,999.90,999.90,999.90,15.99,999.90,23.49,28.89,28.21,22.09,13.69,999.90,999.90,999.90,999.90,26.86,14.85,999.90
1985,5.19,10.79,7.89,11.59,12.89,24.59,28.39,26.89,22.19,16.29,11.59,6.53,7.96,10.79,26.62,16.69,15.52
1986,4.89,8.19,9.39,11.29,22.09,999.90,26.89,27.69,22.79,15.99,8.89,5.39,6.54,14.26,26.06,15.89,15.69
1987,5.59,9.03,13.71,17.09,18.29,24.09,26.19,28.39,24.49,17.89,10.09,9.19,6.67,16.36,26.22,17.49,16.69
1988,7.29,7.99,10.59,14.79,999.90,21.79,28.19,28.59,22.09,17.09,11.49,3.99,8.16,14.59,26.19,16.89,16.46
1989,3.59,7.49,11.29,999.90,18.49,22.49,28.49,27.39,22.39,999.90,12.49,9.99,5.02,14.74,26.12,17.56,15.86
1990,999.90,999.90,12.79,999.90,16.79,25.99,999.90,26.79,24.89,16.89,10.49,5.59,999.90,14.64,27.20,17.42,16.59
1991,4.49,6.09,999.90,12.29,15.69,23.89,28.29,999.90,999.90,13.99,9.29,6.09,5.39,12.24,26.52,14.57,14.68
1992,4.59,7.29,999.90,13.09,17.99,19.49,25.59,26.79,23.49,15.29,9.29,999.90,5.99,13.79,23.96,16.02,14.94
1993,999.90,6.39,999.90,13.09,18.09,999.90,28.39,27.79,20.49,15.89,15.89,6.79,999.90,13.84,26.86,17.42,16.22
1994,5.79,8.09,999.90,12.19,20.69,25.49,999.90,29.59,21.49,16.79,999.90,6.59,6.89,14.69,28.35,16.10,16.51
1995,5.79,9.99,10.89,12.59,999.90,23.24,27.44,27.84,19.89,17.19,12.69,999.90,7.46,13.64,26.17,16.59,15.97
1996,9.04,7.09,11.24,14.09,999.90,22.74,26.79,27.19,20.74,15.64,11.83,8.89,8.04,14.57,25.57,16.07,16.06
1997,8.69,10.08,11.79,14.78,19.74,24.54,27.69,25.59,22.69,17.29,11.88,7.69,9.22,15.44,25.94,17.29,16.97
1998,7.19,9.69,12.24,14.89,17.59,25.84,29.29,28.09,24.19,15.19,11.49,4.89,8.19,14.91,27.74,16.96,16.95
1999,5.49,6.09,999.90,15.59,22.49,25.93,28.69,29.84,23.29,20.24,9.59,6.49,5.49,17.29,28.15,17.71,17.16
2000,5.09,9.38,11.58,15.19,20.54,25.08,29.49,27.94,23.34,14.84,12.04,9.09,6.99,15.77,27.50,16.74,16.75
2001,7.24,8.09,15.04,14.79,999.90,26.73,29.13,29.10,22.99,22.21,9.79,6.99,8.14,16.82,28.32,18.33,17.90
2002,4.79,8.49,12.32,14.09,18.69,26.59,27.39,26.64,24.29,17.59,10.89,7.49,6.76,15.03,26.87,17.59,16.56
2003,4.84,6.79,12.19,16.35,19.29,27.29,30.19,28.27,999.90,17.79,11.14,6.79,6.37,15.94,28.58,17.39,17.07
2004,9.39,9.79,11.79,14.43,14.29,24.39,28.59,27.59,23.79,18.49,9.49,5.99,8.66,13.50,26.86,17.26,16.57
2005,2.99,4.39,12.49,15.39,23.09,24.89,30.89,27.59,20.39,18.19,10.39,5.79,4.46,16.99,27.79,16.32,16.39
2006,4.79,6.29,11.99,17.59,21.79,25.59,29.79,27.79,20.89,19.69,12.49,6.79,5.62,17.12,27.72,17.69,17.04
2007,6.89,10.39,9.49,13.19,18.69,24.29,29.29,28.09,23.94,16.09,9.69,5.89,8.02,13.79,27.22,16.57,16.40
2008,6.99,10.29,11.79,16.39,18.49,23.79,29.49,29.07,23.24,15.49,8.79,5.19,7.72,15.56,27.45,15.84,16.64
2009,6.09,7.59,12.09,11.49,20.49,25.89,29.99,28.09,20.29,17.99,12.69,9.59,6.29,14.69,27.99,16.99,16.49
2010,8.59,10.99,13.39,16.39,13.29,23.39,30.00,28.50,23.30,16.90,11.20,10.34,9.72,14.36,27.30,17.13,17.13
2011,7.70,6.80,11.10,17.50,19.60,24.00,28.50,29.30,25.10,17.00,11.00,6.20,8.28,16.07,27.27,17.70,17.33
2012,5.30,3.90,11.30,12.70,22.00,27.40,30.06,29.80,23.30,18.00,12.00,7.40,5.13,15.33,29.09,17.77,16.83
2013,6.70,6.60,11.80,14.30,16.90,22.60,27.70,26.80,21.80,20.60,9.40,6.30,6.90,14.33,25.70,17.27,16.05
2014,7.30,8.90,10.00,18.40,20.60,23.60,28.00,27.90,24.20,18.90,12.00,5.70,7.50,16.33,26.50,18.37,17.18
2015,5.20,5.40,10.80,18.30,21.60,23.10,29.45,28.45,23.05,18.05,10.90,8.80,5.43,16.90,27.00,17.33,16.67
2016,9.00,9.60,9.90,16.15,20.15,24.95,29.70,27.85,23.30,19.45,10.60,9.80,9.13,15.40,27.50,17.78,17.45
2017,4.20,9.30,12.55,16.25,22.60,26.70,29.35,999.90,999.90,16.85,10.40,999.90,7.77,17.13,28.45,16.55,17.48
2018,7.75,6.70,11.50,15.30,17.65,24.95,30.35,26.45,23.60,16.45,11.30,8.80,7.20,14.82,27.25,17.12,16.59
2019,6.10,8.35,11.70,14.55,19.70,26.35,29.60,29.35,24.20,17.90,10.55,8.95,7.75,15.32,28.43,17.55,17.26
2020,5.55,11.95,12.45,16.30,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,8.82,16.28,999.90,999.90,999.90
