YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1988,999.90,999.90,999.90,999.90,33.00,37.10,37.30,999.90,999.90,29.20,999.90,14.60,999.90,999.90,36.90,999.90,999.90
1989,999.90,18.70,999.90,27.50,32.80,999.90,999.90,999.90,999.90,999.90,24.30,19.40,16.01,27.91,999.90,999.90,999.90
1990,999.90,999.90,25.20,28.90,999.90,999.90,999.90,999.90,999.90,30.30,999.90,999.90,999.90,29.25,999.90,999.90,999.90
1991,999.90,999.90,999.90,999.90,999.90,999.90,36.50,999.90,34.00,29.80,999.90,999.90,999.90,999.90,999.90,29.01,999.90
1992,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1993,999.90,19.70,23.70,29.00,31.70,37.00,35.70,35.50,34.90,30.30,999.90,16.70,999.90,28.13,36.07,29.71,28.00
1994,14.90,18.70,24.10,27.10,33.20,35.90,35.70,34.60,31.60,29.30,999.90,16.70,16.77,28.13,35.40,27.56,26.97
1995,13.95,18.85,23.30,28.29,999.90,35.65,36.25,999.90,33.85,29.00,23.30,999.90,16.50,28.00,35.65,28.72,27.22
1996,19.40,20.75,23.55,27.90,999.90,34.80,36.05,35.25,34.85,29.20,22.05,19.50,20.01,27.93,35.37,28.70,28.00
1997,19.50,19.09,21.70,25.95,33.10,36.05,36.45,35.50,33.50,29.40,23.45,17.80,19.36,26.92,36.00,28.78,27.77
1998,17.80,21.85,22.60,31.00,33.75,36.55,36.65,36.05,34.30,29.60,21.65,18.65,19.15,29.12,36.42,28.52,28.30
1999,15.40,16.05,999.90,30.64,33.80,35.35,35.95,34.70,35.10,29.60,23.25,17.69,16.70,29.98,35.33,29.32,27.83
2000,17.80,17.94,24.34,30.95,999.90,35.70,35.40,999.90,35.09,28.55,999.90,15.55,17.81,29.85,35.25,28.93,27.96
2001,16.35,18.75,25.85,27.20,33.05,999.90,35.75,35.15,34.95,29.05,23.20,20.00,16.88,28.70,35.59,29.07,27.56
2002,16.30,19.00,24.70,999.90,33.90,36.10,999.90,35.75,35.25,28.35,23.60,20.20,18.43,29.33,36.08,29.07,28.23
2003,17.75,19.60,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,19.18,999.90,999.90,999.90,999.90
2004,18.10,999.90,999.90,999.90,999.90,999.90,35.50,35.80,999.90,29.50,22.35,19.70,999.90,999.90,35.79,28.54,999.90
2005,15.85,19.75,23.30,29.50,999.90,999.90,36.15,36.20,33.60,30.85,24.30,19.05,18.43,28.60,36.31,29.58,28.23
2006,15.75,19.00,24.50,999.90,999.90,36.05,36.47,35.80,34.60,30.24,23.10,17.75,17.93,999.90,36.11,29.31,28.04
2007,18.10,21.60,999.90,999.90,999.90,999.90,999.90,35.05,999.90,30.20,23.70,999.90,19.15,999.90,999.90,29.57,999.90
2008,14.45,21.00,25.80,29.45,33.05,36.95,999.90,34.70,34.95,999.90,23.50,17.50,17.66,29.43,35.98,29.50,28.14
2009,999.90,21.00,26.99,27.65,999.90,999.90,37.00,999.90,999.90,999.90,999.90,999.90,18.61,29.52,999.90,999.90,999.90
2010,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
2011,999.90,999.90,999.90,999.90,999.90,999.90,37.05,35.80,34.10,29.50,24.40,16.80,999.90,999.90,36.56,29.33,999.90
2012,15.45,17.10,23.60,29.25,999.90,37.40,36.65,35.20,34.65,31.15,25.45,18.40,16.45,28.63,36.42,30.42,27.98
2013,16.75,19.10,26.39,29.05,33.30,37.10,36.65,35.45,34.35,30.25,22.85,17.39,18.08,29.58,36.40,29.15,28.30
2014,18.25,19.70,23.05,29.35,33.65,36.85,37.35,35.85,35.00,29.90,999.90,999.90,18.45,28.68,36.68,29.56,28.34
2015,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
2016,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
2017,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
2018,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
2019,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,22.75,999.90,999.90,999.90,999.90,999.90,999.90
2020,17.70,22.05,24.95,30.65,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,19.81,30.00,999.90,999.90,999.90
