country,station,ds,y,elevation,coord,lat,lon
Algeria,Bordj Badj Mokhtar,1992-06-01,,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1992-07-01,,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1992-08-01,,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1992-09-01,,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1992-10-01,,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1992-11-01,,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1992-12-01,,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1993-01-01,,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1993-02-01,19.7,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1993-03-01,23.7,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1993-04-01,29,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1993-05-01,31.7,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1993-06-01,37,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1993-07-01,35.7,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1993-08-01,35.5,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1993-09-01,34.9,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1993-10-01,30.3,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1993-11-01,,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1993-12-01,16.7,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1994-01-01,14.9,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1994-02-01,18.7,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1994-03-01,24.1,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1994-04-01,27.1,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1994-05-01,33.2,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1994-06-01,35.9,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1994-07-01,35.7,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1994-08-01,34.6,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1994-09-01,31.6,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1994-10-01,29.3,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1994-11-01,,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1994-12-01,16.7,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1995-01-01,13.95,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1995-02-01,18.85,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1995-03-01,23.3,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1995-04-01,28.29,399,"0.95 E, 21.333 N",0.95,21.333
